"feature","coefficient","abs_coefficient","direction"
"r_ntee_UNKNOWN",2.12671986749292,2.12671986749292,"positive"
"match_state_pct",1.68647894939195,1.68647894939195,"positive"
"match_sector_pct",1.59667229606224,1.59667229606224,"positive"
"r_ntee_Z",-1.3000525228094,1.3000525228094,"negative"
"f_sector_hhi",-0.702068167238404,0.702068167238404,"negative"
"match_state_x_geo_conc",0.544795687788126,0.544795687788126,"positive"
"f_log_total_grants",0.394360862258131,0.394360862258131,"positive"
"f_in_state_pct",-0.276488430437663,0.276488430437663,"negative"
"r_total_revenue",0.256447741798318,0.256447741798318,"positive"
"r_ntee_B",-0.256204483219376,0.256204483219376,"negative"
"match_grant_size_ratio",0.239667920109131,0.239667920109131,"positive"
"r_ntee_E",-0.235314095238917,0.235314095238917,"negative"
"r_ntee_Y",-0.228023473348936,0.228023473348936,"negative"
"r_log_total_revenue",0.185974022434976,0.185974022434976,"positive"
"match_same_state",0.17505908845023,0.17505908845023,"positive"
"r_ntee_D",0.170172103344991,0.170172103344991,"positive"
"r_ntee_P",-0.166461176623025,0.166461176623025,"negative"
"match_same_division",0.155681397575428,0.155681397575428,"positive"
"r_state_OTHER",0.146517178057177,0.146517178057177,"positive"
"r_ntee_G",0.144856795719151,0.144856795719151,"positive"
"r_ntee_Q",0.141723558235926,0.141723558235926,"positive"
"r_ntee_C",0.13052808192999,0.13052808192999,"positive"
"r_state_DC",0.128876294852567,0.128876294852567,"positive"
"f_sectors_funded",-0.122550349429415,0.122550349429415,"negative"
"r_ntee_R",0.121804471222533,0.121804471222533,"positive"
"r_ntee_K",0.119910673808731,0.119910673808731,"positive"
"match_same_region",0.115221550866019,0.115221550866019,"positive"
"r_ntee_O",0.112560307798724,0.112560307798724,"positive"
"r_state_CA",-0.108730301079669,0.108730301079669,"negative"
"match_sector_x_sector_hhi",-0.0898056070485796,0.0898056070485796,"negative"
"r_ntee_T",0.0876344026374776,0.0876344026374776,"positive"
"f_has_paid_staff",-0.0811624879624785,0.0811624879624785,"negative"
"f_log_avg_grant",0.0741690949514528,0.0741690949514528,"positive"
"r_ntee_H",0.0718230140973624,0.0718230140973624,"positive"
"r_ntee_I",0.0641318199218389,0.0641318199218389,"positive"
"r_state_MA",0.0621500662568883,0.0621500662568883,"positive"
"r_state_VA",0.0602587379419524,0.0602587379419524,"positive"
"f_state_NC",-0.0562673810853091,0.0562673810853091,"negative"
"f_openness_score",0.0549870078579897,0.0549870078579897,"positive"
"r_state_NY",-0.0527851286398199,0.0527851286398199,"negative"
"r_ntee_W",0.0502894765501613,0.0502894765501613,"positive"
"match_budget_in_range",0.0477013886868699,0.0477013886868699,"positive"
"f_repeat_rate",-0.0476970341847696,0.0476970341847696,"negative"
"r_ntee_S",-0.0472432852259675,0.0472432852259675,"negative"
"f_pct_capital",-0.0441355789368645,0.0441355789368645,"negative"
"r_ntee_L",-0.0438633508495493,0.0438633508495493,"negative"
"match_semantic_similarity",0.0435672391533873,0.0435672391533873,"positive"
"f_officer_count",0.042523815998541,0.042523815998541,"positive"
"f_primary_sector_pct",0.0424921939310616,0.0424921939310616,"positive"
