"feature","mean","sd"
"f_assets",376146878.994052,3644750804.28159
"f_total_grants",9646.77169938137,50080.0179232792
"f_avg_grant",44694.6477129728,356192.440040848
"f_median_grant",18737.2008974676,222945.148757142
"f_repeat_rate",0.470531175189872,0.231927373599493
"f_openness_score",0.516878714053046,0.219268709712444
"f_in_state_pct",0.570995001184156,0.356196466953644
"f_states_funded",17.3398094003,33.5169230693685
"f_sectors_funded",12.8011646254542,8.77592891223177
"f_years_active",4.78154934632666,1.46406260364975
"f_foundation_age",6.18953902570336,1.21409718883896
"f_payout_rate",27.8174971102586,3416.44716262125
"f_officer_count",4.84830495274793,1.47413637847377
"f_has_paid_staff",0.299744185337807,0.458146031712703
"f_grant_cv",2.9035237601624,4.05928313413324
"f_primary_sector_pct",0.374562133851459,0.241394571208101
"f_pct_capital",0.0213387494878628,0.0689121786599181
"f_pct_operating",0.230028836458076,0.361071407732082
"f_pct_program",0.748494461468657,0.361065034937185
"f_sector_hhi",0.0717634883285957,0.12827370195083
"f_is_accessible",1,1
"f_is_small",0.670594180766665,0.469997672845594
"f_is_growing",0.187499788373046,0.390312370663909
"f_is_declining",0.502118809065083,0.499995722253179
"f_is_recently_active",0.956299880473096,0.204427137279239
"r_total_revenue",61857986.9111675,488707439.775544
"r_org_age",10,1
"r_is_emerging",0,1
"match_same_state",0.252378686964795,0.434377537463748
"match_sector_pct",0.00136315620693391,0.00221852223172509
"match_state_pct",0.00138488216611192,0.00219726689148406
"match_capital_pct",0.0213387494878628,0.0689121786599181
"match_same_region",0.44057430476313,0.496456237128084
"match_same_division",0.345841615001473,0.475642075351487
"f_has_embedding",1,1
"f_log_assets",14.3954883586344,4.46082581404779
"f_log_total_grants",5.30405583992924,2.32429834671701
"f_log_avg_grant",9.30935935817802,1.51375357192998
"f_log_median_grant",8.31010174322419,1.65867471258129
"f_grants_per_year",1733.04579912938,8382.95295834415
"f_log_grants_per_year",3.86259909061286,2.20711436146418
"r_log_total_revenue",12.0076846616888,5.83709162433457
"r_log_org_age",2.39789527279838,1
"match_state_x_geo_conc",0.000418429164379909,0.000957156041384955
"match_sector_x_sector_hhi",9.88752388602705e-05,0.000403252774643408
"match_grant_size_ratio",5.02347879222758,3.63875802913018
"match_budget_in_range",0.307266253796588,0.425563024358371
"match_semantic_similarity",0.533873097089432,0.235024880061286
"f_state_NY",0.0827537576481981,0.27550977749985
"f_state_TX",0.0808541941076284,0.272611181562008
"f_state_CA",0.0738171746277905,0.261473243816696
"f_state_PA",0.0610255950103443,0.239377359560513
"f_state_FL",0.0507151298035086,0.219415464737723
"f_state_NC",0.0481730668300991,0.2141318782357
"f_state_OH",0.047553423108309,0.212819485478037
"f_state_IL",0.0459154304830851,0.209301793613457
"f_state_MA",0.0390240103477116,0.193652184880845
"f_state_WI",0.0310092743396393,0.173342795293609
"f_state_OTHER",0.439158943693686,0.496284771437932
"r_state_NY",0.100508412594682,0.30067681673556
"r_state_PA",0.100116479475571,0.300155370229529
"r_state_CA",0.0706563144404075,0.256249985863886
"r_state_TX",0.0557755535314613,0.229487877110729
"r_state_GA",0.05083871994474,0.219668353084065
"r_state_MA",0.0488375754661719,0.215528434344908
"r_state_CO",0.0375477007154684,0.1900997145644
"r_state_NJ",0.0368154714540634,0.188308583269455
"r_state_WA",0.0356735324093983,0.185474959537712
"r_state_IL",0.0322807290802523,0.176744759622773
"r_state_OTHER",0.430949510887784,0.49520928660958
"r_ntee_A",0.0957671223136074,0.294271734798716
"r_ntee_B",0.0865029407681551,0.281105405316004
"r_ntee_C",0.0287854983052914,0.167203220837268
"r_ntee_D",0.0436137757296051,0.204234300756387
"r_ntee_E",0.0737350633695752,0.261339361012597
"r_ntee_F",0.0202543925290606,0.140869332754094
"r_ntee_G",0.00991091351737542,0.099059051162173
"r_ntee_H",0.00337418015717957,0.0579896362471883
"r_ntee_I",0.0198201340191175,0.139381895352136
"r_ntee_J",0.00366961138519153,0.0604660932459787
"r_ntee_K",0.0124910693425343,0.111063283631149
"r_ntee_L",0.0106194405599141,0.10250208259393
"r_ntee_M",0.00282395007635501,0.053065787152067
"r_ntee_N",0.0493192384138475,0.216533809891769
"r_ntee_O",0.0148079612367141,0.120783682135349
"r_ntee_P",0.122680991836279,0.328070811241065
"r_ntee_Q",0.026506699262861,0.160636596080828
"r_ntee_R",0.0060982423111695,0.0778528026638575
"r_ntee_S",0.0113025723679532,0.10571108591536
"r_ntee_T",0.033806982673678,0.180732117363223
"r_ntee_U",0.00113685999776522,0.0336981974054742
"r_ntee_V",0.00084142876975326,0.028995197517106
"r_ntee_W",0.0178435382672324,0.132382631959499
"r_ntee_X",0.0127907331096295,0.112370551948102
"r_ntee_Y",0.000252259329362647,0.0158806771920848
"r_ntee_Z",0.00334793841486332,0.057764457478659
"r_ntee_UNKNOWN",0.287896461935929,0.452782798574752
