foundation_ein,foundation_name,foundation_state,amount,purpose_text,tax_year,source
383668101,The Darrell Harvey Family Foundation Inc,DE,500,General & Unrestricted,2024,database
061502288,The Tudor Foundation Inc,CT,100000,Charitable purposes,2023,database
812297831,THE SMART FAMILY FUND,IL,100000,HORIZONS NATIONAL FUNDING REQUEST 2023,2023,database
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,50000,SUPPORTING EXPANSION PROGRAM AND STAFFING,2023,database
061518993,THE KITE KEY FOUNDATION,CA,25000,GENERAL OPERATING SUPPORT,2023,database
854241768,Adam R Scripps Foundation,KY,10000,General Operations,2023,database
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,2000,GENERAL CHARITABLE PURPOSE,2023,database
383668101,The Darrell Harvey Family Foundation Inc,DE,500,General & Unrestricted,2023,database
392066890,THE PRESENT FAMILY FOUNDATION INC,NJ,250,UNRESTRICTED,2023,database
812297831,THE SMART FAMILY FUND,IL,200000,HORIZONS NATIONAL SUPPORT 2022,2022,database
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,100000,SUPPORT FOR THE ALBERTA MAGNUS AFFILIATE,2022,database
136161746,The Hearst Foundation,NY,100000,Support of general operations,2022,database
131623879,ALTMAN FOUNDATION,NY,75000,TO FULLY ESTABLISH HORIZONS OF NEW YORK CITY,2022,database
136224125,FLORENCE V BURDEN FOUNDATION,NY,33000,EDUCATION/SOCIAL SERVICES,2022,database
270961125,The Heineman-Russell Family Foundation,CT,25000,General Support,2022,database
061606588,NEWMAN'S OWN FOUNDATION,CT,10000,GENERAL OPERATIONS,2022,database
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,3000,GENERAL CHARITABLE PURPOSE,2022,database
383668101,The Darrell Harvey Family Foundation Inc,DE,500,General & Unrestricted,2022,database
231503488,THE WILLIAM PENN FOUNDATION,PA,210,GENERAL SUPPORT,2022,database
205960904,LEGO COMMUNITY FUND US INC,CT,200000,REIMAGINING THE BUILDING BLOCKS OF GIRLS EDUCATION,2021,database
812297831,THE SMART FAMILY FUND,IL,200000,HORIZONS NATIONAL SUPPORT,2021,database
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,100000,SUPPORT EXPANSION IN CONNECTICUT FOCUSING ON THE NEW REGION IN NEW HAVEN,2021,database
136015562,LOUIS CALDER FOUNDATION,CO,25000,BOARD DISCRETIONARY,2021,database
