foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state
223769097,NSN Foundation Inc,NJ,100.0,1.0,1,False
411359579,US BANK FOUNDATION,WI,100.0,0.9999999999999947,2,False
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999999739559,3,False
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.9999995800950006,4,False
770443347,Cisco Systems Foundation,CA,100.0,0.9999994925391835,5,False
561923903,TOM AND BRENDA NASH FOUNDATION INC,NC,100.0,0.9999962275453564,6,True
831416177,WILLIAM DEWITT CHARITABLE FOUNDATION,NC,100.0,0.9999962120860797,7,True
566312873,JULE C MODLIN SCHOLARSHIP FUND,NC,100.0,0.9999925797659249,8,True
131684331,THE FORD FOUNDATION,NY,100.0,0.9999884487337964,9,False
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999839196989126,10,False
581484629,MARY DUKE BIDDLE TRENT SEMANS FOUNDATION,NC,100.0,0.9999674247086835,11,True
582115961,FINANCIAL EXAMINERS EDUCATIONAL,WI,100.0,0.9999479537041791,12,False
562058027,WINSTON FAMILY FOUNDATION INC,NC,100.0,0.99989637112787,13,True
566034567,BRYAN FOUNDATION INC CO FIRST CITIZENS,NC,100.0,0.9998503424028466,14,True
810704727,1880 FOUNDATION,NC,100.0,0.9998118968871134,15,True
136123529,AMERICAN EXPRESS FOUNDATION,NY,100.0,0.9998079306167369,16,False
850834021,Valerie Harris Ministries Refreshed Kingdom Center,TN,100.0,0.9997515603361363,17,False
566526359,William Harold Smith Charitable Trust,NC,100.0,0.9997136645552803,18,True
566290640,TR UW PERRY MEM SCHOLARSHIP,TX,100.0,0.9997021056780219,19,False
263549628,RON AND SHARON MATTHEWS FAMILY,NC,100.0,0.9995803556684489,20,True
261595087,Durham Sports Club Scholarship Foundatio,NC,100.0,0.9995114423388712,21,True
566037907,TA THOMAS AUSTIN FINCH FOUNDATION,MA,99.9,0.9994980832839698,22,False
562156876,THE EDWARD M ARMFIELD SR FOUNDATION I,NC,99.9,0.9994130152423183,23,True
566128334,BENNETT LILLIE MEM FOUNDATION CO BB&T,FL,99.9,0.9994038963788988,24,False
912052930,DONNIE M ROYAL FOUNDATION,NC,99.9,0.9993578532342235,25,True
836582316,EBOR CHARITABLE TRUST,WY,99.9,0.9991886311091982,26,False
561795876,THE LOVETT FOUNDATION,NC,99.9,0.9990163692695417,27,True
562226009,Blue Cross and Blue Shield of NC Foundation,NC,99.9,0.9989906953732255,28,True
566042532,THE CANNON FOUNDATION INC,NC,99.9,0.9989629144302089,29,True
873904857,UWHARRIE CAPITAL CORP COMMUNITY,NC,99.9,0.9989307118950895,30,True
136690071,UW JEAN MAUZE CHARITABLE TRUST,TX,99.9,0.9988126935094731,31,False
208088041,NANCY A WRIGHT FOUNDATION INC,NC,99.9,0.9985847641669949,32,True
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,99.8,0.9984763591175436,33,False
546603260,ANNE CANNON TRUST,PA,99.8,0.998365690829287,34,False
566044941,FA Furniture Foundation,NC,99.8,0.9983070851368439,35,True
357033142,Evelyn D Schmidt Charitable Trust,NC,99.8,0.9982705219782508,36,True
273019321,BRIAN J VOSBURGH CHARITABLE TRUST,NC,99.8,0.9980983354797415,37,True
562168849,RICHMOND COMMUNITY FOUNDATION,NC,99.8,0.9980631684752848,38,True
522329196,EUNICE A TURNER FOUNDATION INC,NC,99.8,0.9979772783154507,39,True
566044443,COZART FOUNDATION INC,NC,99.8,0.9978121300488592,40,True
222621967,GE FOUNDATION,CT,99.8,0.9977806299220303,41,False
760533496,Redstone Summit Foundation,NC,99.8,0.9977679307527425,42,True
561544614,WOODSON FAMILY FOUNDATION INC,NC,99.8,0.9975692171616435,43,True
562120806,HARRIETT & GEORGE THORPE FOUNDATION,NC,99.7,0.997492584404745,44,True
874025420,D & L REYNOLDS FOUNDATION INC,NC,99.7,0.9974253848893149,45,True
541807854,BRADLEY W JACKSON FOUNDATION,NC,99.7,0.9973309933909328,46,True
566037909,BROWN F FINCH FOUNDATION,TX,99.7,0.9971638981661612,47,False
046131201,FIDELITY FOUNDATION,MA,99.7,0.997158681272274,48,False
871437780,John Lynn & Luisa Lee,NC,99.7,0.9970013189978636,49,True
566045483,TANNENBAUM-STERNBERGER FOUNDATION INC,NC,99.7,0.9969395606475637,50,True
