foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE CHRIS BOLEN AND JEANNE L,FL,138745,4,200,2023,t
LA84 FOUNDATION,CA,186807826,3,30000,2023,t
ESB CHARITABLE FOUNDATION,CA,116752012,2,161000,2019,f
JAMES D & CATHRYN M MOORE FOUNDATION,OK,3676642,2,1000,2018,f
DANIELS FUND,CO,1303622638,1,110000,2023,t
THE RALPH C WILSON JR FOUNDATION,MI,1001561935,1,89142,2020,t
SALESFORCE FOUNDATION,CA,395528825,1,100,2019,f
THE CONFIDENCE FOUNDATION,CA,93173301,1,10000,2023,f
WELSH FAMILY FOUNDATION,WA,10994895,1,5000,2022,f
Madge M & Joseph T Mohar Charitable,CO,3747952,1,15000,2019,t
ALICE AND JACLYN HOUSEKNECHT,NY,1053554,1,1000,2019,f
ALEXANDER RUSSELL TULLOCH TRUST,HI,828618,1,14500,2022,f
THE EUGENE BIRNBAUM FOUNDATION INC,CA,95228,1,625,2022,f
GORDON E AND BETTY I MOORE FOUNDATION,CA,8766258805,0,1200,2018,f
The David and Lucile Packard Foundation,CA,8324855767,0,450,2018,t
Annie E Casey Foundation Inc,MD,2333832936,0,414,2022,f
M J MURDOCK CHARITABLE TRUST,WA,1892899273,0,32500,2020,t
The Wallace Foundation,NY,1706055092,0,42045,2022,f
JPMORGAN CHASE FOUNDATION,NY,1219377637,0,458,2024,f
ARIE AND IDA CROWN MEMORIAL,IL,1066800812,0,60000,2023,t
THE CALIFORNIA WELLNESS FOUNDATION,CA,1042135742,0,5000,2020,t
STOLLER FOUNDATION,TX,846951509,0,24668,2023,t
Public Welfare Foundation Inc,DC,601086862,0,1000,2017,t
Enterprise Holdings Foundation,MO,545498383,0,3000,2023,t
The Colorado Trust,CO,531367157,0,9000,2020,f
CLARK CHARITABLE FOUNDATION INC,MD,491907174,0,50000,2020,f
EVELYN AND WALTER HAAS JR FUND,CA,469121844,0,5000,2020,f
THE SHERWOOD FOUNDATION,NE,459948692,0,50000,2023,f
EL POMAR FOUNDATION,CO,447556831,0,7500,2021,t
THE RALPH M PARSONS FOUNDATION,CA,438732767,0,87500,2022,t
TRUIST FOUNDATION INC,FL,435603374,0,25000,2023,t
THE GOIZUETA FOUNDATION INC,GA,423613085,0,87500,2020,t
THE CHAMPLIN FOUNDATION,PA,422072861,0,9250,2023,t
RDK FOUNDATION,WI,399084408,0,12500,2020,f
Peter Kiewit Foundation,NE,396126812,0,250000,2023,t
THE STEPHEN & RENEE BISCIOTTI FOUNDATION,MD,378209313,0,100000,2023,f
THE NEUBAUER FAMILY FOUNDATION,PA,370416817,0,4750,2022,t
THE ARTHUR M BLANK FAMILY FOUNDATION,GA,352841834,0,75000,2023,f
THE ABELL FOUNDATION INC,MD,334676808,0,500,2022,t
ARGYROS FAMILY FOUNDATION,CA,326904053,0,100000,2019,t
Polk Bros Foundation Inc,IL,324694311,0,35000,2022,t
THE JOHN R OISHEI FOUNDATION,NY,315667488,0,2000,2019,t
KORET FOUNDATION,CA,315527122,0,50000,2020,t
ARCUS FOUNDATION,NY,275369766,0,200,2020,t
JTMF Foundation,DE,274763075,0,5000,2023,f
NATRONA COLLECTIVE HEALTH TRUST,WY,273030990,0,3180,2023,f
THE HENDERSON-WESSENDORFF FOUNDATION,TX,272596460,0,55000,2023,t
THE SMIDT FOUNDATION,CA,267841665,0,100000,2020,f
THE GEORGE FOUNDATION,TX,259760343,0,17400,2020,t
THE PFIZER FOUNDATION INC,NY,255366549,0,475,2023,f
Eastern Bank Foundation,MA,249698317,0,1000,2023,t
