foundation_ein,foundation_name,foundation_state,match_score,match_logit,match_probability,match_rank,same_state,semantic_sim
811344384,GARY E MILGARD FAMILY FOUNDATION-LORI,WA,1235.56,1235.5568230689066,1.0,1,False,0.0
946073636,MARINI FAMILY TRUST,NV,1107.35,1107.3459993357128,1.0,2,False,0.0
943116041,The Upjohn Fund of San Francisco,DE,1089.31,1089.306678812745,1.0,3,False,0.0
943339119,TOUCHPOINT FOUNDATION - HOST,NJ,1019.22,1019.2214648780607,1.0,4,False,0.0
956255900,KUEHN TRUMAN C TUA,NV,998.4,998.4002093980299,1.0,5,False,0.0
956030315,PORTER JOHN W TUW,NV,993.82,993.8244025973255,1.0,6,False,0.0
770549288,THE ALLISON LEE CONDIT FOUNDATION,CA,986.21,986.2140410688128,1.0,7,True,0.0
946073762,ANNUNZIATA SANGUINETTI FOUNDATION,MO,981.87,981.8740216260093,1.0,8,False,0.0
954797873,PETER AND CANDIS DOERKEN FOUNDATION,CA,964.45,964.4474119488248,1.0,9,True,0.0
463559307,PEONY FOUNDATION INC,CA,950.79,950.7863321864946,1.0,10,True,0.0
954019288,HAROLD R SWANTON AND WINIFRED SWANTON,WI,940.96,940.9608918969486,1.0,11,False,0.0
920504697,Barr-Campbell Family Foundation Inc,DE,925.65,925.6481092124922,1.0,12,False,0.0
205578380,MILDRED & MARIAN KIGER FOUNDATION,CA,922.95,922.9524882757228,1.0,13,True,0.0
271878882,A GARY ANDERSON FAMILY FOUNDATION,NV,919.65,919.6542545874174,1.0,14,False,0.0
954438839,CARL W JOHNSON FOUNDATION,CA,899.89,899.8886185529249,1.0,15,True,0.0
912169259,THE RAZI FAMILY FOUNDATION,CA,893.26,893.2593639673074,1.0,16,True,0.0
237425882,THE AIDLIN FOUNDATION,CA,884.16,884.1616989787279,1.0,17,True,0.0
205632706,GAINEY FOUNDATION,WI,883.29,883.2863440658938,1.0,18,False,0.0
237433359,AUTRY FOUNDATION,CA,876.87,876.8650152437986,1.0,19,True,0.0
946079537,HARRISON MECHAM RELIEF FUND OF PETALUMA,CA,872.81,872.8086091183932,1.0,20,True,0.0
597246019,ETHEL FRENDS CHARITABLE FOUNDATION,TX,859.57,859.5662351912744,1.0,21,False,0.0
954279684,THE JESS AND PALMA MORGAN FOUNDATION,CA,834.82,834.8172574059594,1.0,22,True,0.0
943343590,JOSEPH L BARBONCHIELLI AND,CA,831.96,831.9590413691528,1.0,23,True,0.0
510141231,THE PARKER FOUNDATION,CA,829.27,829.2734829009523,1.0,24,True,0.0
943368338,Westly Foundation,DE,828.42,828.4200338681499,1.0,25,False,0.0
943155521,GGS FOUNDATION,CA,824.26,824.2565225767825,1.0,26,True,0.0
956527634,STEWART LAURA MAY T U W,NJ,823.82,823.8197676424436,1.0,27,False,0.0
306268353,WALTER J & HOLLY O THOMSON CHARITABLE,TX,821.05,821.0481159158053,1.0,28,False,0.0
941196182,BOTHIN FOUNDATION,CA,811.59,811.5862835146729,1.0,29,True,0.0
943345967,BELLA VISTA FOUNDATION,CA,807.26,807.2639512289309,1.0,30,True,0.0
261416819,The Hubbard Family Foundation Inc,CA,806.77,806.7720765302324,1.0,31,True,0.0
776070540,LATKIN CHARITABLE FOUNDATION,WI,801.86,801.8561499905414,1.0,32,False,0.0
510148314,STROBEL C EDWARD & EDITH TUA,NV,798.22,798.2157665322004,1.0,33,False,0.0
956062009,MAYR GEORGE H - MAIN,MO,796.06,796.0596259066502,1.0,34,False,0.0
954716272,LOUIS AND DONNA JONES FAMILY FOUNDATION,CA,795.66,795.6614589947542,1.0,35,True,0.0
956085895,THE RALPH M PARSONS FOUNDATION,CA,790.85,790.8544399530161,1.0,36,True,0.0
956944277,JAMES B PENDLETON CHARITABLE TRUST,WA,785.86,785.857194392474,1.0,37,False,0.0
957064609,SANFORD ANDERSON CHARITABLE FOUNDATION,TX,780.16,780.1613929081219,1.0,38,False,0.0
770437521,WATERFORD FOUNDATION,CA,777.48,777.4826489583214,1.0,39,True,0.0
263456559,STAHLBERG JOSEPH H FOUNDATION,NV,771.86,771.8621072438737,1.0,40,False,0.0
874127520,ROHDE FAMILY FOUNDATION,CA,770.53,770.5284130113344,1.0,41,True,0.0
833306050,The Hafif Foundation,CA,764.3,764.3001495395835,1.0,42,True,0.0
