foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
MEMORIAL HOSPITAL ASSOCIATION INC,KS,7119931,1,5,5,1,60000,2023,f,t,t
WILLOW HILL FOUNDATION,OH,2745666,1,5,5,1,1000,2023,f,t,t
THE LIORA & LEVY GERZBERG,CA,1454954,2,4,4,2,1650,2022,f,t,t
GALE FAMILY FOUNDATION INC,CA,725321,1,3,3,1,500,2021,f,t,t
JULES D GOSSEAUX FOUNDATION INC,TX,519701,1,3,3,1,2000,2023,f,t,t
Johnson Family Charitable Foundation Inc,NC,14378,1,3,3,1,500,2024,f,t,t
Anschutz Family Foundation,CO,45765575,2,3,2,1,7500,2022,t,t,t
ED & JOANN HUBERT FAMILY,KY,9697027,1,2,2,1,4750,2023,f,t,t
RICHARD REED FOUNDATION,AZ,8744680,1,2,2,1,20750,2023,t,t,t
Robert & Terri Cohn Family Foundation,FL,6916367,2,5,2,0,2000,2023,f,t,t
CAROLYN SMITH FOUNDATION,TN,662225,1,2,2,1,2500,2023,t,t,t
THE VIVINT GIVEBACK FOUNDATION,UT,67795,1,2,2,1,500,2019,f,t,t
WINDSONG TRUST,CA,429269787,1,6,1,1,250000,2023,f,t,t
The Sheila Dave & Sherry Gold Foundation,CA,68555184,1,1,1,1,3000,2023,f,t,t
STANLEY W EKSTROM FOUNDATION INC,CA,54186830,1,1,1,1,5000,2020,t,t,t
THE LEANDRO P RIZZUTO FOUNDATION,FL,47098326,1,1,1,1,1000,2020,f,t,t
MAREK FAMILY FOUNDATION,TX,47095186,1,1,1,1,2500,2021,f,t,t
THE ZIONS BANCORPORATION FOUNDATION,UT,42797853,1,1,1,1,8100,2020,f,t,t
TRUST ESTATE OF GEORGE B RILEY,OH,21849974,1,1,1,1,5000,2021,f,t,t
Umpqua Bank Charitable Foundation,OR,16830197,1,1,1,1,6000,2024,t,t,t
DEBICKI FOUNDATION,IL,12726890,1,1,1,1,5000,2020,f,t,t
Sanderson Museum and Village,AZ,8122775,1,1,1,1,2500,2020,f,t,t
OAK TREE CHARITABLE FOUNDATION,CA,7453894,1,1,1,1,2000,2018,t,t,t
SAUL SCHOTTENSTEIN FOUNDATION B,OH,5502258,1,1,1,1,2500,2023,f,t,t
JUNE & JULIAN FOSS FOUNDATION,WA,4630836,1,1,1,1,5000,2020,t,t,t
RUSSELL J SALVATORE FOUNDATION,NY,2898166,1,1,1,1,10000,2018,t,t,t
PHIL AND MARY PATTISON FAMILY FOUND,MO,2331260,1,1,1,1,250,2023,f,t,t
Global Charitable Foundation Inc,TX,729024,1,1,1,1,10000,2022,f,t,t
ADRIAN AND BETSY GONZALEZ FOUNDATION,MD,725760,1,1,1,1,20000,2018,f,t,t
THE GLORIA ESTEFAN FOUNDATION INC,FL,489856,1,1,1,1,10000,2023,t,t,t
VALLEYCARE MEDICAL FOUNDATION INC,CA,398730,1,1,1,1,20000,2022,f,t,t
TONY L TALBOTT & CARMEN C TALBOTT,TX,227262,1,1,1,1,1000,2023,f,t,t
Sam's Fund,NC,213607,1,1,1,1,200000,2024,f,t,t
Grace Graves Huggins Foundation,NC,93304,1,1,1,1,500,2022,f,t,t
TULLY FAMILY FOUNDATION,MA,72043,1,1,1,1,2500,2023,f,t,t
CABRERIZO FAMILY FOUNDATION INC,FL,3812,1,1,1,1,5000,2020,f,t,t
DENTON FOUNDATION INC,WA,589,1,1,1,1,1000,2020,t,t,t
ETHEL AND NATHAN COHEN,CA,0,1,1,1,1,250,2018,f,t,t
John D and Catherine T MacArthur Foundation (Consolidated),IL,8672283398,1,6,0,0,619,2023,t,t,
THE KRESGE FOUNDATION,MI,4065070521,1,3,0,0,15000,2020,t,t,
JACK JOSEPH & MORTON MANDEL FOUNDATION,OH,3513554070,1,2,0,0,50000,2023,t,t,
THE WILLIAM PENN FOUNDATION,PA,3286225714,1,2,0,0,71001,2023,t,t,
OTTO BREMER TRUST,MN,1419998555,1,3,0,0,45000,2024,t,t,
JPMORGAN CHASE FOUNDATION,NY,1219377637,6,14,0,0,650,2024,f,t,
THE CALIFORNIA WELLNESS FOUNDATION,CA,1042135742,1,1,0,0,5000,2022,t,t,
THE RALPH C WILSON JR FOUNDATION,MI,1001561935,1,1,0,0,8000,2022,t,t,
THE POSES FAMILY FOUNDATION,FL,707319180,1,1,0,0,1000,2020,f,t,
CIRCLE OF SERVICE FOUNDATION,IL,565709610,1,1,0,0,1600,2023,t,t,
CLIF FAMILY FOUNDATION,CA,563707533,1,3,0,0,3500,2022,t,t,
Enterprise Holdings Foundation,MO,545498383,7,27,0,0,2200,2023,t,t,
Virginia G Piper Charitable Trust,AZ,442664466,2,9,0,0,5000,2023,t,t,
TRUIST FOUNDATION INC,FL,435603374,1,1,0,0,30000,2022,t,t,
Valley Baptist Legacy Foundation,TX,429107497,1,2,0,0,50248,2022,t,t,
MARIE LAMFROM CHARITABLE FOUNDATION,OR,374872001,1,1,0,0,35000,2023,t,t,
CHARINA ENDOWMENT FUND INC,NY,366223161,1,1,0,0,150000,2022,f,t,
THE FRED A & BARBARA M ERB FAMILY,MI,342348054,1,3,0,0,15000,2022,t,t,
ARGYROS FAMILY FOUNDATION,CA,326904053,1,1,0,0,12500,2023,t,t,
TROPER WOJCICKI FOUNDATION,CA,289144583,1,3,0,0,25000,2023,f,t,
CAROL ANN AND RALPH V HAILE JR,OH,276171000,1,5,0,0,25000,2023,f,t,
BOETTCHER FOUNDATION,CO,270811587,1,1,0,0,51,2020,t,t,
THE PFIZER FOUNDATION INC,NY,255366549,5,5,0,0,180,2023,f,t,
WAYNE AND GLADYS VALLEY FOUNDATION,CA,254892895,1,1,0,0,30000,2020,t,t,
The Jim Moran Foundation Inc,FL,251700402,1,1,0,0,10000,2020,t,t,
HUGH J ANDERSEN FOUNDATION,MN,251002895,1,9,0,0,23000,2024,t,t,
The Morgridge Family Foundation,DE,244345023,1,1,0,0,10000,2022,f,t,
VINIK FAMILY FOUNDATION,FL,242464623,1,1,0,0,50000,2021,f,t,
THE AUSTIN E KNOWLTON FOUNDATION INC,OH,237444476,1,4,0,0,15000,2023,t,t,
Centene Foundation,MO,221084856,1,1,0,0,25000,2021,f,t,
THE TAFT FOUNDATION,NY,220938159,1,1,0,0,7500,2022,f,t,
THE ROSALINDE AND ARTHUR GILBERT,CA,219824526,1,2,0,0,5000,2023,t,t,
GEORGIA POWER FOUNDATION INC,GA,217918727,1,3,0,0,300,2023,t,t,
THE WILLIAM H DONNER FOUNDATION INC,NY,209766808,1,3,0,0,20000,2022,f,t,
ERGON FOUNDATION INC,MS,208112809,2,2,0,0,22500,2022,f,t,
THE HEALTHCARE FOUNDATION OF NEW JERSEY,NJ,198968478,1,4,0,0,35000,2023,t,t,
LLOYD A FRY FOUNDATION,IL,198005600,1,1,0,0,500,2018,t,t,
CVS FOUNDATION,RI,197167369,1,1,0,0,100000,2023,t,t,
FORD MOTOR COMPANY FUND,MI,195032102,1,3,0,0,10000,2020,f,t,
S MARK TAPER FOUNDATION,CA,186186083,1,1,0,0,20000,2024,t,t,
The Coleman Foundation Inc,IL,174975741,1,4,0,0,12500,2023,t,t,
ROBINS FOUNDATION,VA,165243528,1,3,0,0,35000,2023,t,t,
JA WEDUM FOUNDATION,MN,164265416,1,2,0,0,1550,2019,t,t,
WHH FOUNDATION,CA,163332898,1,1,0,0,5000,2022,f,t,
THE EISNER FOUNDATION INC,CA,162700443,1,2,0,0,135000,2022,t,t,
Gilead Foundation,CA,162540742,1,2,0,0,63500,2022,f,t,
