foundation_ein,foundation_name,foundation_state,match_score,match_logit,match_probability,match_rank,same_state,semantic_sim
832495796,Torrington Savings Foundation,DE,890.21,890.2119957556694,1.0,1,False,0.0
066235627,LASZIG IJ TR,MO,863.21,863.2086027754223,1.0,2,False,0.0
066027576,ELIZABETH CARSE FOUNDATION,TX,836.6,836.6042497075166,1.0,3,False,0.0
066030489,THOMAS ATKINS MEML FD TR UW,TX,805.8,805.7952109958326,1.0,4,False,0.0
066502822,LARRY W MCCURDY FAMILY FOUNDATION,FL,794.17,794.170143225783,1.0,5,False,0.0
066446073,BAUER ERWIN C CHAR TUW,MO,758.08,758.0777134898536,1.0,6,False,0.0
061542290,OLGA SIPOLIN CHILDREN'S FUND,TX,744.5,744.5049041131431,1.0,7,False,0.0
066040150,MARION ISABELL COE FUND,TX,741.77,741.7689612403522,1.0,8,False,0.0
066038194,AGED & INDIGNT WOMEN'S FD D LANE,TX,729.79,729.7875737709924,1.0,9,False,0.0
066142263,R S GERNON TRUST,TX,663.41,663.407653139892,1.0,10,False,0.0
066026054,SWINDELLS CHAR FDN TR UW,TX,649.2,649.1988242559621,1.0,11,False,0.0
222648036,THE MAXIMILIAN E AND MARION O HOFFMAN,CT,647.8,647.8044763393873,1.0,12,True,0.0
061245402,J WALTON BISSELL FOUNDATION INC,CT,644.76,644.7609794194373,1.0,13,True,0.0
046037391,WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND,CT,621.52,621.5201433207586,1.0,14,True,0.0
061413251,THE AHEARN FAMILY FOUNDATION,CT,618.92,618.9175210723412,1.0,15,True,0.0
066377722,MCDONALD FAMILY TRUST,FL,588.69,588.6891181736955,1.0,16,False,0.0
223136019,TS KIM ARCHITECTURAL,CT,587.48,587.4821105276463,1.0,17,True,0.0
061454867,NIHLA & BOB LAPIDUS FOUNDATION INC,CT,585.27,585.274827472238,1.0,18,True,0.0
113709335,IVES BANK FOUNDATION INC FKA SAVINGS,CT,582.35,582.3472559506473,1.0,19,True,0.0
066025573,WHITE LINFORD & MILDRED FDN,TX,568.31,568.3083746973225,1.0,20,False,0.0
133693797,AMY SHAPIRO SCHOLARSHIP FOUNDATION INC,CT,568.13,568.1256939250842,1.0,21,True,0.0
586222005,TW MARIAN W OTTLEY-WATERTOWN,MO,561.85,561.8455475423724,1.0,22,False,0.0
452599017,FARMINGTON BANK COMMUNITY,CT,561.27,561.2729042410658,1.0,23,True,0.0
872625371,Northwest Community Bank Foundation Inc,CT,558.82,558.824586335268,1.0,24,True,0.0
862508615,THE KONTULIS FUND,MI,558.19,558.1864671289986,1.0,25,False,0.0
136192516,ANNE S RICHARDSON FUND XXXXX3004,IL,553.02,553.020439902098,1.0,26,False,0.0
262952875,ZUKOWSKI FAMILY FOUNDATION INC,FL,546.41,546.4144714428069,1.0,27,False,0.0
066240247,ARDENGHI AF GEN CHARIT PURPOSE,TX,533.47,533.470682958594,1.0,28,False,0.0
202659766,THE BERKLEY FAMILY FOUNDATION,FL,514.84,514.8449443748668,1.0,29,False,0.0
831272154,ANNE AND ROLLIN BATES FOUNDATION INC,CT,509.71,509.7098139190747,1.0,30,True,0.0
066029604,SHEA MARY E EST TR UW,TX,509.58,509.58037176250224,1.0,31,False,0.0
061188156,E CLAYTON AND EDITH P GENGRAS JR,CT,509.01,509.0098161012423,1.0,32,True,0.0
066020977,MARETT PHILIP COTRS UW,TX,502.01,502.0059464530269,1.0,33,False,0.0
222538914,THE VERNON K KRIEBLE FOUNDATION INC,MA,497.37,497.3717196202755,1.0,34,False,0.0
223199039,THE GRYPHON FUND,CT,496.74,496.7444396064119,1.0,35,True,0.0
136959146,SEHERR-THOSS FOUNDATION,NY,492.91,492.90874853570193,1.0,36,False,0.0
061539443,EASTERN CT SAVINGS BANK FOUNDATION INC,CT,489.55,489.5511837012158,1.0,37,True,0.0
223139258,JOHN AND KELLY HARTMAN FOUNDATION,CT,489.01,489.00525845956867,1.0,38,True,0.0
921658709,OTTO FAMILY FOUNDATION,SC,483.33,483.3305399172148,1.0,39,False,0.0
060646564,BURROUGHS FUND V00728002,CT,482.59,482.58663338248414,1.0,40,True,0.0
066284362,THE SAUNDERS FOUNDATION CO SHIPMAN & GOODWIN,CT,480.53,480.52977166087453,1.0,41,True,0.0
137235067,DXN FOUNDATION,NY,478.74,478.7371845870453,1.0,42,False,0.0
060759107,THE FUND FOR GREATER HARTFORD INC,CT,478.53,478.5304111980898,1.0,43,True,0.0
061057387,CONNECTICUT HEALTH FOUNDATION INC,CT,477.21,477.21047470883326,1.0,44,True,0.0
061393429,GEORGE J & JESSICA HARRIS FOUNDATION,CT,476.83,476.82520081967215,1.0,45,True,0.0
204058314,HOAG FAMILY CHARITABLE FDN,TX,476.61,476.6066340683267,1.0,46,False,0.0
222566615,MARK R FUSCO FOUNDATION,CT,467.91,467.9117996835071,1.0,47,True,0.0
562453619,NEWALLIANCE FOUNDATION INC,CT,467.7,467.7002748071453,1.0,48,True,0.0
363637316,GALANTE FAMILY FOUNDATION,IL,466.08,466.08051489488525,1.0,49,False,0.0
952264158,CHARTER OAK FOUNDATION,CT,463.3,463.2951719617348,1.0,50,True,0.0
066050196,MARJORIE MOORE CHARITABLE FDN,TX,460.94,460.93845290337856,1.0,51,False,0.0
