foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
HATTIE M STRONG FOUNDATION,VA,26556489,1,6,6,2,12500,2023,f,t,t
GEORGIA POWER FOUNDATION INC,GA,217918727,1,5,5,1,50000,2023,t,t,t
THE PRIMERICA FOUNDATION INC,GA,495303,1,5,5,1,25000,2023,f,t,t
THE CALIFORNIA ENDOWMENT,CA,4453417123,1,4,4,1,10000,2021,f,t,t
STOCKEL FAMILY FOUNDATION,CA,16668336,1,5,4,1,25000,2023,f,t,t
Joseph B Whitehead Foundation,GA,192205042,1,3,3,1,400000,2023,t,t,t
THE CALIFORNIA WELLNESS FOUNDATION,CA,1042135742,2,4,2,1,167500,2023,t,t,t
AEC Trust,DE,48373480,1,2,2,1,25000,2022,t,t,t
THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,18367659,1,3,2,0,10000,2023,f,t,t
THE JOHN AND MARY NEFF FOUNDATION,GA,3147818,1,2,2,1,20000,2023,f,t,t
JACK KENT COOKE FOUNDATION,VA,890282047,1,1,1,1,18460,2021,t,t,t
The Webber Family Foundation,TX,13939322,1,1,1,1,2000,2020,t,t,t
JACK AND ANNE GLENN CHAR FDN,FL,12157971,1,2,1,0,15000,2023,t,t,t
GARCIA FAMILY SPOTLIGHT FOUNDATION INC,MD,2909292,1,1,1,1,1307,2023,f,t,t
CLOUDBREAK FOUNDATION INC,VA,1404959,1,1,1,1,10000,2022,t,t,t
THE PELINO CHARITABLE FOUNDATION,IL,549709,1,1,1,1,10000,2020,t,t,t
THE WILLIAM & FLORA HEWLETT FOUNDATION,CA,13332174215,1,6,0,0,150000,2023,t,t,
THE BLOOMBERG FAMILY FOUNDATION INC,NY,11808358665,1,3,0,0,373900,2023,f,t,
The David and Lucile Packard Foundation,CA,8324855767,1,1,0,0,675,2020,t,t,
THE ROCKEFELLER FOUNDATION,NY,6225179743,1,2,0,0,325,2023,f,t,
CRANKSTART FOUNDATION,CA,3909004192,1,2,0,0,500000,2023,f,t,
The James Irvine Foundation,CA,3300619484,1,3,0,0,5000,2022,f,t,
MARGARET A CARGILL FOUNDATION,MN,3254260683,1,2,0,0,5000,2019,f,t,
GERSON BAKAR FOUNDATION,CA,2455727032,1,1,0,0,250,2018,f,t,
Annie E Casey Foundation Inc,MD,2333832936,1,1,0,0,10000,2023,f,t,
RIPPLEWORKS INC,CA,1419088778,1,1,0,0,105,2023,f,t,
FOUNDATION FOR A JUST SOCIETY,NY,1246192288,1,1,0,0,250000,2023,f,t,
JPMORGAN CHASE FOUNDATION,NY,1219377637,3,10,0,0,1560,2024,f,t,
SKYLINE FOUNDATION,CA,1046937741,1,2,0,0,40000,2019,f,t,
RASMUSON FOUNDATION,AK,760803239,1,1,0,0,2000,2023,t,t,
J BULOW CAMPBELL FOUNDATION,GA,715985768,1,1,0,0,100000,2022,t,t,
STANLEY FAMILY FOUNDATION,NY,553981303,1,3,0,0,15000,2023,f,t,
Enterprise Holdings Foundation,MO,545498383,3,14,0,0,1750,2023,t,t,
Pulte Family Charitable Foundation,FL,510005593,1,3,0,0,25000,2023,f,t,
CLARK CHARITABLE FOUNDATION INC,MD,491907174,1,1,0,0,20000,2023,f,t,
EVELYN AND WALTER HAAS JR FUND,CA,469121844,1,12,0,0,19750,2023,f,t,
WK Kellogg Foundation,MI,454402214,3,3,0,0,5000,2023,t,t,
THE RALPH M PARSONS FOUNDATION,CA,438732767,1,1,0,0,10000,2022,t,t,
THE GOIZUETA FOUNDATION INC,GA,423613085,1,1,0,0,300000,2020,t,t,
THE CANNON FOUNDATION INC,NC,329446542,1,1,0,0,35000,2018,t,t,
SOMELAND FOUNDATION,CA,310331526,1,2,0,0,225000,2022,f,t,
The Coca-Cola Foundation Inc,GA,309608071,2,3,0,0,50000,2023,t,t,
FM KIRBY FOUNDATION INC,NJ,302891224,1,4,0,0,55000,2023,f,t,
THE LOZICK FAMILY FOUNDATION,OH,266642612,1,1,0,0,5000,2022,f,t,
THE ZEIST FOUNDATION INC,GA,252415307,1,3,0,0,60000,2023,f,t,
STUPSKI FOUNDATION,CA,223687249,1,1,0,0,200000,2023,f,t,
Caerus Foundation Inc,IL,207719528,1,3,0,0,100000,2022,f,t,
THE NORD FAMILY FOUNDATION,OH,198037055,1,3,0,0,1500,2022,t,t,
THE JAMES AND JUDITH K DIMON FOUNDATION,NY,181276408,1,2,0,0,25000,2023,f,t,
WELLSPRING PHILANTHROPIC FUND INC,NY,180009489,1,10,0,0,112500,2022,f,t,
Helen V Brach Foundation,IL,127921392,1,3,0,0,500,2021,t,t,
FIRSTENERGY FOUNDATION,OH,125969538,1,3,0,0,2500,2022,t,t,
ALABAMA POWER FOUNDATION INC,AL,121475169,1,3,0,0,5000,2023,t,t,
THE DANIEL FOUNDATION OF ALABAMA,AL,115676328,1,2,0,0,25000,2022,t,t,
BAIRD FOUNDATION INC,WI,115318490,2,6,0,0,100,2023,f,t,
THE SARTAIN LANIER FAMILY FOUNDATION INC,GA,103863213,1,4,0,0,15000,2022,t,t,
THE LEONETTIO'CONNELL FAMILY FOUNDATION,CA,98662922,1,2,0,0,648500,2020,f,t,
NORA ROBERTS FOUNDATION,MD,97685892,2,2,0,0,4000,2021,f,t,
Henry P and Susan C Crowell Trust,CO,97642138,1,1,0,0,35000,2020,t,t,
MORGAN STANLEY FOUNDATION INC,NY,96112177,1,2,0,0,2000,2023,f,t,
JOSEPH DROWN FOUNDATION,CA,94820956,1,1,0,0,25000,2023,t,t,
THE HYDE AND WATSON FOUNDATION,NJ,87251751,1,3,0,0,15000,2023,t,t,
ROCKY MOUNTAIN HEALTH FOUNDATION,CO,82253098,1,1,0,0,21000,2022,f,t,
THE HAROLD C SMITH FOUNDATION TO,IL,78987384,1,1,0,0,23000,2023,f,t,
BROTHERS BROOK FOUNDATION,CO,78646554,1,3,0,0,40000,2022,f,t,
FRED A LENNON CHARITABLE TRUST,OH,77596493,1,1,0,0,5000,2020,f,t,
CALIFORNIA PHYSICIANS' SERVICE FDN,CA,77351171,1,1,0,0,100000,2020,t,t,
HIMAN BROWN CHARITABLE TRUST,NY,77218743,1,5,0,0,100000,2023,f,t,
The Wellmark Foundation,IA,74300021,1,1,0,0,19315,2023,t,t,
