ein,foundation_name,state,website_url,pct_in_state,median_grant,avg_grant,total_giving_5yr,total_recipients_5yr,grants_in_horizons_cities,horizons_cities_funded,target_grants_count,similar_nonprofits_funded,target_grants_to_similar_orgs,eligibility_status,eligibility_notes,primary_sector,assets
366108293,Polk Bros Foundation Inc,IL,www.polkbrosfdn.org,89.9,25000,49993,91404957,452,1497,6,156,157,70,"POSSIBLE","Chicago-focused; NOT accepting until late 2026 (transition period)",A,324694311
742568941,THE COLORADO HEALTH FOUNDATION,CO,WWW.COLORADOHEALTH.ORG,94.8,56000,154814,349667984,722,934,8,1,320,0,"UNLIKELY","Health focus not aligned with youth education",P,2822619846
300127892,NEW YORK STATE HEALTH FDN,NY,WWW.NYHEALTHFOUNDATION.ORG,84.2,40000,60758,54820114,259,393,5,22,69,4,"UNLIKELY","Health focus not aligned with youth education",E,360607673
846002373,EL POMAR FOUNDATION,CO,WWW.ELPOMAR.ORG,97.8,3000,28169,85719722,891,344,5,16,282,5,"LIKELY","Colorado nonprofits; Horizons has Denver/CO Springs affiliates",P,447556831
236277885,THE BARRA FOUNDATION INC,PA,WWW.BARRAFOUNDATION.ORG,93.5,9000,23165,9583265,164,317,5,0,69,0,"UNLIKELY","Greater Philadelphia focus; no Philadelphia Horizons affiliate",A,82165197
363805338,ALPHAWOOD FOUNDATION,IL,ALPHAWOODFOUNDATION.ORG,83.1,30000,71053,36734350,109,314,4,0,29,0,"NOT ELIGIBLE","Invitation-only funding; does not accept applications",A,65137736
251721100,THE HEINZ ENDOWMENTS,PA,WWW.HEINZ.ORG,83.3,50000,118111,294096643,566,284,7,232,137,68,"POSSIBLE","Pittsburgh focus; OPEN rolling basis; LOI accepted; 68 target grants to similar orgs",A,2130567687
954292101,THE CALIFORNIA WELLNESS FOUNDATION,CA,WWW.CALWELLNESS.ORG,83.1,10000,77376,163765197,985,276,7,84,360,34,"POSSIBLE","CA health focus but 34 target grants to similar orgs; has youth wellness programs",P,1042135742
846029014,BONFILS-STANTON FOUNDATION,CO,BONFILS-STANTONFOUNDATION.ORG,98.4,8000,42286,11430093,88,239,2,2,19,0,"UNLIKELY","Denver arts focus; not aligned with youth education",A,70169649
236296825,CONNELLY FOUNDATION,PA,WWW.CONNELLYFDN.ORG,88.3,15000,71078,43854915,263,229,5,28,121,11,"UNLIKELY","Philadelphia area education; no Philadelphia Horizons affiliate",B,342952074
135626345,NEW YORK FOUNDATION,NY,WWW.NYF.ORG,93.7,15000,27868,19625484,129,200,4,62,35,19,"POSSIBLE","NYC focus; OPEN deadline March 2 2026; community organizing focus may not fit",P,54520936
841148157,KENNETH KENDAL KING FOUNDATION,CO,KENNETHKINGFOUNDATION.ORG,97.0,10000,17545,8165193,102,196,2,5,38,0,"UNLIKELY","Employment/entrepreneurship focus; not youth education",A,34571177
956054814,WEINGART FOUNDATION,CA,WWW.WEINGARTFND.ORG,90.8,10000,62464,152863675,558,187,6,21,266,7,"NOT ELIGIBLE","INVITATION ONLY - does not accept unsolicited proposals",P,866296097
562305694,THE ROSALINDE AND ARTHUR GILBERT,CA,WWW.THEGILBERTFOUNDATION.ORG,80.3,25000,33258,31406534,156,153,4,93,52,5,"POSSIBLE","California; 93 similar nonprofits funded; arts/education focus",A,219824526
136126105,CHARLES H REVSON FOUNDATION INC,NY,WWW.REVSONFOUNDATION.ORG,89.7,64000,79528,22188345,77,146,4,3,36,0,"POSSIBLE","NYC focus; education is one of 4 program areas; Horizons NYC",B,192587606
042768239,YAWKEY FOUNDATION II,MA,WWW.YAWKEYFOUNDATIONS.ORG,89.1,25000,118220,57336603,213,132,4,112,76,36,"POSSIBLE","MA focus; 112 similar nonprofits; website unavailable for details",P,448413557
262700185,NEXTFIFTY INITIATIVE,CO,WWW.NEXT50INITIATIVE.ORG,84.6,25000,55841,26917050,199,112,9,11,94,2,"NOT ELIGIBLE","Aging/50+ population focus; not aligned with youth education",P,244297749
030503425,Illinois Children's Healthcare,IL,www.ilchf.org,92.8,86750,114557,32380674,106,110,2,47,21,1,"POSSIBLE","IL children's health; may fund youth wellness; Horizons Chicago",E,141891372
582418091,GEORGIA HEALTH INITIATIVE INC,GA,HTTPS://WWW.GEORGIAHEALTHINITIATIVE.ORG,92.9,39000,47044,9230365,88,80,4,9,24,0,"UNLIKELY","Convening organization not traditional funder; health equity focus",E,138345394
137180778,FREDERIC R COUDERT FOUNDATION,NY,https://www.metmuseum.org/support/foundations-and-trusts,84.8,10000,20899,6469550,36,73,4,20,19,14,"UNLIKELY","Appears museum/arts focused based on website; 14 target grants to similar orgs",B,22870686
300219424,FAUQUIER HEALTH FOUNDATION,VA,WWW.PATHFORYOU.ORG,97.8,10000,27174,31032487,130,71,3,11,41,4,"UNLIKELY","Fauquier/Rappahannock/Culpeper counties VA only; no Horizons affiliate",P,287387251
942822302,CALIFORNIA PHYSICIANS' SERVICE FDN,CA,WWW.BLUESHIELDCAFOUNDATION.ORG,83.1,199543,252945,131395229,146,70,5,3,53,1,"UNLIKELY","Domestic violence/health equity focus; not youth education aligned",T,77351171
251127705,RICHARD KING MELLON FOUNDATION,PA,WWW.RKMF.ORG,87.3,200000,372615,456866291,360,68,7,54,115,13,"POSSIBLE","SW PA focus; OPEN rolling basis; 54 similar nonprofits; has Youth Mobility RFP",C,2601768833
510066734,LONGWOOD FOUNDATION INC,DE,WWW.LONGWOODFOUNDATION.ORG,100.0,200000,405129,164537574,145,46,8,10,85,3,"UNLIKELY","Delaware focus; no Horizons Delaware affiliate",P,967518991
133042360,THE EMILY DAVIE AND JOSEPH S KORNFELD,NY,www.kornfeldfdn.org,88.2,50000,54871,3812000,23,43,4,14,5,2,"POSSIBLE","NYC arts education; OPEN rolling basis; LOI to office@kornfeldfdn.org",A,26051978
330133359,ARCHSTONE FOUNDATION,CA,WWW.ARCHSTONE.ORG,83.3,9250,26738,8181932,64,33,4,1,25,1,"NOT ELIGIBLE","Serves older adults 50+ in California; not youth focused",P,106591460
223107878,ENVIRONMENTAL ENDOWMENT FOR,NJ,WWW.EENJ.ORG,84.3,17000,15824,1249500,11,26,2,0,0,0,"NOT ELIGIBLE","Environmental focus; not aligned with youth education",C,5653481
