foundation_ein,foundation_name,foundation_state,recipient_ein,recipient_name,amount,purpose_text,tax_year
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2024
061502288,The Tudor Foundation Inc,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,Charitable purposes,2023
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,HORIZONS NATIONAL FUNDING REQUEST 2023,2023
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,SUPPORTING EXPANSION PROGRAM AND STAFFING,2023
061518993,THE KITE KEY FOUNDATION,CA,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,GENERAL OPERATING SUPPORT,2023
854241768,Adam R Scripps Foundation,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,10000,General Operations,2023
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,2000,GENERAL CHARITABLE PURPOSE,2023
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2023
392066890,THE PRESENT FAMILY FOUNDATION INC,NJ,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,250,UNRESTRICTED,2023
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,HORIZONS NATIONAL SUPPORT 2022,2022
136161746,The Hearst Foundation,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,Support of general operations,2022
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,SUPPORT FOR THE ALBERTA MAGNUS AFFILIATE,2022
131623879,ALTMAN FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,TO FULLY ESTABLISH HORIZONS OF NEW YORK CITY,2022
136224125,FLORENCE V BURDEN FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,33000,EDUCATION/SOCIAL SERVICES,2022
270961125,The Heineman-Russell Family Foundation,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,General Support,2022
061606588,NEWMAN'S OWN FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,10000,GENERAL OPERATIONS,2022
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,3000,GENERAL CHARITABLE PURPOSE,2022
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2022
231503488,THE WILLIAM PENN FOUNDATION,PA,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,210,GENERAL SUPPORT,2022
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,HORIZONS NATIONAL SUPPORT,2021
205960904,LEGO COMMUNITY FUND US INC,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,REIMAGINING THE BUILDING BLOCKS OF GIRLS EDUCATION,2021
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,SUPPORT EXPANSION IN CONNECTICUT FOCUSING ON THE NEW REGION IN NEW HAVEN,2021
136015562,LOUIS CALDER FOUNDATION,CO,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,BOARD DISCRETIONARY,2021
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,EMERGENCY CASH SUPPORT TO STUDENT FAMILIES WITH SIGNIFICANT NEED DUE TO COVID-19,2021
237049738,JPMORGAN CHASE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,4000,GENERAL OPERATING SUPPORT,2021
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,2000,GENERAL CHARITABLE PURPOSE,2021
133945122,Maureen & Mark Rossi,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,1043,EDUCATION,2021
810861760,THE RUTLEDGE FAMILY FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,235000,TO PROMOTE THE WORK OF THE ORGANIZATION,2020
132989476,NEW YORK LIFE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,225000,EDUC. GENERAL,2020
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,GENERAL SUPPORT,2020
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,"SUPPORT FOR SCHOOL YEAR PROGRAMMING AT AFFILIATE SITES AND PROFESSIONAL DEVELOPMENT FOR THE NETWORK'S TEACHERS, STAFF AND LEADERSHIP",2020
200523317,THE PITNEY BOWES FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,EXPANDING HORIZONS THROUGH INDIVIDUALIZED LITERACY SUPPORT,2020
131623879,ALTMAN FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,TO HELP ESTABLISH A NEW YORK CITY REGIONAL AFFILIATE AND LAUNCH TWO NEW HORIZONS PROGRAMS,2020
061502288,The Tudor Foundation Inc,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,62500,Charitable purposes,2020
205960904,LEGO COMMUNITY FUND US INC,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,REIMAGINING BUILDING BLOCKS FOR GIRLS EDUCATION,2020
526037034,THE HARRY AND JEANETTE WEINBERG,MD,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,TO SUPPORT THIS ORGANIZATIONS INTENSIVE SIX-WEEK SUMMER PROGRAM THAT BLENDS ACADEMICS AND ENRICHMENT FOR PK-2 STUDENTS,2020
621516244,JENIAM FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,40000,VARIOUS SPECIAL PROJECTS,2020
133151548,The Herbert & Nell Singer Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,General & Unrestricted,2020
232867116,Horizon Foundation Inc,MA,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,20000,General Support,2020
136164229,BLANCHE T ENDERS CHARITBLE TR XXXXX5000,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,20000,GENERAL,2020
136084888,THE DYSON FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,5000,For general operating support.,2020
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,2000,GENERAL CHARITABLE PURPOSE,2020
841718891,The John and Diane Kim Foundation,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,1000,General & Unrestricted,2020
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2020
132989476,NEW YORK LIFE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,325000,EDUC. GENERAL,2019
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,GENERAL SUPPORT,2019
