foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state
200721133,THE BANK OF AMERICA CHARITABLE,NC,100.0,1.0,1,False
223769097,NSN Foundation Inc,NJ,100.0,1.0,2,False
411359579,US BANK FOUNDATION,WI,100.0,0.9999999999999971,3,False
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999999860043,4,False
770443347,Cisco Systems Foundation,CA,100.0,0.9999997272972565,5,False
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.9999993207050464,6,False
131684331,THE FORD FOUNDATION,NY,100.0,0.9999843653385825,7,False
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999775237295387,8,False
836582316,EBOR CHARITABLE TRUST,WY,100.0,0.9995638174506462,9,False
136123529,AMERICAN EXPRESS FOUNDATION,NY,99.9,0.9994947100612733,10,False
852700743,Ahimsa Foundation,CO,99.8,0.997546124050743,11,False
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,99.7,0.9974132537648616,12,False
222621967,GE FOUNDATION,CT,99.4,0.9939449346196312,13,False
460827839,AbbVie Foundation,IL,99.2,0.9924985195911644,14,False
236648842,THE CHANTICLEER CHARITABLE TRUST,MO,98.5,0.9848908440994896,15,False
262456949,CHUBB CHARITABLE FOUNDATION,PA,98.1,0.9809077353355085,16,False
581586283,DUKE ENERGY FOUNDATION,NC,97.8,0.9780329943743803,17,False
735682900,HH Champlin Foundation,OK,97.6,0.9759376258003403,18,False
050499622,THE ALEXANDRA MM GAGNON FOUNDATION,MA,97.6,0.9757385978580282,19,False
136047458,MARIANNE G FAULKNER TRUST UW FBO VARIOUS,IL,97.5,0.9747265964283709,20,False
942566167,Nora Eccles Treadwell Charitable Trust,UT,97.4,0.9740784322239902,21,False
263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,NY,97.4,0.9737026763274753,22,False
205804040,THE BOYD FAMILY FOUNDATION INC,CA,96.8,0.9683546592248591,23,False
956083677,ALPHONSE A BURNAND MEDICAL AND,CA,96.6,0.9659448890788713,24,False
510260302,LYNN & FOSTER FRIESS FAMILY,WY,95.7,0.957361414429099,25,False
800422183,Burt Harkins Family Foundation,TX,95.6,0.9557558667019984,26,False
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,95.2,0.9515597137998753,27,False
346525861,PORTHOUSE FOUNDATION,MO,94.7,0.9473247744173683,28,False
202202134,Nelnet Foundation,NE,94.7,0.9471655919754555,29,False
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,94.7,0.946789393261399,30,False
237241940,AETNA FOUNDATION INC,CT,93.8,0.9381175414123932,31,False
046024309,FISK RELIEF FUND,TX,93.4,0.9342463165716922,32,False
822671573,THE JAMES PATRICK GRIFFITH FOUNDATION,CO,93.4,0.9340440719620409,33,False
137029285,OPEN SOCIETY INSTITUTE,NY,93.0,0.9302368597105432,34,False
581987690,The Campership Fund,FL,93.0,0.9295218955514147,35,False
943089624,DOYON FOUNDATION,AK,92.9,0.929271487989469,36,False
274516157,DICK'S SPORTING GOODS FOUNDATION,PA,92.7,0.9272464261070498,37,False
854378095,WRIGHT FOUNDATION,WA,92.6,0.9263453835084907,38,False
056014169,PROVIDENCE SHELTER FOR COLORED CHILDREN,RI,92.6,0.9258847544454921,39,False
131677403,Helen Hay Whitney Foundation,NY,92.5,0.9246721516407821,40,False
756038519,TEXAS INSTRUMENTS FOUNDATION,TX,92.3,0.9231596884567669,41,False
222547157,CYRUS M QUIGLEY FOUNDATION,CT,92.3,0.9228638142320977,42,False
651104291,Jehovah - Jireh Foundation,MD,92.1,0.9208557897689127,43,False
870786480,THE JUNE OBLINGER SHOTT FOUNDATION INC,WV,91.3,0.9133377358101195,44,False
811328663,MLB-MLBPA Youth Development Foundation,NY,91.2,0.9115903448284458,45,False
436886268,The Lesley Waldheim Charitable Foundation,MO,91.1,0.9108555085046632,46,False
362899320,Conagra Brands Foundation,NE,90.9,0.9088324548183807,47,False
383681796,CARMAX FOUNDATION,VA,90.4,0.9042404399406425,48,False
460715559,Shraman Foundation,TX,89.5,0.8951830794503974,49,False
223473319,LISA MCGRAW FIGURE SKATING FDN,NJ,89.0,0.8899638996111664,50,False
043383620,C LEROY MILLER CHARITABLE FOUNDATION,NH,88.9,0.8887102024936128,51,False
464340990,GEORGE AND AUDREY GAUKLER FAMILY FOUNDAT,MN,88.8,0.8879663357409214,52,False
862141873,REVELYST CORPORATE FOUNDATION,DE,88.8,0.8875030232015934,53,False
832918979,The Chad and Susan Ward Family Foundation,ID,88.6,0.8862991468946624,54,False
814358288,SP JERMAIN HISTORICAL GOLF FOUNDATION,OH,88.6,0.8858292204755523,55,False
870646265,THE MCCARTHEY DRESSMAN EDUCATION FOUNDATION,UT,88.5,0.8852842391569805,56,False
236261726,THE CIGNA GROUP FOUNDATION,PA,88.3,0.8826387560122785,57,False
136069096,WILLIAM MATHEUS SULLIVAN MUSICAL FOUNDATION INC,MO,88.1,0.8813214006002726,58,False
386090960,The Youth Foundation of America,MI,88.1,0.8811569228776029,59,False
010541580,ROSS POWERS FOUNDATION,ME,88.0,0.8801240522995252,60,False
873780252,BARRY AND MARCI BRANDT FAMILY,FL,87.8,0.878105025990729,61,False
743025202,THE STEVE AND CANDACE HARRISON FAMILY FD,TX,87.7,0.8774590940941767,62,False
942278431,The David and Lucile Packard Foundation,CA,87.7,0.8772354145616676,63,False
201536989,THE JAMES E AND ALLYCE DARLING,MA,87.6,0.8764267476810528,64,False
873103893,Dodge Industrial Foundation Inc,SC,87.5,0.8754729296351551,65,False
721405288,SCOTT R WHEATON FOUNDATION CO REGIONS BANK,AL,87.2,0.8719107452162879,66,False
874044369,MEISEL FAMILY CHARITABLE FOUNDATION,TX,87.1,0.870793180678586,67,False
853457725,Ann Dilley White and Julie Steinle Hotz Fdn Inc,WV,87.0,0.8703447168596881,68,False
566075607,Blythe Brothers Foundation,NC,86.9,0.8693673593694339,69,False
453036156,THE LORALEE FOUNDATION,TX,86.9,0.86910707939674,70,False
454126770,Henry and Sara Sheehan Foundation,IL,86.7,0.8665594435827023,71,False
382571195,DEARBORN CABLE COMMUNICATIONS FUND,MI,86.3,0.8630002812840876,72,False
133070077,NIPERA INC,NC,86.3,0.8628281554377597,73,False
753023803,RENDEZVOUS FOUNDATION INC,CO,86.3,0.8625269108327247,74,False
136139518,THE KURT WEILL FOUNDATION FOR MUSIC,NY,86.0,0.8604195934178392,75,False
300246732,Genesis America Inc,London,86.0,0.8600927381791239,76,False
411825330,SACRED PORTION FOUNDATION,SC,85.8,0.8578879973492626,77,False
236878917,ROBERT C WHITE SCHOOL BOY ROWING,MO,85.8,0.8577901107146222,78,False
272388521,J Eric Jordan Charitable Foundation Inc,FL,85.7,0.857389987072619,79,False
911505735,BLAKEMORE FOUNDATION,WA,85.7,0.8573192682044175,80,False
454625508,I AM A LEADER FOUNDATION,UT,85.5,0.8548019374619914,81,False
996003243,GERTRUDE S STRAUB TRUST ESTATE,HI,85.3,0.8534330671972118,82,False
816014378,TOWE FOUNDATION,TX,85.3,0.8528516558463369,83,False
591885997,KOCH FOUNDATION,FL,85.0,0.8501338550981015,84,False
465655359,THE TONI ROSS SPIRIT FOUNDATION INC,OH,84.9,0.849309200450024,85,False
870792549,THE KANG FAMILY FOUNDATION INC,IL,84.6,0.8461815164728219,86,False
862201397,PANACEA FINANCIAL FOUNDATION,AR,84.5,0.8450858593964949,87,False
464213862,MATTHEW AND GRACE YEH FOUNDATION,WA,84.5,0.8449842755489668,88,False
520885287,Esperantic Studies Foundation,NC,84.5,0.84487724943217,89,False
431434313,THE BAKEWELL FOUNDATION,MO,84.3,0.8426363317921753,90,False
133060631,W EUGENE SMITH MEMORIAL FUND INC,NY,84.2,0.842462942370183,91,False
581574705,The Coca-Cola Foundation Inc,GA,84.1,0.8414994034360281,92,False
650512905,THE ALLEN FOUNDATION INC,FL,84.0,0.8398475749297994,93,False
131659619,CHINA MEDICAL BOARD INC,MA,83.8,0.8382654696464815,94,False
954082225,Animal Guardians Inc,CA,83.8,0.8381576157300088,95,False
202752615,AL AND IRENE KURTENBACH FOUNDATION,SD,83.8,0.8380039335477628,96,False
541605077,AE Robert Friedman PDCA,MO,83.7,0.8371194516913943,97,False
883168075,OLIVIA BLOOMFIELD FOUNDATION,KS,83.7,0.8365571260681502,98,False
911791444,HIS HELPING HAND FOUNDATION,ID,83.6,0.8362517215404738,99,False
381359264,WK Kellogg Foundation,MI,83.6,0.8360271131678824,100,False
131764840,USA EQUESTRIAN TRUST INC,KY,83.4,0.834035873346847,101,False
137224970,TSADRA FOUNDATION,NY,83.2,0.8319657449027804,102,False
461076954,THE NORMAN FAMILY FOUNDATION,TN,82.9,0.8293862241963024,103,False
383026270,Arnold G & Martha M Langbo Foundation,MI,82.9,0.8285812221513228,104,False
841976546,ELANCO FOUNDATION INC,IN,82.8,0.8280811888768507,105,False
760397472,JUDGE JOHN R BROWN SCHOLARSHIP,TX,82.8,0.8277848461233187,106,False
650939395,THE SAN MIGUEL FOUNDATION INC,FL,82.8,0.8276111401362658,107,False
223206973,CVS FOUNDATION,RI,82.8,0.8275591489436863,108,False
451501504,HEAL OUR LAND INC,WA,82.6,0.826225851124056,109,False
832723523,The Dahm Family Foundation,WA,82.5,0.8247515159910004,110,False
686223606,MACKENSEN TRUST,OK,82.2,0.8224373825938389,111,False
412007734,XCEL ENERGY FOUNDATION,MN,82.0,0.8203774339246226,112,False
411864977,LAND O'LAKES FOUNDATION,MN,82.0,0.8200235324289389,113,False
010524375,Firebird Foundation for,ME,81.8,0.8184047007933514,114,False
510211853,THE WILLIAMSBURG CHRISTADELPHIAN,NJ,81.7,0.8173419869822012,115,False
476062610,WEBERMEIER W SCHLRSHP FD,MO,81.7,0.8167528932560066,116,False
616025137,JOHN B & BROWNIE YOUNG MEMORIAL FUND,KY,81.6,0.816038824077922,117,False
146046784,MCCANN FOUNDATION INC,NY,81.6,0.8158099081648805,118,False
396516314,DANIEL BADER CHARITABLE TRUST,WI,81.5,0.8146831114908804,119,False
391874006,GERING FAMILY FOUNDATION,WI,81.5,0.8145551583919709,120,False
061321543,THE CORINTHIANS ENDOWMENT FUND,PA,81.4,0.8140677954493989,121,False
562618866,BILL & MELINDA GATES FOUNDATION,WA,81.4,0.8135557619534505,122,False
862993778,ALEXANDRA J AND MICHAEL L PIFER,FL,81.3,0.8129203067233262,123,False
136086195,E MATILDA ZIEGLER FOUNDATION FOR THE,CT,81.1,0.8112185913722242,124,False
814373484,COLOMBO CORPORATION,CA,81.1,0.8110815882965007,125,False
131813827,THE WENNER-GREN FOUNDATION FOR,NY,81.1,0.8107641357305025,126,False
823012793,The Durkin Foundation Inc,MA,81.0,0.809874827302662,127,False
060946153,SHLOMO ZALMAN & SHOSHANA STROCHLITZ,CT,80.7,0.8069422604276285,128,False
541524318,NCMA Education Research Foundation,VA,80.7,0.8068796397417816,129,False
113501028,JOHN O OUNJIAN FOUNDATION INC,FL,80.4,0.8043569703604139,130,False
203456484,JTM FOUNDATION,WA,80.4,0.8036310245559746,131,False
593686985,HARD ROCK HEALS FOUNDATION INC,FL,80.3,0.8031400630247312,132,False
872475508,GRIFFINS GAIA FOUNDATION,CO,80.2,0.8021052542959096,133,False
650710698,SALIZZONI FAMILY FOUNDATION INC,FL,80.1,0.8011515655740424,134,False
521268268,ASTA FOUNDATION INC,VA,80.1,0.8009948668904971,135,False
382359335,JOANNE CROSS COON FOUNDATION,NC,80.0,0.7999525441193751,136,False
205853758,OWASSO OUTREACH FOUNDATION,OK,80.0,0.7995943300673463,137,False
352149131,UNRUH CHARITABLE FOUNDATION INC,IN,79.8,0.7981433055438151,138,False
521194529,NATIONAL CENTER TO ENCOURAGE,MD,79.8,0.798118290251912,139,False
233025476,MILLBACH FOUNDATION INC,NH,79.7,0.7967138277879512,140,False
475494932,Q FOUNDATION FOR KIDS,FL,79.6,0.7963004233942147,141,False
873905344,TELLER FAMILY FOUNDATION,NY,79.5,0.7954394593151862,142,False
541568843,GANNETT FOUNDATION INC,VA,79.5,0.7954095597162116,143,False
870694911,DAVID RODMAN TITCOMB FOUNDATION,WY,79.4,0.7935685531704778,144,False
841548786,BEYOND THE MARK FOUNDATION,CO,79.2,0.7923943138568146,145,False
814713888,PARKER FAMILY FOUNDATION,FL,79.1,0.7906563884316501,146,False
814770273,JAMES T MILLS AND JEAN D MILLS CHARITABLE,NV,79.0,0.7902301472065068,147,False
821123287,THE HAUGHEY FAMILY FOUNDATION INC,IN,78.9,0.7894587029260366,148,False
371545757,The Will Smith Charitable Foundation,TX,78.9,0.789185093196394,149,False
262219241,ANNA GOULD CHARITABLE FOUNDATION INC,FL,78.9,0.7891631598076284,150,False
266010234,ALLEN SCHOLARSHIP TRUST,OH,78.9,0.7888769237154848,151,False
876532521,LAWSON CHARITABLE FOUNDATION,RI,78.9,0.7887401147487239,152,False
046131201,FIDELITY FOUNDATION,MA,78.7,0.7870413999831475,153,False
911659631,NATIONAL INTERCOLLEGIATE RODEO,WA,78.7,0.7865868119616978,154,False
137049947,SARAH DECOIZART PERPETUAL CHAR TR #2 ART 5TH,IL,78.6,0.7861653184627324,155,False
562255292,STATE EMPLOYEES CREDIT UNION FOUNDATION,NC,78.5,0.7854296958219024,156,False
863755635,ASTROBI FOUNDATION,CO,78.5,0.785338159423752,157,False
742336644,Frederic J & Dorothea Oppenheimer,TX,78.4,0.7843724631402949,158,False
363131160,THE FOSTER G MCGAW EDUCATIONAL FOUNDATION,IL,78.4,0.7836986276843673,159,False
203893539,THE BUUCK FOUNDATION INC,ID,78.3,0.7834775386822488,160,False
953728115,THE JOHNNY MERCER FOUNDATION,CA,78.3,0.7825532989649652,161,False
236710797,GRAHAM L AND B SCH,NV,78.2,0.782105077240552,162,False
050493445,AMICA COMPANIES FOUNDATION,RI,78.1,0.7805203742344087,163,False
956095343,THE NORTHROP GRUMMAN FOUNDATION,VA,78.0,0.7804842901489284,164,False
541672141,OAK SPRING GARDEN FOUNDATION,VA,78.0,0.7799935681091105,165,False
133271577,ART MATTERS INC,NY,77.9,0.7794516133427665,166,False
