foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
JAMES & WANDA HOLLENSTEINER FOUNDATION,MT,4928124,6,1000,2024,f
THE SALEM FOUNDATION,MA,50882159,4,50000,2023,t
JOHN H GRACE FOUNDATION,CA,18856056,4,75000,2023,f
PAUL F AND JOYCE KILMARTIN,RI,855116,4,1500,2023,f
ONE8 FOUNDATION,MA,424847249,3,10000,2023,f
THE GRABLE FOUNDATION,PA,326491183,3,15000,2023,t
HASLAM FAMILY FOUNDATION INC,TN,17163075,3,10000,2020,t
THE JOHN & PATTY MCENROE FOUNDATION,TN,675913,3,25000,2023,f
THE LOIS & RICHARD NICOTRA FOUNDATION,NY,30634,3,1000,2022,t
RICHARD & SUSAN SMITH FAMILY FOUNDATION,MA,296058142,2,3750,2021,t
LA84 FOUNDATION,CA,186807826,2,27500,2023,t
WUNSCH FOUNDATION INC,NY,11138036,2,770,2020,f
GARY BROAD FOUNDATION,CA,7506520,2,10000,2023,f
JASON FAMILY FOUNDATION,CA,1229313,2,500,2023,f
PRO CYCLIST FOUNDATION,CO,193,2,17500,2023,f
RICHARD KING MELLON FOUNDATION,PA,2601768833,1,150000,2023,t
THE HARRY AND JEANETTE WEINBERG,MD,1751272254,1,20000,2022,t
CUMMINGS FOUNDATION GRANTS INC (FKA ONEWORLD BOSTON INC),MA,233134310,1,30000,2023,t
STAUNTON FARM FOUNDATION,PA,65350551,1,25000,2023,t
ROOM TO BREATHE PROJECT,CA,57863386,1,5000,2022,t
David & Barbara B Hirschhorn,MD,37299041,1,5000,2020,t
SANTANDER CONSUMER USA INC FOUNDATION,TX,32270148,1,50000,2023,f
THE BRITTON FAMILY FOUNDATION INC,NY,20788557,1,24500,2020,f
DUTCH BROS FOUNDATION,OR,13358852,1,7500,2023,t
WELSH FAMILY FOUNDATION,WA,10994895,1,5000,2022,f
Silverback Educational Foundation for the Arts Dance and Athletics,PA,6289451,1,30000,2023,t
THE WILLIAMS FAMILY FOUNDATION,VA,6023672,1,5000,2023,t
GEOFAMILY FOUNDATION,AZ,5762285,1,5000,2020,f
BUFFALO BILLS FOUNDATION INC,NY,3741535,1,19250,2023,f
WOOD & MARIE HANNAH FOUNDATION,KY,1596799,1,5000,2023,t
The Barrios Trust,CA,1130140,1,7000,2023,f
ALICE AND JACLYN HOUSEKNECHT,NY,1053554,1,1000,2019,f
Evergreen Charitable Trust,OR,982343,1,1000,2019,t
KOCHES FAMILY FOUNDATIONINC,FL,934723,1,500,2022,f
TAUSCHER FAMILY FOUNDATION INC,WI,546620,1,1000,2024,f
THE EUGENE BIRNBAUM FOUNDATION INC,CA,95228,1,625,2022,f
THE SEAN JOSLYN SEAN-KARL AND JOHANNA,TX,68464,1,20000,2021,f
THE DO & RICKLES FAMILY CHARITABLE,FL,49135,1,10000,2020,f
LANCASTER COUNTY LIONS FOUNDATION INC,VA,36395,1,800,2023,t
TZP CARES FOUNDATION,NY,26523,1,2500,2023,f
GORDON E AND BETTY I MOORE FOUNDATION,CA,8766258805,0,1000,2020,f
John D and Catherine T MacArthur Foundation (Consolidated),IL,8672283398,0,3750,2019,t
CHARLES STEWART MOTT FOUNDATION,MI,3710874863,0,10000,2019,t
JOHN S AND JAMES L KNIGHT FOUNDATION,FL,2533365916,0,5000,2022,t
Annie E Casey Foundation Inc,MD,2333832936,0,2500,2022,f
THE HEINZ ENDOWMENTS,PA,2130567687,0,100000,2023,t
BARR FOUNDATION,MA,1904073923,0,300,2020,f
HILLMAN FAMILY FOUNDATIONS,PA,1865996880,0,75000,2022,t
DANIELS FUND,CO,1303622638,0,100000,2023,t
JPMORGAN CHASE FOUNDATION,NY,1219377637,0,2000,2024,f
THE RALPH C WILSON JR FOUNDATION,MI,1001561935,0,200000,2023,t
ENGELSTAD FAMILY FOUNDATION,NV,757319192,0,250000,2022,f
THE MORRIS AND GWENDOLYN CAFRITZ,DC,623293264,0,30000,2023,t
Enterprise Holdings Foundation,MO,545498383,0,2500,2023,t
CHARLES AND HELEN SCHWAB FOUNDATION,CA,531977043,0,25000,2023,f
CLARK CHARITABLE FOUNDATION INC,MD,491907174,0,65333,2023,f
WK Kellogg Foundation,MI,454402214,0,700,2021,t
THE CHAMPLIN FOUNDATION,PA,422072861,0,41638,2023,t
THE NEUBAUER FAMILY FOUNDATION,PA,370416817,0,4750,2022,t
THE ARTHUR M BLANK FAMILY FOUNDATION,GA,352841834,0,70000,2023,f
THE ABELL FOUNDATION INC,MD,334676808,0,30000,2023,t
KORET FOUNDATION,CA,315527122,0,10000,2024,t
GIVING GROUSBECK FAZZALARI,NY,295479889,0,25000,2020,t
ARCUS FOUNDATION,NY,275369766,0,200,2020,t
JTMF Foundation,DE,274763075,0,5000,2023,f
NATRONA COLLECTIVE HEALTH TRUST,WY,273030990,0,3180,2023,f
LISA & DOUGLAS GOLDMAN FUND,CA,270254108,0,10000,2023,t
THE PFIZER FOUNDATION INC,NY,255366549,0,762,2023,f
WAYNE AND GLADYS VALLEY FOUNDATION,CA,254892895,0,10000,2023,t
Eastern Bank Foundation,MA,249698317,0,10000,2023,t
DETTWILLER FOUNDATION,TN,247860875,0,12500,2023,f
WILLIAM K BOWES JR FOUNDATION,CA,231390225,0,35000,2023,f
THE EDGERLEY FAMILY FOUNDATION,KS,225481791,0,110000,2023,f
GEORGIA POWER FOUNDATION INC,GA,217918727,0,5000,2020,t
THE RICHARD M SCHULZE FAMILY FOUNDATION,MN,209175254,0,4350,2023,t
Cumming Foundation,WY,207156093,0,4000,2020,f
THE H HOVNANIAN FAMILY FOUNDATION,NJ,206038720,0,2000,2023,t
RICHARD K LUBIN FAMILY FOUNDATION,MA,198260311,0,182500,2023,f
CVS FOUNDATION,RI,197167369,0,1500,2020,t
NEW BALANCE FOUNDATION,MA,196373567,0,547000,2023,f
POSNER FOUNDATION OF PITTSBURGH,PA,181408264,0,25000,2023,t
MIMI AND PETER HAAS FUND,CA,175868377,0,2500,2022,t
RUDERMAN FAMILY FOUNDATION,MA,164639803,0,25000,2019,f
Robert and Ardis James Foundation Inc,DE,159041712,0,50000,2023,f
HCA HEALTHCARE FOUNDATION,TN,157252663,0,6000,2020,t
BENDER FOUNDATION INC,DC,150627977,0,25000,2023,f
NEW YORK LIFE FOUNDATION,NY,140917777,0,50000,2023,t
Amelia Peabody Foundation,MA,135682150,0,65000,2023,t
THE CIGNA GROUP FOUNDATION,PA,129315317,0,175,2023,t
THE WILLIAM & LIA G POORVU,MA,129065910,0,10000,2023,f
TEACH A MAN TO FISH FOUNDATION,CA,128584721,0,30000,2020,f
ROBERT W DEUTSCH FOUNDATION,MD,128072866,0,10000,2023,t
John R & Greli N Less Charitable Trust,TX,127297366,0,100000,2024,f
THE SHAPIRO FOUNDATION,MA,125082465,0,4000,2023,f
WASSERMAN FOUNDATION,CA,124839898,0,5000,2023,f
