foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE HAMD FOUNDATION INC,NY,20489290,1,5000,2019,f
THE ROBERT WOOD JOHNSON FOUNDATION,NJ,13678252785,0,1000,2019,t
THE WILLIAM & FLORA HEWLETT FOUNDATION,CA,13332174215,0,2204,2023,t
GORDON E AND BETTY I MOORE FOUNDATION,CA,8766258805,0,91350,2018,f
John D and Catherine T MacArthur Foundation (Consolidated),IL,8672283398,0,1500,2018,t
THE ROCKEFELLER FOUNDATION,NY,6225179743,0,50000,2023,f
Michael & Susan Dell Foundation,TX,5415306792,0,300000,2022,t
SERGEY BRIN FAMILY FOUNDATION,CA,4070439070,0,250000,2023,f
JPMORGAN CHASE FOUNDATION,NY,1219377637,0,85,2020,f
Adam R Scripps Foundation,KY,733976143,0,50000,2023,f
TRUIST FOUNDATION INC,FL,435603374,0,20000,2022,t
SALESFORCE FOUNDATION,CA,395528825,0,50,2019,f
THE KEITH CAMPBELL FOUNDATION,MD,377320425,0,2500,2019,t
THE PFIZER FOUNDATION INC,NY,255366549,0,1315,2023,f
The Schooner Foundation,MA,248732681,0,250000,2023,f
ROY AND PATRICIA DISNEY FAMILY FOUNDATION,CA,145596872,0,10000,2023,f
THE ACHELIS & BODMAN FOUNDATION,NY,137130810,0,25000,2023,t
ALBERT & ETHEL HERZSTEIN,TX,126529173,0,2500,2022,t
Lyndhurst Foundation Inc,TN,123155746,0,120000,2022,t
SEMNANI FAMILY FOUNDATION,UT,113691692,0,5000,2020,t
THE GREENWALL FOUNDATION,DC,106982413,0,25000,2023,t
EQUITABLE FOUNDATION INC,NY,106085926,0,1025,2023,t
BENWOOD FOUNDATION INC,TN,104799873,0,101500,2023,t
ENGLAND FAMILY FOUNDATION (FKA THE LOIS,MD,89003370,0,86139,2020,f
THE R C DURR FOUNDATION INC,KY,83776120,0,8580,2023,t
John S Dunn Foundation,TX,76848487,0,10000,2023,t
THE DAVID WILLIAM UPHAM FOUNDATION,CA,74432017,0,27500,2023,f
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,0,1250,2021,t
PLOUGHSHARES FOUNDATION,IL,63288122,0,1000,2023,t
EDWARDS LIFESCIENCES FOUNDATION,CA,56296533,0,3000,2020,t
Cecile Higginson Murphy,MA,55277073,0,25000,2022,f
AbbVie Foundation,IL,47404120,0,350,2020,f
THE ZIONS BANCORPORATION FOUNDATION,UT,42797853,0,1200,2020,f
THE TAPESTRY FOUNDATION INC,NY,41449481,0,200,2022,f
ANALOG DEVICES FOUNDATION,MA,35836306,0,50,2022,t
SHELL USA COMPANY FOUNDATION,TX,33040486,0,525,2023,f
JUDY AND PETER BLUM KOVLER FOUNDATION,DC,28596489,0,3000,2020,t
ROGERS FAMILY FOUNDATION,AZ,26207791,0,50375,2023,f
VERIZON FOUNDATION,NJ,25968957,0,660,2023,f
THE STAINMAN FAMILY FOUNDATION INC,NY,24052540,0,7500,2023,f
Barnhill Family Foundation,DE,23778908,0,20000,2022,f
Footprint Foundation Inc,TN,23732498,0,50000,2023,f
ROBERT F STONE FOUNDATION AKA,DE,20918850,0,100000,2023,f
THE AL-AMEEN FOUNDATION,CA,20767818,0,100,2022,f
First Interstate BancSystem Foundation,MT,20270202,0,2500,2024,t
THE SANDRA & LAWRENCE POST FAMILY,CA,19976124,0,100,2019,f
STERN SIDNEY MEMORIAL TUW,MO,18592000,0,5000,2023,t
GE FOUNDATION,CT,17339609,0,1492,2023,t
HAMOUI FOUNDATION,MA,15587191,0,50000,2023,f
SEMPRA FOUNDATION,CA,14132710,0,100,2023,f
FLORESCUE FAMILY FOUNDATION INC,FL,13880406,0,20000,2020,t
THE AVISTA FOUNDATION,WA,12636988,0,10000,2021,t
ROTONDA FOUNDATION,IL,12323602,0,1000,2023,f
John and Julie Schmidt Family Foundation,DE,12193759,0,1000,2022,f
CHASE FAMILY FOUNDATION,MN,11811383,0,1250,2022,f
BEAVER FAMILY FOUNDATION INC,NC,11239170,0,10000,2022,f
B&R Kashlan Foundation,FL,11174388,0,2000,2022,f
STELLA AND CHARLES GUTTMAN FOUNDATION,NY,10662201,0,25000,2023,t
IMA FOUNDATION,KS,10418402,0,51,2023,f
THE ROSENTHAL FUND,NY,10213705,0,250,2022,f
HAND Foundation,DE,9710897,0,2500,2017,f
RUDI SCHULTE FAMILY FOUNDATION,CA,9293293,0,500,2018,f
TEXTRON CHARITABLE TRUST DTD 122353,RI,9131813,0,51,2023,t
THE BANK OF AMERICA CHARITABLE,NC,7556845,0,150,2021,t
VIKING GLOBAL FOUNDATION INC,CT,7092219,0,180,2024,f
CS FUND,CA,6810159,0,500,2023,t
ARLENE AND DANIEL FISHER FOUNDATION,NY,6665526,0,1000,2022,f
ISRAEL & MOLLIE MYERS FOUNDATION,MD,6498319,0,1500,2023,t
ALBABA SCHOOL FOUNDATION,TX,6088347,0,25000,2021,f
THE JAGER FAMILY FOUNDATION,KS,5729745,0,10000,2021,f
UNION BENEVOLENT ASSOCIATION,PA,5467008,0,1500,2022,t
Lebovitz Family Charitable Trust,TN,4979119,0,500,2022,t
AZIZ JAMALUDDIN CHARITABLE FOUNDATION,TX,4976278,0,100,2020,f
BROTMAN FOUNDATION OF CALIFORNIA,CA,4190808,0,4500,2023,t
STEINER KING FOUNDATION,OH,3992225,0,1000,2023,f
Tesco Foundation,VA,3991494,0,200,2023,t
THE TABBAA FOUNDATION,MI,3982057,0,31000,2023,f
MAKO FOUNDATION,IL,3880596,0,5000,2023,f
