foundation_ein,foundation_name,foundation_state,match_score,match_logit,match_probability,match_rank,same_state,semantic_sim
954019288,HAROLD R SWANTON AND WINIFRED SWANTON,WI,1205.87,1205.8690613265871,1.0,1,False,0.0
943116041,The Upjohn Fund of San Francisco,DE,1048.09,1048.0913774276135,1.0,2,False,0.0
811344384,GARY E MILGARD FAMILY FOUNDATION-LORI,WA,980.62,980.6165593434267,1.0,3,False,0.0
957064609,SANFORD ANDERSON CHARITABLE FOUNDATION,TX,927.15,927.1476130216503,1.0,4,False,0.0
263456559,STAHLBERG JOSEPH H FOUNDATION,NV,914.45,914.446745829966,1.0,5,False,0.0
833306050,The Hafif Foundation,CA,904.49,904.4921977293295,1.0,6,True,0.0
911544328,FISCHER FAMILY FUND,OR,897.54,897.5371804093961,1.0,7,False,0.0
456653445,Chami Family Foundation,NV,886.69,886.6850233282053,1.0,8,False,0.0
874127520,ROHDE FAMILY FOUNDATION,CA,867.47,867.4663379324618,1.0,9,True,0.0
205632706,GAINEY FOUNDATION,WI,867.38,867.375198457347,1.0,10,False,0.0
956030315,PORTER JOHN W TUW,NV,857.55,857.5533768083217,1.0,11,False,0.0
946073636,MARINI FAMILY TRUST,NV,851.33,851.3313968725728,1.0,12,False,0.0
920504697,Barr-Campbell Family Foundation Inc,DE,851.17,851.1669500560041,1.0,13,False,0.0
272532631,THE WAGNER FOUNDATION,NV,846.08,846.0806808117575,1.0,14,False,0.0
956255900,KUEHN TRUMAN C TUA,NV,836.56,836.5596993970095,1.0,15,False,0.0
943339119,TOUCHPOINT FOUNDATION - HOST,NJ,834.68,834.6766000336295,1.0,16,False,0.0
943368338,Westly Foundation,DE,827.76,827.7568135544553,1.0,17,False,0.0
223269912,CRISSMAN FAMILY CHARITABLE,NJ,804.48,804.4795936714698,1.0,18,False,0.0
510148314,STROBEL C EDWARD & EDITH TUA,NV,797.61,797.6069734206967,1.0,19,False,0.0
956062009,MAYR GEORGE H - MAIN,MO,795.29,795.2875511885743,1.0,20,False,0.0
680438112,INTERNATIONAL CHILDREN'S DREAM,NV,789.43,789.4258516220349,1.0,21,False,0.0
956944277,JAMES B PENDLETON CHARITABLE TRUST,WA,785.03,785.0306924722072,1.0,22,False,0.0
597246019,ETHEL FRENDS CHARITABLE FOUNDATION,TX,757.79,757.7924492568172,1.0,23,False,0.0
330644620,THE HEALTHCARE FOUNDATION,CA,755.06,755.0608253161977,1.0,24,True,0.0
954438839,CARL W JOHNSON FOUNDATION,CA,750.38,750.3827473495896,1.0,25,True,0.0
823313027,RAM AND LAKSHMI SUNDARAM FOUNDATION,CA,743.18,743.1800606108138,1.0,26,True,0.0
954187111,JACOBS FAMILY FOUNDATION,CA,741.82,741.8153481827308,1.0,27,True,0.0
821511283,CARESTAR FOUNDATION,CA,736.32,736.3157749693023,1.0,28,True,0.0
261416819,The Hubbard Family Foundation Inc,CA,732.99,732.9872846739581,1.0,29,True,0.0
626323409,JESSIE BARKER MCKELLAR CHARITABLE FOUNDATION,KY,732.54,732.5384750236695,1.0,30,False,0.0
942781744,FREIDENRICH FAMILY FOUNDATION,CA,727.16,727.1570942928139,1.0,31,True,0.0
954292101,THE CALIFORNIA WELLNESS FOUNDATION,CA,726.52,726.52111275899,1.0,32,True,0.0
850312053,Charles & Adele Ilfeld Foundation Inc,NM,725.86,725.8559919755002,1.0,33,False,0.0
831421335,The Joseph Tse Charitable Works,CA,723.03,723.027970696071,1.0,34,True,0.0
306268353,WALTER J & HOLLY O THOMSON CHARITABLE,TX,722.67,722.6709703320427,1.0,35,False,0.0
205578380,MILDRED & MARIAN KIGER FOUNDATION,CA,721.44,721.4387003753072,1.0,36,True,0.0
956026937,Henry L Guenther Foundation,CA,721.27,721.2748145396334,1.0,37,True,0.0
942822302,CALIFORNIA PHYSICIANS' SERVICE FDN,CA,720.0,719.9986785563873,1.0,38,True,0.0
510141231,THE PARKER FOUNDATION,CA,711.91,711.9074769390337,1.0,39,True,0.0
954620925,JUDITH W DAVIS FOUNDATION,ID,711.36,711.3594300494366,1.0,40,False,0.0
330709977,THE MANZANITA FOUNDATION,NY,706.2,706.2009579851659,1.0,41,False,0.0
882827921,ANDY WANG FAMILY FOUNDATION,CA,705.42,705.4167347738999,1.0,42,True,0.0
271878882,A GARY ANDERSON FAMILY FOUNDATION,NV,703.21,703.208704750084,1.0,43,False,0.0
