foundation_ein,name,state,lasso_score,keyword_grants,keyword_funding,siblings_funded,sibling_funding,median_grant,total_giving_5yr,unique_recipients_5yr,accepts_applications
943116041,The Upjohn Fund of San Francisco,DE,1008.3,0,0,0,0,5000,295800,17,t
811344384,GARY E MILGARD FAMILY FOUNDATION-LORI,WA,943.8,0,0,0,0,30000,6800912,62,t
946073636,MARINI FAMILY TRUST,NV,852.3,0,0,0,0,15000,1432500,9,t
920504697,Barr-Campbell Family Foundation Inc,DE,852.1,0,0,0,0,5000,484324,14,t
956255900,KUEHN TRUMAN C TUA,NV,837.5,0,0,0,0,5000,56000,7,t
956030315,PORTER JOHN W TUW,NV,831.3,0,0,0,0,10000,393000,24,t
510148314,STROBEL C EDWARD & EDITH TUA,NV,798.5,0,0,0,0,8000,70000,5,t
956062009,MAYR GEORGE H - MAIN,MO,796.2,0,0,0,0,32500,5260000,31,t
956944277,JAMES B PENDLETON CHARITABLE TRUST,WA,786.0,0,0,0,0,250000,4350000,2,t
957064609,SANFORD ANDERSON CHARITABLE FOUNDATION,TX,780.5,0,0,0,0,5220,49260,4,t
263456559,STAHLBERG JOSEPH H FOUNDATION,NV,772.1,0,0,0,0,20000,357200,6,t
205632706,GAINEY FOUNDATION,WI,762.6,0,0,0,0,50000,6041000,23,t
943339119,TOUCHPOINT FOUNDATION - HOST,NJ,759.0,0,0,0,0,5000,488120,42,t
943368338,Westly Foundation,DE,756.2,0,0,0,0,25000,3028981,57,t
954187111,JACOBS FAMILY FOUNDATION,CA,742.7,0,0,0,0,13000,4297585,6,t
954019288,HAROLD R SWANTON AND WINIFRED SWANTON,WI,724.0,0,0,0,0,12500,632480,9,t
597246019,ETHEL FRENDS CHARITABLE FOUNDATION,TX,723.4,0,0,0,0,4000,631000,34,t
306268353,WALTER J & HOLLY O THOMSON CHARITABLE,TX,700.1,0,0,0,0,25000,8732750,35,t
954438839,CARL W JOHNSON FOUNDATION,CA,694.1,0,0,0,0,15000,1430000,13,t
833306050,The Hafif Foundation,CA,694.1,0,0,0,0,10000,295770,5,t
306265990,GRIFFITHS G H & O J CHAR FDN,WI,689.1,0,0,0,0,15000,1007118,10,t
462386250,The Goldwin Foundation,NE,685.6,0,0,0,0,32500,,0,t
271878882,A GARY ANDERSON FAMILY FOUNDATION,NV,684.6,0,0,0,0,11000,4395699,31,t
853634310,THE MYRON AND MARY PAT MCCALL FAMILY FOU,FL,678.7,0,0,0,0,3000,110000,4,t
874127520,ROHDE FAMILY FOUNDATION,CA,673.2,0,0,0,0,10000,188003,6,t
510141231,THE PARKER FOUNDATION,CA,671.2,0,0,0,0,25000,7447635,166,t
943305664,The Roy and DAun Goble Foundation,CA,666.9,0,0,0,0,2500,110430,8,t
943318485,Thelma Doelger Trust for Animals,CA,665.5,0,0,0,0,15000,1111500,20,t
953820054,HEFFLEFINGER SCHOLARSHIP FUND,TX,663.6,0,0,0,0,750,28925,9,t
261416819,The Hubbard Family Foundation Inc,CA,660.7,0,0,0,0,2000,22400,2,t
900653262,PHYLLIS C WATTIS FOUNDATION,CA,657.4,0,0,0,0,12375,3467525,81,t
330709977,THE MANZANITA FOUNDATION,NY,656.0,0,0,0,0,50000,4007571,9,t
436535574,JOE AND KIM BOSWELL FOUNDATION INC,MO,651.3,0,0,0,0,1000,127870,11,t
956089998,THE AHMANSON FOUNDATION,CA,650.3,4,135000,0,0,50000,184027740,535,t
956527634,STEWART LAURA MAY T U W,NJ,649.7,0,0,0,0,4540,238070,15,t
946069482,THE ZELLERBACH FAMILY FOUNDATION,CA,646.6,1,20000,0,0,10000,17180575,212,t
776070540,LATKIN CHARITABLE FOUNDATION,WI,645.9,0,0,0,0,5000,1411750,46,t
956085895,THE RALPH M PARSONS FOUNDATION,CA,642.8,5,172000,0,0,50000,82601243,590,t
954292101,THE CALIFORNIA WELLNESS FOUNDATION,CA,635.5,15,3930000,0,0,10000,163765197,985,t
946073762,ANNUNZIATA SANGUINETTI FOUNDATION,MO,635.0,0,0,0,0,20000,932005,10,t
823797469,ROBERT AND JANICE SCOTT FOUNDATION,CA,634.2,0,0,0,0,3750,149000,7,t
942955164,MARGOES FOUNDATION,CA,630.4,0,0,0,0,30000,520000,13,t
205150383,HIND FOUNDATION,CA,630.3,0,0,0,0,72500,9919648,17,t
941196182,BOTHIN FOUNDATION,CA,628.5,0,0,0,0,25000,8090300,207,t
946075613,ATKINSON FOUNDATION,CA,627.5,0,0,0,0,10000,5584500,152,t
273867635,HOLLEMAN ROY & MARIAN FDN-MAIN,NV,626.3,0,0,0,0,15000,733375,12,t
956495222,STERN SIDNEY MEMORIAL TUW,MO,624.1,0,0,1,5000,3450,6296199,348,t
911544328,FISCHER FAMILY FUND,OR,620.6,0,0,0,0,10000,221463,5,t
272532631,THE WAGNER FOUNDATION,NV,619.6,0,0,0,0,25000,921753,7,t
943219107,SAND HILL FOUNDATION,CA,616.6,3,310000,0,0,26000,17270990,111,t
942781744,FREIDENRICH FAMILY FOUNDATION,CA,615.3,0,0,0,0,10000,2062000,9,t
223269912,CRISSMAN FAMILY CHARITABLE,NJ,614.9,0,0,0,0,1000,65000,4,t
872094183,Sweet Geeks Foundation,TX,608.5,0,0,0,0,3899,236455,22,t
912169259,THE RAZI FAMILY FOUNDATION,CA,606.4,0,0,0,0,5000,1498381,22,t
953201177,WARREN FAMILY FOUNDATION,CA,603.4,0,0,0,0,5000,2345752,23,t
680438112,INTERNATIONAL CHILDREN'S DREAM,NV,603.2,0,0,0,0,5250,121360,2,t
436535572,AMIE BOSWELL FOUNDATION INC,MO,603.1,0,0,0,0,1000,251500,10,t
943345967,BELLA VISTA FOUNDATION,CA,602.9,0,0,0,0,40000,11914580,104,t
464009968,BETHLEHEM FOUNDATION - AGY MAIN,CA,600.7,0,0,0,0,25000,2632043,26,t
941624987,KORET FOUNDATION,CA,600.3,20,2172500,0,0,25000,213652826,327,t
954620925,JUDITH W DAVIS FOUNDATION,ID,599.3,0,0,0,0,2500,332100,5,t
946069873,THE WILLIAM G IRWIN CHARITY FOUNDATION,CA,598.8,1,200000,0,0,100000,27741347,127,t
203216993,THE CONRAD PREBYS FOUNDATION,CA,594.2,2,235000,0,0,57945,100862024,245,t
942822302,CALIFORNIA PHYSICIANS' SERVICE FDN,CA,590.4,7,1616867,0,0,199543,131395229,146,t
954487544,THE MARK HUGHES FOUNDATION,CA,589.6,0,0,0,0,25000,3200000,35,t
271527514,KEVIN AND MASHA KEATING FAMILY,VA,584.6,0,0,0,0,5000,292719,7,t
043473310,THE CRAWFORD IDEMA FAMILY,MA,584.3,0,0,0,0,10000,1438250,22,t
226055155,HEKEMIAN FOUNDATION,NJ,583.5,0,0,0,0,11334,426000,14,t
770242953,THE MCCUNE FOUNDATION,CA,581.5,3,63797,0,0,2500,2721926,83,t
113729246,THE BENGIER FOUNDATION,CA,579.4,0,0,0,0,15000,1765000,10,t
261851830,THE YINCHIN FOUNDATION,CA,578.0,0,0,0,0,5000,521467,6,t
237425882,THE AIDLIN FOUNDATION,CA,577.0,0,0,0,0,40000,3570000,7,t
942506257,THE BERNARD OSHER FOUNDATION,CA,575.8,0,0,0,0,16000,27316755,107,t
841408199,GEORGE AND BETH WOOD FOUNDATION,CA,575.3,0,0,0,0,5000,127000,7,t
831421335,The Joseph Tse Charitable Works,CA,575.1,0,0,0,0,9000,270000,8,t
956062058,BULL HENRY W FOUNDATION,WI,571.4,0,0,0,0,5000,2167791,91,t
956093178,JOSEPH DROWN FOUNDATION,CA,571.0,0,0,0,0,25000,22918700,117,t
366125570,Esper A Petersen Foundation,IL,570.9,0,0,0,0,5000,3366550,29,t
882827921,ANDY WANG FAMILY FOUNDATION,CA,570.8,0,0,0,0,9000,110720,5,t
943129626,MAREE NOBLE-ELIZABETH STUMPF MEMORIAL,WA,570.1,0,0,0,0,10000,230500,6,t
770348912,THE SOBRATO FAMILY FOUNDATION,CA,569.0,3,176200,0,0,50000,247878840,296,t
262992045,BRITTINGHAM FAMILY FOUNDATION,CA,568.8,0,0,0,0,5000,3615310,60,t
330643458,THE CUSHMAN FOUNDATION,CA,568.3,0,0,0,0,10000,8199098,103,t
942460896,ARRILLAGA FOUNDATION,CA,567.2,0,0,0,0,10000,25414574,18,t
237142181,STELLA B GROSS CHARITABLE TRUST,IL,566.4,0,0,0,0,10000,1260000,14,t
330779894,HUTTON FOUNDATION,CA,565.8,0,0,0,0,10000,7541580,152,t
770437521,WATERFORD FOUNDATION,CA,564.8,0,0,0,0,73710,1799600,9,t
371748608,PEERS NETWORK,CA,563.1,0,0,0,0,1250,55440,12,t
943155521,GGS FOUNDATION,CA,563.0,0,0,0,0,27500,,0,t
770549288,THE ALLISON LEE CONDIT FOUNDATION,CA,562.0,0,0,0,0,1000,59400,3,t
208731101,THE DONALD T STERLING CHARITABLE,CA,561.8,0,0,0,0,25000,1332750,17,t
946062859,THE FRED GELLERT FAMILY FOUNDATION,CA,559.9,0,0,0,0,5000,622500,42,t
203283739,ULULANI FOUNDATION,HI,559.2,0,0,0,0,15000,509204,10,t
464770889,KRAKAUER JOHN CHARITABLE TR,NV,558.9,0,0,0,0,10000,572894,22,t
862217899,RAJAM FAMILY FOUNDATION,DE,558.1,0,0,0,0,13300,1402471,7,t
954797873,PETER AND CANDIS DOERKEN FOUNDATION,CA,557.5,0,0,0,0,13750,463010,9,t
330340635,ALLIANCE HEALTHCARE FOUNDATION,CA,557.4,0,0,0,0,25000,10291158,100,t
352436013,JESTIN FREEMAN FOUNDATION,CA,557.4,0,0,0,0,3000,98255,9,t
946068564,WALTER AND ELISE HAAS FUND,CA,556.6,3,300000,0,0,28000,38977392,288,t
371751439,THE KOEHLER MAHLSTEDT FAMILY FOUNDATION,NV,556.6,0,0,0,0,5155,969155,18,t
376537105,ROBERT AND DANA EMERY FAMILY FOUNDATION,DE,555.4,0,0,0,0,25000,16675000,50,t
956026937,Henry L Guenther Foundation,CA,554.3,1,250000,0,0,21250,10432345,81,t
770518388,THE AVALON FOUNDATION,CA,553.3,0,0,0,0,2000,43900,7,t
946079493,THE WILLIAM G GILMORE FOUNDATION,CA,553.1,0,0,0,0,15000,8200000,77,t
934699910,SOUTH LAKE FOUNDATION,CA,552.9,0,0,0,0,1000,14000,7,t
911811432,THE DONALD AND MAUREEN GREEN FOUNDATION,CA,552.5,0,0,0,0,10000,593551,13,t
416014092,ADAMS MASTROVICH FAM FDN,MO,551.6,0,0,0,0,10000,5121845,74,t
311540383,WALTER J & BETTY C ZABLE FOUNDATION,CA,551.1,0,0,0,0,20000,18830339,87,t
821511283,CARESTAR FOUNDATION,CA,549.3,1,15000,0,0,75000,8496667,29,t
946065226,Gerbode Foundation,CA,548.6,0,0,0,0,25000,5161000,58,t
352559691,PINPOINT FOUNDATION,CA,547.3,0,0,0,0,15000,6304150,86,t
626323409,JESSIE BARKER MCKELLAR CHARITABLE FOUNDATION,KY,546.9,0,0,0,0,15000,1304157,8,t
237433359,AUTRY FOUNDATION,CA,544.1,0,0,0,0,10000,4004298,12,t
205578380,MILDRED & MARIAN KIGER FOUNDATION,CA,543.7,0,0,0,0,3000,191448,9,t
946054473,GEORGE H SANDY FOUNDATION,WI,542.6,0,0,0,0,30000,16175000,40,t
046818329,WALSKE CHARITABLE FOUNDATION,MA,541.7,0,0,0,0,10000,1049400,15,t
261413209,THE GARLAND AND BRENDA REITER,CA,540.9,0,0,0,0,2500,359613,26,t
043492171,The Adi and Jerry Greenberg Foundation,MA,540.6,0,0,0,0,5000,6612500,30,t
320516588,S MARK TAPER FOUNDATION,CA,540.0,0,0,0,0,62500,26956800,179,t
912172710,THE CYGNET FOUNDATION,CA,539.2,0,0,0,0,1000,562000,12,t
680314645,THE DITO DEVCAR FOUNDATION,NV,538.9,0,0,0,0,25000,2163000,12,t
941680503,THE GAMBLE FOUNDATION,NV,534.1,0,0,0,0,35000,5159900,17,t
336145298,MANDELL WEISS CHARITABLE TRUST,FL,533.7,0,0,0,0,10000,1749500,52,t
680442986,Bay Area Barns and Trails,CA,533.6,0,0,0,0,2500,92460,14,t
237010813,THE ARMAND HAMMER FOUNDATION,FL,531.4,0,0,0,0,13750,593062,9,t
943371225,CLOUD NINE FOUNDATION,CA,530.3,0,0,0,0,10000,190500,7,t
204754273,Danny Weinstein Youth Foundation,CA,526.8,0,0,0,0,5000,212500,8,t
465138494,Western Wind Foundation,DE,524.7,0,0,0,0,5500,1224286,34,t
463781673,MAIR FAMILY FOUNDATION,CA,524.2,0,0,0,0,10000,1674161,10,t
943254834,KADIMA FOUNDATION,CA,524.2,0,0,0,0,25000,7116049,13,t
510204494,Berkeley Pilgrimage Foundation,CA,524.1,0,0,0,0,25000,,0,t
946064551,MIMI AND PETER HAAS FUND,CA,523.2,0,0,0,0,10000,41444628,123,t
954261657,THE ADAMMA FOUNDATION,CA,523.1,0,0,0,0,15000,273300,6,t
954856207,DURFEE FOUNDATION,CA,520.8,19,1126889,0,0,14222,4586489,69,t
954279684,THE JESS AND PALMA MORGAN FOUNDATION,CA,520.6,0,0,0,0,15000,1045000,12,t
237030155,THE FLETCHER JONES FOUNDATION,CA,519.5,0,0,0,0,10000,32043071,79,t
956036471,ALICE TWEED TUOHY FOUNDATION,CA,518.9,0,0,0,0,22000,4138513,29,t
956874901,THE HUGH AND HAZEL DARLING FOUNDATION,CA,516.7,3,100000,0,0,25000,6125000,27,t
942624585,M A I A INC,CA,516.6,0,0,0,0,500,18000,5,t
465129465,PRICE PHILANTHROPIES FOUNDATION,CA,515.7,0,0,0,0,15000,66176504,307,t
582489866,The David & Linda Shaheen Foundation,NV,515.6,4,100000,0,0,25000,2156030,5,t
911813416,THE MORTON FOUNDATION,CA,515.3,3,75000,0,0,10000,2420625,36,t
263373791,ADAMS LEGACY FOUNDATION A DELAWARE NONPROFIT,IL,513.9,0,0,0,0,9388,1512775,37,t
943249877,THE PULIDO WALKER FOUNDATION,CA,513.7,0,0,0,0,25000,765274,13,t
203875601,PAYETTE RIVER FOUNDATION,CA,512.9,0,0,0,0,97500,4804000,12,t
946132116,ODELL RS & HP FUND TUA-MAIN,NV,511.8,0,0,0,0,30000,8749505,45,t
954693145,COLBURN FOUNDATION,CA,509.7,0,0,0,0,16000,18224786,65,t
946061290,LOUISE A AND WALTER H SULLIVAN,CA,509.6,0,0,0,0,1500,101283,15,t
680050036,SIERRA HEALTH FOUNDATION,CA,509.2,0,0,0,0,2500,6710258,172,t
462796479,THE WILHELM FAMILY FOUNDATION,CA,508.5,2,18000,0,0,8000,762850,40,t
330930701,THE PATRICK F CADIGAN FAMILY FOUNDATION,CA,508.4,0,0,0,0,1481914,36453828,3,t
770469217,WENDY P MCCAW FOUNDATION THE GOLDMAN SACHS,DE,508.2,0,0,0,0,25000,3030000,14,t
770359291,RAINTREE FOUNDATION,CA,508.1,0,0,0,0,10000,4463370,25,t
943345365,LEGACY SAN JOSE ALVISO YOUTH FOUNDATION,CA,507.9,0,0,0,0,15344,586074,2,t
956029752,DR SEUSS FOUNDATION,CA,507.6,0,0,0,0,5000,2105501,13,t
946079537,HARRISON MECHAM RELIEF FUND OF PETALUMA,CA,507.4,0,0,0,0,5000,173500,4,t
946051917,MARY A CROCKER TRUST,CA,506.5,0,0,0,0,10000,1562500,61,t
203644356,The Sam Mazza Foundation,CA,506.0,2,14000,0,0,7500,1244610,41,t
956054814,WEINGART FOUNDATION,CA,505.8,0,0,0,0,10000,152863675,558,t
946093385,CRESCENT PORTER HALE FOUNDATION,CA,505.3,0,0,0,0,40000,15999500,58,t
954500475,GUESS FOUNDATION,CA,504.5,0,0,0,0,18000,4035678,38,t
752765658,EDWARD C RAYMUND CHARITABLE,TX,504.1,0,0,0,0,1200,123075,8,t
956136231,CARL E WYNN FOUNDATION,CA,503.5,0,0,0,0,5000,5039392,44,t
943276694,THORNTON S JR AND KATRINA D,CA,502.6,0,0,0,0,6000,4881586,192,t
831589254,ANDERSON COMMUNITY PARTNERS,NV,501.9,0,0,0,0,15000,4809828,13,t
330247161,THE CRAIL-JOHNSON FOUNDATION,CA,500.8,4,30000,0,0,5000,3236683,129,t
946102700,The McConnell Foundation,CA,499.0,0,0,0,0,4670,30756389,149,t
946187637,PENINSULA ENDOWMENT,CA,498.2,0,0,0,0,31172,463722,5,t
680168017,SIMPSON PSB FUND,CA,497.8,0,0,0,0,20000,24839341,40,t
471736251,FUERST FAMILY FOUNDATION,CA,497.6,0,0,0,0,7500,61600,5,t
352163999,The Paula B and Oliver W Jones Family,DE,496.2,0,0,0,0,1215,502621,44,t
770229243,JAMES S BOWER FOUNDATION,CA,495.8,0,0,0,0,25000,10494827,48,t
942814266,CLARENCE E HELLER CHARITABLE FOUNDATION,CA,495.8,0,0,0,0,30000,8559605,76,t
954716272,LOUIS AND DONNA JONES FAMILY FOUNDATION,CA,495.7,0,0,0,0,16000,584400,6,t
941652296,SENIOR ASSISTANCE FOUNDATION EASTBAY,CA,495.5,0,0,0,0,116250,7080753,15,t
200083112,RORIPAUGH FAMILY FOUNDATION,CA,492.9,0,0,0,0,1350,309258,28,t
954670973,JULIUS SUMNER MILLER FOUNDATION,CA,492.7,0,0,0,0,5000,74000,4,t
813705089,MICHAEL & PAIGE DOUMANI FOUNDATION,CA,491.7,0,0,0,0,1000,282920,7,t
942826655,THE OAKLAND ATHLETICS COMMUNITY FUND,CA,490.2,0,0,0,0,5000,1118499,51,t
261593449,MCMILLEN FAMILY FOUNDATION,CA,490.2,0,0,0,0,50000,13571392,39,t
463559307,PEONY FOUNDATION INC,CA,488.5,0,0,0,0,8000,73000,3,t
942427692,THE LEVY FAMILY FOUNDATION,CA,488.3,0,0,0,0,1480,103944,5,t
566044947,THE FOSCUE FOUNDATION,NV,488.2,0,0,0,0,5000,80000,5,t
463050206,FARMERS & MERCHANTS BANK FOUNDATION,CA,486.8,0,0,0,0,2500,2570790,118,t
832600550,ROOM TO BREATHE PROJECT,CA,486.6,0,0,0,0,31600,5475421,18,t
456653445,Chami Family Foundation,NV,486.3,0,0,1,20000,10000,663500,10,t
465318556,BRUTTEN FAMILY FOUNDATION,CA,485.5,0,0,0,0,5000,1037871,30,t
943204401,LAMOND FAMILY FOUNDATION,CA,484.3,0,0,0,0,50000,2402000,5,t
651202020,T GARY AND KATHLEEN ROGERS PRIVATE,CA,484.1,0,0,0,0,600,14572050,103,t
776204532,BRUCE RONALD & PHYLLIS M TRUST,WI,482.8,0,0,0,0,4000,69750,2,t
205664114,PROVIDENT SAVINGS BANK CHARITABLE FOUNDATION INC,CA,482.2,0,0,0,0,2500,138500,11,t
201089341,BIRTCHER FAMILY FOUNDATION,CA,479.8,0,0,0,0,20250,687538,12,t
330133359,ARCHSTONE FOUNDATION,CA,479.2,0,0,0,0,9250,8181932,64,t
464260360,PETER E SILLS FAMILY FOUNDATION,CA,479.2,0,0,0,0,5000,170900,3,t
770444787,THE NICHOLSON FAMILY FOUNDATION,CA,478.8,0,0,0,0,5000,648720,39,t
742594247,DORA FREEDMAN LEVIT FUND FOR PEOPLE,CA,478.1,0,0,0,0,50000,2331000,9,t
956150362,BORUN HARRY H AND ANNA TUA,NV,478.0,0,0,0,0,2000,1725100,27,t
461015108,THE MEREDITH AND ROSEMARY WILLSON CHARIT,CA,478.0,0,0,0,0,50000,10066564,59,t
330269599,THE SEGERSTROM FOUNDATION,CA,477.6,0,0,0,0,20000,2763340,13,t
990265269,GUANG-YU CHINESE CULTURE & ART CENTER,CA,477.3,0,0,0,0,2000,73340,4,t
463106546,ANTIOCH COMMUNITY FOUNDATION,CA,476.6,0,0,0,0,1250,177600,24,t
203389111,Rose Marie Piper Foundation,CA,475.9,0,0,0,0,15000,314000,5,t
136355553,THE GOODMAN FAMILY FOUNDATION UA 7270,NY,474.5,0,0,0,0,5000,218445,6,t
942601172,Nancy Buck Ransom Foundation,CA,474.4,0,0,0,0,15000,6101000,49,t
956075855,ADOLPH AND ETTA WEINBERG FOUNDATION,CA,474.2,0,0,0,0,2000,132100,6,t
562545977,BK KEE FOUNDATION,CA,473.9,0,0,0,0,98000,2590880,5,t
