foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
MEYER MEMORIAL TRUST,OR,885167113,15,61000,2023,t
FULLER TRUST INC,MA,2477651,12,83651,2024,f
CALEB DEVELOPMENT CORPORATION,MA,9830820,6,171572,2024,f
THE COLLINS FOUNDATION,OR,227675139,5,50000,2023,t
WSFS CARES FOUNDATION,DE,9350263,5,2500,2022,t
KAREN E HENRY FOUNDATION FOR LONG-TERM,TX,479083,5,27373,2023,t
The McKnight Foundation,MN,2661443888,4,110000,2023,t
MORTENSON FAMILY FOUNDATION,MN,136619117,4,22500,2023,t
BUSHROD H CAMPBELL & ADAH F HALL,MA,15934902,4,10000,2023,f
THE SHILEY FOUNDATION,CA,14153585,4,50000,2022,f
THE VOGEL FOUNDATION,IA,4991046,4,5000,2021,f
Annie E Casey Foundation Inc,MD,2333832936,3,90000,2023,f
Joseph B Whitehead Foundation,GA,192205042,3,2000000,2022,t
ED & JOANN HUBERT FAMILY,KY,9697027,3,10000,2023,f
John & Susan Dewan Foundation,IL,869035,3,2500,2023,t
THE ARTHUR & BARBARA BLOOM FOUNDATION,CA,483268,3,5000,2019,f
WOODBOURNE COMMUNITY HOUSING CORPORATION,MA,157784,3,210000,2023,f
CONRAD N HILTON FOUNDATION,CA,7099706570,2,1000000,2023,t
THE HARRY AND JEANETTE WEINBERG,MD,1751272254,2,300000,2023,t
OTTO BREMER TRUST,MN,1419998555,2,75000,2024,t
The Cynthia & George Mitchell Foundation,TX,388623760,2,3000,2022,t
John T Gorman Foundation,ME,214146299,2,51000,2023,t
FR BIGELOW FOUNDATION,MN,176908736,2,30000,2023,t
THE WEXNER FAMILY CHARITABLE FUND,OH,140734120,2,288750,2022,f
LIBERTY MUTUAL FOUNDATION INC,MA,46556209,2,20000,2023,t
THE ESTEE LAUDER COMPANIES CHARITABLE,NY,33440308,2,15000,2021,f
TOPFER FAMILY FOUNDATION,TX,28384401,2,15000,2019,t
HARVEST FOUNDATION,WA,12283562,2,10000,2020,f
CASA MARIA HOUSING CORPORATION,MA,11698919,2,74516,2023,f
HEDCO FOUNDATION,CA,9276021,2,78059,2023,f
JW & HM GOODMAN FAMILY CHARITABLE,CA,8187448,2,5000,2019,t
The J Grace Foundation,CA,5393221,2,37500,2019,f
THE REUBEN AND JANE LEIBOWITZ FOUNDATION,NY,3279259,2,1250,2022,f
BREZZO FAMILY FOUNDATION,CA,2367533,2,18500,2024,f
RAYMOND J AND MARY C REISERT FOUNDATION,NY,2304278,2,10000,2023,t
THE HUMPHREYS FOUNDATION,CO,1334475,2,1500,2019,f
THE CAROL A AND JAMES J MCINNIS,MA,269332,2,125,2019,f
FIRST FINANCIAL FOUNDATION,OH,171585,2,50000,2023,t
ISOLA CHARITIES,WA,1601,2,5000,2024,f
ENNA FOUNDATION,MI,215,2,15000,2023,t
CRANKSTART FOUNDATION,CA,3909004192,1,250000,2023,f
THE BUSH FOUNDATION,MN,1399508111,1,206000,2020,t
THE AHMANSON FOUNDATION,CA,1229560863,1,98000,2022,t
JPMORGAN CHASE FOUNDATION,NY,1219377637,1,7715,2024,f
WK Kellogg Foundation,MI,454402214,1,2100,2020,t
NEXTFIFTY INITIATIVE,CO,244297749,1,65000,2023,t
GEORGIA POWER FOUNDATION INC,GA,217918727,1,100000,2023,t
GARY PHILANTHROPY,CO,201475691,1,52241,2020,f
American Electric Power Foundation,DE,74342346,1,25000,2022,f
AVEN FOUNDATION,WA,73264012,1,25000,2022,t
MARDAG FOUNDATION,MN,63483716,1,25000,2022,t
AEC Trust,DE,48373480,1,15000,2022,t
Anschutz Family Foundation,CO,45765575,1,10000,2021,t
THE NORDSON CORPORATION FOUNDATION,OH,34190711,1,5000,2022,t
THE BRETTLER FAMILY FOUNDATION,WA,32335744,1,6000,2022,f
SAM L COHEN FOUNDATION,ME,28191741,1,15000,2023,t
THE ERICH AND HANNAH SACHS FOUNDATION,CA,25877909,1,2500,2024,f
RJA FOUNDATION,CA,21498286,1,5000,2022,f
ROSENTHAL FAMILY FOUNDATION,CA,20599993,1,300000,2023,f
THE NORCLIFFE FOUNDATION,WA,20421324,1,12500,2022,t
BERKSHIRE BANK FOUNDATION INC,MA,18644149,1,2000,2023,t
Umpqua Bank Charitable Foundation,OR,16830197,1,5000,2024,t
FRIENDS FOUNDATION FOR THE AGING,PA,13719221,1,30000,2022,f
Apple Pickers Foundation,DE,12575810,1,25000,2022,f
GEORGE P BISHOP FOUNDATION INC,MA,10476717,1,10000,2022,t
THE ROETHELI - LIL RED - FOUNDATION,MO,10307691,1,1000,2023,f
TD CHARITABLE FOUNDATION,ME,8961309,1,20000,2023,t
JOHN WESLEY VILLAGE II INC,NY,7313438,1,1000000,2023,f
Webster Bank Charitable Foundation,DE,7094937,1,10000,2023,t
ALAN AND CHRISTY MOLASKY CHARITABLE,NV,5858286,1,5000,2018,f
Michael W McCarthy Foundation Inc,NY,5823901,1,7500,2019,f
THE THALIA N AND CHRIS M CARLOS,GA,5292064,1,658900,2023,f
THE WILLIAM HALL TIPPETT AND RUTH,CA,4900428,1,10000,2023,f
MELVIN GARB FOUNDATION,CA,4385074,1,100000,2018,f
MOLLIE B FOLEY CHARITABLE TRUST 086048-000,DE,4373495,1,3000,2020,t
Kennebunk Savings Bank Foundation,ME,4257399,1,25000,2022,t
THE CARVER FAMILY FUTURE GENERATION,CA,4254248,1,200000,2022,f
JOSEPH AND GERTRUDE LAROSE,FL,3657027,1,10000,2022,f
Texas Capital Foundation,TX,3652866,1,15000,2024,t
YOUNG-ROURKE CHARITABLE TRUST,MA,3514100,1,12000,2018,f
The Family Home Foundation,WA,2687715,1,5000,2023,f
THE LOTUS US FOUNDATION INC,CA,1646167,1,10000,2020,t
SUTTON FAMILY FOUNDATION,CA,1511667,1,6000,2024,f
Banc of California Charitable Foundation,CA,1463612,1,2500,2022,t
THE HOFFER FAMILY FOUNDATION INC,FL,1078884,1,250,2019,f
THE UNION HOME FOUNDATION INC,OH,884723,1,2500,2022,t
WASHINGTON FEDERAL FOUNDATION,WA,631145,1,3000,2022,t
WESTPHAL FAMILY FOUNDATION INC,FL,578081,1,50000,2023,f
BRUTTEN FAMILY FOUNDATION,CA,308755,1,13000,2023,t
DIAMOND FOUNDATION,AZ,256058,1,50000,2022,t
THE FITZGERALD FOUNDATION INC,VA,168802,1,409,2023,t
TRAVELERS FOUNDATION,MN,94241,1,10000,2023,t
Joseph L Vozza Family Foundation Inc,FL,73762,1,75,2021,f
RICHEY MAY CARES FOUNDATION,CO,21831,1,3068,2024,t
FIFTH THIRD CHICAGOLAND FOUNDATION,IL,0,1,3000,2023,t
MURPHY FAMILY FOUNDATION INC,FL,0,1,1200,2020,t
BILL & MELINDA GATES FOUNDATION,WA,76951451400,0,50000,2023,t
LILLY ENDOWMENT INC,IN,62180012552,0,21340,2018,t
THE FORD FOUNDATION,NY,16791366964,0,200,2020,t
THE ROBERT WOOD JOHNSON FOUNDATION,NJ,13678252785,0,10000,2023,t
FOUNDATION TO PROMOTE OPEN SOCIETY,NY,10502606362,0,25000,2023,f
Walton Family Foundation Inc,AR,5714135948,0,5520,2022,f
Michael & Susan Dell Foundation,TX,5415306792,0,552000,2023,t
THE CALIFORNIA ENDOWMENT,CA,4453417123,0,150000,2023,f
THE KRESGE FOUNDATION,MI,4065070521,0,162500,2023,t
FIDELITY FOUNDATION,MA,3824770952,0,175000,2023,t
CHARLES STEWART MOTT FOUNDATION,MI,3710874863,0,150,2020,t
MOTHER CABRINI HEALTH FOUNDATION INC,NY,3696313328,0,80988,2022,t
The James Irvine Foundation,CA,3300619484,0,10000,2022,f
THE WILLIAM PENN FOUNDATION,PA,3286225714,0,100000,2023,t
