foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state,original_score,adjusted_score,grant_type_match_pct,grant_type_grants,state_match_pct,adjusted_rank
651162899,N WOODBURN NICHOLS FOUNDATION INC,MA,91.9,0.918944072418599,33,False,91.9,75.9,100.0,7,0.0,1
200721133,THE BANK OF AMERICA CHARITABLE,NC,100.0,1.0,1,False,100.0,70.0,0.0,0,11.132834780404336,2
770443347,Cisco Systems Foundation,CA,100.0,0.9999996318508624,5,False,100.0,70.0,0.0,0,80.0,3
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999657713457384,8,False,100.0,69.8,0.0,0,9.877910635619887,4
460827839,AbbVie Foundation,IL,98.6,0.9862769224720576,14,False,98.6,69.3,0.0,0,10.578741646702811,5
131684331,THE FORD FOUNDATION,NY,100.0,0.9999759419858332,7,False,100.0,68.8,1.0488690964490799,179,8.613617719442166,6
942566167,Nora Eccles Treadwell Charitable Trust,UT,97.3,0.9731527107678348,19,False,97.3,68.6,0.0,0,66.66666666666666,7
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.999998894540292,6,False,100.0,67.6,0.09740198924831889,52,8.732462959147359,8
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,92.7,0.9272795179106208,29,False,92.7,67.1,0.7726209260569128,142,9.777463409325861,9
680474336,Wma Foundation,CA,92.4,0.9243185801032656,30,False,92.4,66.2,0.0,0,99.29824561403508,10
942278431,The David and Lucile Packard Foundation,CA,85.6,0.8558385536462245,43,False,85.6,62.8,0.0,0,43.08997172792283,11
136123529,AMERICAN EXPRESS FOUNDATION,NY,99.9,0.999323454159364,10,False,99.9,62.7,0.0,0,6.395783857640132,12
136069096,WILLIAM MATHEUS SULLIVAN MUSICAL FOUNDATION INC,MO,84.6,0.8461732963158196,44,False,84.6,62.3,0.0,0,10.952380952380953,13
756038519,TEXAS INSTRUMENTS FOUNDATION,TX,88.2,0.8824569596954732,39,False,88.2,62.2,0.0,0,9.057587358475198,14
262456949,CHUBB CHARITABLE FOUNDATION,PA,97.5,0.9753560320909244,18,False,97.5,62.2,0.0,0,6.74936798165677,15
383681796,CARMAX FOUNDATION,VA,84.3,0.8433750031685341,46,False,84.3,62.1,0.0,0,12.534943531253495,16
870646265,THE MCCARTHEY DRESSMAN EDUCATION FOUNDATION,UT,83.4,0.8335935576328624,49,False,83.4,61.7,0.0,0,16.99346405228758,17
263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,NY,97.0,0.969655003178528,21,False,97.0,61.7,0.4327131112072695,20,6.274340112505408,18
454126770,Henry and Sara Sheehan Foundation,IL,82.8,0.8278931697614722,50,False,82.8,61.4,0.0,0,16.451612903225808,19
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,93.1,0.9311966432572532,27,False,93.1,61.1,0.25589991470002843,27,7.098853189271159,20
222621967,GE FOUNDATION,CT,99.2,0.9919632539748507,13,False,99.2,59.4,0.0,0,4.904849600982198,21
137029285,OPEN SOCIETY INSTITUTE,NY,89.5,0.8949246108367882,38,False,89.5,56.4,0.16109544905356424,8,5.698751510269835,22
237241940,AETNA FOUNDATION INC,CT,91.1,0.9109418349129964,34,False,91.1,56.0,0.0,0,5.227838510661327,23
943089624,DOYON FOUNDATION,AK,90.7,0.9068229933442126,36,False,90.7,51.7,0.0,0,3.170785042641592,24
581586283,DUKE ENERGY FOUNDATION,NC,96.6,0.9655736838031398,22,False,96.6,51.4,0.0,0,1.5546752373122057,25
651104291,Jehovah - Jireh Foundation,MD,86.9,0.8687396110735444,42,False,86.9,50.1,0.0,0,3.3112582781456954,26
223769097,NSN Foundation Inc,NJ,100.0,1.0,2,False,100.0,50.0,0.0,0,0.0,27
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999999811058,4,False,100.0,50.0,0.0,0,0.0,28
411359579,US BANK FOUNDATION,WI,100.0,0.999999999999996,3,False,100.0,50.0,0.0,0,0.0,29
836582316,EBOR CHARITABLE TRUST,WY,99.9,0.9994112426906588,9,False,99.9,49.9,0.0,0,0.0,30
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,99.6,0.995965366820006,12,False,99.6,49.8,0.0,0,0.0,31
852700743,Ahimsa Foundation,CO,99.7,0.996690105986607,11,False,99.7,49.8,0.0,0,0.0,32
236648842,THE CHANTICLEER CHARITABLE TRUST,MO,98.4,0.9843450540241816,15,False,98.4,49.2,0.0,0,0.0,33
873822505,WRAGE FOUNDATION,MD,97.9,0.979379416424082,16,False,97.9,48.9,0.0,0,0.0,34
364242179,GRATIOT LAKE CONSERVANCY,IL,97.7,0.9772743919968316,17,False,97.7,48.8,0.0,0,0.0,35
814004783,M M Chaudry Family Foundation,IL,97.0,0.9703287186125964,20,False,97.0,48.5,0.0,0,0.0,36
510260302,LYNN & FOSTER FRIESS FAMILY,WY,95.6,0.9558657376442108,23,False,95.6,47.8,0.0,0,0.0,37
261595630,Cervi Family Foundation,OK,95.3,0.9526313438878516,24,False,95.3,47.6,0.0,0,0.0,38
854314099,HARRAH FAMILY FOUNDATION,NC,94.8,0.9484221884713468,25,False,94.8,47.4,0.0,0,0.0,39
202202134,Nelnet Foundation,NE,94.5,0.9453326885212988,26,False,94.5,47.2,0.0,0,0.0,40
