foundation_ein,foundation_name,foundation_state,match_score,match_logit,match_probability,match_rank,same_state,semantic_sim
862918677,SNAIL FOUNDATION,VA,397.53,397.528146527661,1.0,1,False,0.0
066040150,MARION ISABELL COE FUND,TX,332.78,332.78415491849506,1.0,2,False,0.0
042103755,CHARLESBANK HOMES,MA,305.95,305.95330954228604,1.0,3,False,0.0
521123370,Alexander Charities Inc,MD,294.63,294.63084923678525,1.0,4,False,0.0
046034850,LAWRENCE MODEL LODGING HOUSES TRUST,MA,242.94,242.93535475929443,1.0,5,False,0.0
066038194,AGED & INDIGNT WOMEN'S FD D LANE,TX,231.2,231.19564330867541,1.0,6,False,0.0
316020341,TR UA THE CHARLES MOERLEIN FD,OH,230.81,230.80941540787333,1.0,7,False,0.0
146014233,FREDERICK MCDONALD TR UA,TX,228.84,228.84073788697862,1.0,8,False,0.0
371748608,PEERS NETWORK,CA,215.76,215.757649838402,1.0,9,False,0.0
260337980,THE MICK LAMB FOUNDATION,WA,212.37,212.3673117179706,1.0,10,False,0.0
066030489,THOMAS ATKINS MEML FD TR UW,TX,210.46,210.4584940886684,1.0,11,False,0.0
010518429,Atlantic Charitable Fund,SC,207.02,207.01634885157895,1.0,12,False,0.0
830185157,PAUL STOCK FOUNDATION,WY,206.54,206.53525134027103,1.0,13,False,0.0
596137514,BUCKINGHAM SMITH BENEVOLENT ASSOCIATION,FL,206.32,206.315202094275,1.0,14,False,0.0
352123165,THE FUND FOR GOOD FOUNDATION INC,IN,204.16,204.16212769691074,1.0,15,False,0.0
311571705,MULLEN ANDERSEN CHILDREN'S FOUNDATION & TRUST,MD,202.64,202.63960400691124,1.0,16,False,0.0
256394192,EILEEN J LUCE CHARITABLE TRUST,PA,200.92,200.92428608918917,1.0,17,False,0.0
592936207,THE GROUP FOR NEUROSCIENCE RESEARCH AND,FL,181.73,181.7347760574801,1.0,18,False,0.0
900439500,SUCC TR U W LUELLA KEMPER TRUST,TX,181.56,181.55893982059,1.0,19,False,0.0
366048673,READE INDUSTRIAL FUND,IL,180.38,180.38117262754483,1.0,20,False,0.0
363293107,THE BLANKE FOUNDATION,TX,180.37,180.36983028430987,1.0,21,False,0.0
853274790,THE ROBERT S MCDOWELL FAMILY FOUNDATION,FL,180.36,180.3600924153944,1.0,22,False,0.0
464022663,R G PURCELL FAMILY CHARITABLE FOUNDATION,VA,180.35,180.35143730278813,1.0,23,False,0.0
756373248,TOM & LILIAN GRINNAN WILKINSON TRUST,TX,178.93,178.92537859933688,1.0,24,False,0.0
416021792,Smith Foundation Inc,MN,176.48,176.47604482071344,1.0,25,False,0.0
816116249,BILLIE GASKILL IRREVOCABLE TRUST 41A469018,OK,167.19,167.18795911201408,1.0,26,False,0.0
362488355,Blowitz-Ridgeway Foundation,IL,166.8,166.79977864590325,1.0,27,False,0.0
046020729,SARAH G MCCARTHY MEMORIAL FDN,TX,165.98,165.97722340775894,1.0,28,False,0.0
576110584,NORA & WILLIAM SMITH FOUNDATION,TX,165.64,165.64383352570064,1.0,29,False,0.0
461003393,Housing Affordability Trust,TN,164.38,164.38256360436955,1.0,30,False,0.0
486359254,WALTER E & LUCY M ROUSH CHARITABLE TRUST,TX,163.11,163.10756626676627,1.0,31,False,0.0
036117463,JAMES F KELLY AND FERNANDE KELLY CHARITABLE,NH,161.86,161.86241139671037,1.0,32,False,0.0
362941223,Catherine Tolliver Foundation,IL,161.74,161.7383566615353,1.0,33,False,0.0
042103780,FRANKLIN SQUARE HOUSE FOUNDATION INC,MA,161.31,161.31074087993093,1.0,34,False,0.0
261095199,The Dore Family Foundation,LA,159.53,159.52870960257607,1.0,35,False,0.0
472567972,WARDEN FAMILY FOUNDATION INC,WI,158.97,158.9737406126185,1.0,36,False,0.0
820967113,L F AND CARLA PERRY FOUNDATION INC,TX,156.27,156.26972059379025,1.0,37,False,0.0
900817431,Robert W & Geraldine C Simmer Fnd,TX,154.9,154.90350275484164,1.0,38,False,0.0
066240247,ARDENGHI AF GEN CHARIT PURPOSE,TX,154.8,154.8048076820805,1.0,39,False,0.0
836312684,BOLT FAMILY FOUNDATION,NJ,154.32,154.3241307948317,1.0,40,False,0.0
346516440,JOHN F & LORETTA HYNES FDN,OH,153.36,153.36264190512242,1.0,41,False,0.0
756545874,E P WOODRUFF TRUST,TX,150.82,150.8244532960164,1.0,42,False,0.0
133369901,THE RAPOPORT FAMILY FOUNDATION,NY,148.64,148.63795151904682,1.0,43,False,0.0
222994115,ASH CHARITABLE CORPORATION INC,MA,147.35,147.3532829590443,1.0,44,False,0.0
266130052,THE DAVID T & KAREN DELLA PENTA CHARITABLE,NY,147.07,147.0702265331026,1.0,45,False,0.0
205664114,PROVIDENT SAVINGS BANK CHARITABLE FOUNDATION INC,CA,146.45,146.4533820728054,1.0,46,False,0.0
264076038,BSNB CHARITABLE FOUNDATION,NY,146.33,146.328014254127,1.0,47,False,0.0
200436559,ASLAN FOUNDATION INC,AZ,145.44,145.43944653500918,1.0,48,False,0.0
364339823,John & Susan Dewan Foundation,IL,145.36,145.36059204647717,1.0,49,False,0.0
043071209,THE ROWE FOUNDATION INC,MA,145.1,145.09621748858402,1.0,50,False,0.0
352056320,HIPSKIND FAMILY CHARITABLE TRUST,IN,144.91,144.91313268341295,1.0,51,False,0.0
842297645,VEAZEY FAMILY FOUNDATION,SC,144.75,144.7482384637128,1.0,52,False,0.0
836029858,SKELTON MYRA F FOUNDATION,NV,144.34,144.3443151578864,1.0,53,False,0.0
261610936,CHARLES J AND BARBARA M OSICKA,CA,144.14,144.14059463378507,1.0,54,False,0.0
756476031,JAMES AND LILLIAN LOCKERD,TX,143.63,143.6273475978568,1.0,55,False,0.0
207133790,DESTEFANO FAMILY FOUNDATION,NH,143.44,143.44153754121533,1.0,56,False,0.0
475044065,RJS FOUNDATION INC,IN,143.24,143.2430764092801,1.0,57,False,0.0
306201571,THE BERNATCHEZ FAMILY FOUNDATION,FL,142.29,142.29005508017775,1.0,58,False,0.0
203424242,MASTERSON FAMILY FOUNDATION,WY,140.23,140.23359863130463,1.0,59,False,0.0
480998737,TANTILLO FAMILY FOUNDATION,KS,140.08,140.07900271819213,1.0,60,False,0.0
521312486,NATHAN AND RUTH HABIB,MD,139.55,139.55445022108236,1.0,61,False,0.0
386040506,C K EDDY FAMILY MEMORIAL FUND,OH,139.16,139.16453005951314,1.0,62,False,0.0
426054969,EDITH CURTIS ARMSTRONG AND FLORENCE,IL,139.06,139.05928852592683,1.0,63,False,0.0
526035898,ADA HARRIS MALEY MEMORIAL FUND,MD,138.4,138.40368378915417,1.0,64,False,0.0
541948947,THE WOLTZ-WINCHESTER FOUNDATION,VA,137.75,137.75364273085412,1.0,65,False,0.0
226732462,EDGAR & PAULINE MAIN FAMILY FOUNDATION,NJ,137.71,137.71076929516994,1.0,66,False,0.0
226631262,MILDRED R DAVIS CHAR FDN,PA,137.42,137.4241857033212,1.0,67,False,0.0
954332344,THE META & GEORGE ROSENBERG FOUNDATION,CA,137.21,137.20751971066085,1.0,68,False,0.0
223035886,THE R E S T SHERMAN CHARITABLE TRUS,NJ,137.07,137.0675937690905,1.0,69,False,0.0
936238025,TOM & MARILYN MOYER FOUNDATION,OR,136.48,136.48443740784245,1.0,70,False,0.0
546110451,THE TROLINGER TRUST - TES TR,FL,136.23,136.23206087058722,1.0,71,False,0.0
207210080,PALMER AND JANE D DAVENPORT FOUNDATION,IL,135.96,135.96031406622345,1.0,72,False,0.0
521367148,THE CHRISTIAN GIVING FUND,VA,135.88,135.87692917247745,1.0,73,False,0.0
582051729,CAMERON CHARITABLE TRUST,NV,134.52,134.51565767855277,1.0,74,False,0.0
237940677,FARRELL FAMILY CHARITABLE FOUNDATION,PA,134.09,134.087804181197,1.0,75,False,0.0
066377722,MCDONALD FAMILY TRUST,FL,133.89,133.88879534843707,1.0,76,False,0.0
943343568,ALAFI FAMILY FOUNDATION,CA,133.15,133.1538957531407,1.0,77,False,0.0
201570905,THE WALLY AND JO STROBEL FOUNDATION,MI,132.2,132.203850785787,1.0,78,False,0.0
200405852,THE GREEN FAMILY CHARITABLE FND,IN,132.05,132.04810886776906,1.0,79,False,0.0
346883645,THE BROTHERHOOD FOUNDATION,OH,131.59,131.5906200427247,1.0,80,False,0.0
311813059,Nowak Family Foundation,FL,131.03,131.03103296706007,1.0,81,False,0.0
262000065,Cavert Family Foundation,GA,130.21,130.20910561025417,1.0,82,False,0.0
208101878,DAVID G AND SUSAN L KNUST FAMILY FDN,OH,130.04,130.042972838849,1.0,83,False,0.0
463487859,The Kathleen L Morrison Charitable Foundation,IL,129.52,129.52452375954746,1.0,84,False,0.0
043259828,GEORGE S TROUPE FOUNDATION,MA,129.36,129.3568739442314,1.0,85,False,0.0
852296852,FRIED FAMILY FOUNDATION INC,VA,128.91,128.9064985806661,1.0,86,False,0.0
362167943,VISITING NURSE ASSOCIATION OF CHICAGO,IL,128.65,128.65351212788502,1.0,87,False,0.0
561923903,TOM AND BRENDA NASH FOUNDATION INC,NC,127.73,127.73072265416211,1.0,88,False,0.0
463746738,GBC INTERNATIONAL BANK FOUNDATION,CA,127.18,127.18091850802448,1.0,89,False,0.0
510066737,PALMER HOME INC,DE,126.8,126.79653871222679,1.0,90,False,0.0
270363634,THE GOOD SAMARITAN FOUNDATION,NC,126.57,126.569918223434,1.0,91,False,0.0
386870585,MARIA L RANSBURG CHARITABLE FOUNDATION DTD 01-09-0,FL,126.24,126.23845567547869,1.0,92,False,0.0
136171809,Arthur D Weekes Jr Charitable Trust,NY,126.17,126.16571138729877,1.0,93,False,0.0
300251086,NEBRASKA CHRISTIAN SUPPORT MINISTRIES,NE,125.45,125.45491024125774,1.0,94,False,0.0
593677087,JAMES & ANNE KUFELDT FOUNDATION INC,FL,125.23,125.23475629054873,1.0,95,False,0.0
454293819,THE SEYMOUR FOX MEMORIAL,NY,124.65,124.65341592487464,1.0,96,False,0.0
270603828,Craig and Christine Hughes Family Foundation,AZ,124.65,124.65130714247009,1.0,97,False,0.0
597280224,HELEN C & CURTIS B LOCKE CHARITABLE TRUST,TX,124.59,124.5861901818229,1.0,98,False,0.0
061542290,OLGA SIPOLIN CHILDREN'S FUND,TX,124.36,124.35552021065291,1.0,99,False,0.0
546061431,DENNIS FOUNDATION,NV,123.93,123.92969624645136,1.0,100,False,0.0
