foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
OLESON FOUNDATION,MI,23094804,5,5500,2024,t
HIGH MOUNTAIN CHARITABLE FOUNDATION,NY,1641364,5,1049,2023,f
THE CALIFORNIA ENDOWMENT,CA,4453417123,4,4500,2020,f
Anschutz Family Foundation,CO,45765575,4,7500,2022,t
MCKEEN FUND,FL,8778261,4,10000,2023,t
WHITE FAMILY FOUNDATION,FL,4799278,4,5000,2022,t
W J BRACE CHARITABLE TRUST,TX,7707533,3,13500,2024,t
DIRECT SUPPLY FOUNDATION INC,WI,1544055,3,3553,2020,t
THE MYRON STRATTON HOME,CO,298275321,2,20000,2023,t
METROWEST HEALTH FOUNDATION INC,MA,125787047,2,15000,2023,t
THE DR P PHILLIPS FOUNDATION,FL,44523995,2,30000,2020,t
THE ELEANOR AND J HUNTER FLACK,AL,16986253,2,30000,2023,f
TD CHARITABLE FOUNDATION,ME,8961309,2,25000,2023,t
FUNDACION TRIPLE-S INC,PR,5020399,2,15000,2023,t
GLEN AND DOROTHY STILLWELL,CA,3620077,2,20000,2022,t
THE JOE NAMATH CHARITABLE FOUNDATION,NY,2601814,2,6500,2023,f
AMERICAN WOODMARK FOUNDATION INC,VA,1278837,2,3000,2024,t
ALEXANDER F VICTOR FOUNDATION,CA,491061,2,2000,2021,f
WALNUT ACRES FOUNDATION INC,PA,354348,2,375,2019,f
RIVER CITY LOVES KINDNESS INC,VA,11840,2,3250,2022,f
J HUNTER FLACK FOUNDATION INC,AL,0,2,3750,2021,f
CONRAD N HILTON FOUNDATION,CA,7099706570,1,10000,2022,t
THE HARRY AND JEANETTE WEINBERG,MD,1751272254,1,132500,2020,t
OSTEOPATHIC HERITAGE FOUNDATION,OH,276322872,1,92368,2020,f
NEXTFIFTY INITIATIVE,CO,244297749,1,69000,2023,t
LIBRA FOUNDATION,ME,170023543,1,5000,2018,t
HOROWITZ FAMILY FOUNDATION,NV,144805727,1,50000,2020,f
HEINZ FAMILY FOUNDATION,PA,110767257,1,20000,2020,f
INTERNATIONAL PAPER COMPANY FOUNDATION,TN,70730002,1,6600,2022,t
Blowitz-Ridgeway Foundation,IL,23651528,1,12500,2023,t
THE CARPENTER FOUNDATION,OR,18649940,1,8000,2022,t
THE EDWARD AND MARY LORD FOUNDATION,CT,18362382,1,30000,2022,f
JOHN M HOPWOOD IRR,PA,14330708,1,5000,2023,t
CHRISTINE & JALMER BERG FOUNDATION,CA,11951265,1,100000,2022,t
CARL R HENDRICKSON FAMILY FDN,TX,11694114,1,7500,2021,t
BARSTOW FOUNDATION,CA,5545120,1,10000,2020,t
SLONE FAMILY FOUNDATION,NY,4367130,1,3000,2024,f
ANDUIN FOUNDATION,WA,3412973,1,100000,2019,f
DEITZLER FOUNDATION INC,WV,1865072,1,2500,2021,f
QUINTIN FOUNDATION,MN,1640343,1,10000,2022,f
Crum Family Charitable Foundation,AL,1433643,1,250,2023,t
THE MALARK FOUNDATION,MN,1305388,1,1000,2023,f
GEILE CHARITABLE FOUNDATION,AZ,461088,1,2000,2023,f
DIVERSITYINC FOUNDATION,FL,33795,1,5000,2018,f
KEMP KLEIN UMPHREY ENDELMAN & MAY,MI,6346,1,150,2021,t
JAMES L AND MARY JANE BOWMAN CHARITABLE,VA,0,1,30000,2021,t
THE RUNYON FAMILY FOUNDATION,MN,0,1,2500,2019,f
BILL & MELINDA GATES FOUNDATION,WA,76951451400,0,1412174,2023,t
THE ROBERT WOOD JOHNSON FOUNDATION,NJ,13678252785,0,500,2020,t
OPEN SOCIETY INSTITUTE,NY,5268526545,0,1500,2022,t
THE KRESGE FOUNDATION,MI,4065070521,0,57500,2020,t
MOTHER CABRINI HEALTH FOUNDATION INC,NY,3696313328,0,153320,2023,t
Houston Endowment Inc,TX,2370195483,0,2500,2019,t
M J MURDOCK CHARITABLE TRUST,WA,1892899273,0,23600,2022,t
THE SCHMIDT FAMILY FOUNDATION,CA,1834552574,0,500000,2019,t
Fred C and Katherine B Andersen Foundation,MN,1673338615,0,50000,2024,t
THE ANNENBERG FOUNDATION,PA,1462008226,0,40000,2019,f
THE GOTTESMAN FUND,NY,1436620157,0,30000,2019,f
OTTO BREMER TRUST,MN,1419998555,0,50000,2024,t
DANIELS FUND,CO,1303622638,0,50000,2023,t
THE AHMANSON FOUNDATION,CA,1229560863,0,75000,2021,t
JPMORGAN CHASE FOUNDATION,NY,1219377637,0,200,2024,f
The Brown Foundation Inc,TX,1093838038,0,30000,2023,t
THE SUNDERLAND FOUNDATION,KS,1017130762,0,50000,2023,t
GEORGE S AND DOLORES DORE,UT,892503036,0,4250,2023,t
MEYER MEMORIAL TRUST,OR,885167113,0,16150,2017,t
JE AND LE MABEE FOUNDATION INC,TX,782960269,0,275000,2020,f
THE JOHN A HARTFORD FOUNDATION INC,NY,675031343,0,493858,2023,t
Enterprise Holdings Foundation,MO,545498383,0,1500,2023,t
The Colorado Trust,CO,531367157,0,500,2019,f
The George Gund Foundation,OH,506606604,0,10000,2018,t
THE HUNTSMAN FOUNDATION,UT,504185798,0,87500,2023,f
MARTY AND DOROTHY SILVERMAN FOUNDATION,NY,499859709,0,25000,2023,f
IOWA WEST FOUNDATION,IA,492648687,0,58500,2023,t
SORENSON LEGACY FOUNDATION,UT,457366003,0,30000,2023,t
THE THOMPSON FAMILY FOUNDATION INC,NY,453472181,0,68750,2023,f
EL POMAR FOUNDATION,CO,447556831,0,1000,2021,t
THE SATTERBERG FOUNDATION INC,WA,443335399,0,100000,2023,t
Virginia G Piper Charitable Trust,AZ,442664466,0,3500,2023,t
TRUIST FOUNDATION INC,FL,435603374,0,30000,2022,t
GATES FAMILY FOUNDATION,CO,430884754,0,20000,2020,t
SALESFORCE FOUNDATION,CA,395528825,0,50,2019,f
MARIE LAMFROM CHARITABLE FOUNDATION,OR,374872001,0,20000,2024,t
KOHLER FOUNDATION INC,WI,371490118,0,750,2023,t
BAPTIST COMMUNITY MINISTRIES,LA,369350022,0,1618,2023,t
THE CANNON FOUNDATION INC,NC,329446542,0,75000,2023,t
THE JOHN R OISHEI FOUNDATION,NY,315667488,0,68750,2023,t
ALTMAN FOUNDATION,NY,283326707,0,75000,2023,t
THE SMIDT FOUNDATION,CA,267841665,0,50000,2022,f
THE PFIZER FOUNDATION INC,NY,255366549,0,425,2023,f
WAYNE AND GLADYS VALLEY FOUNDATION,CA,254892895,0,30000,2020,t
HUGH J ANDERSEN FOUNDATION,MN,251002895,0,25000,2019,t
Eastern Bank Foundation,MA,249698317,0,5000,2022,t
JF Maddox Foundation,NM,246101367,0,7504,2020,t
CUMMINGS FOUNDATION GRANTS INC (FKA ONEWORLD BOSTON INC),MA,233134310,0,25000,2023,t
THE COLLINS FOUNDATION,OR,227675139,0,7000,2020,t
GEORGIA POWER FOUNDATION INC,GA,217918727,0,2500,2018,t
WILLIAM G MCGOWAN CHARITABLE FUND,IL,216682198,0,3750,2020,t
John T Gorman Foundation,ME,214146299,0,22500,2023,t
THE RICHARD M SCHULZE FAMILY FOUNDATION,MN,209175254,0,10000,2023,t
THE RISC FOUNDATION INC,CT,205437717,0,3000,2021,f
THE ELKINS FOUNDATION,TX,202414363,0,10000,2020,t
THE FRIST FOUNDATION,TN,200236459,0,100000,2018,t
CVS FOUNDATION,RI,197167369,0,1000,2020,t
HERRICK FOUNDATION,MI,179053825,0,25000,2023,t
FR BIGELOW FOUNDATION,MN,176908736,0,25000,2023,t
The Coleman Foundation Inc,IL,174975741,0,11000,2023,t
