rank,foundation_ein,foundation_name,foundation_state,assets,open_to_apps,geo_eligible,target_grants,gold_standard,total_grants,total_giving,median_grant,siblings_funded,last_grant_yr,last_target_yr,tier
1,746070484,ALBERT & ETHEL HERZSTEIN,TX,126529173,t,t,2,0,3,122000,12000,1,2023,2023,A - Top Prospect
2,651058044,The Jim Moran Foundation Inc,FL,251700402,t,t,1,0,1,20000,20000,1,2023,2023,A - Top Prospect
3,746073312,Harry S & Isabel C Cameron Foundation,TX,30237052,t,t,1,0,1,5000,5000,1,2018,2018,A - Top Prospect
4,237029788,The Sparks Foundation,TN,6424463,t,t,1,0,1,500,500,1,2018,2018,A - Top Prospect
5,943019660,ALLETTA MORRIS MCBEAN CHARITABLE TRUST,CA,20496407,t,t,0,0,1,125000,125000,1,2019,,"B - Open+Geo, no target"
6,141893520,LIBERTY MUTUAL FOUNDATION INC,MA,46556209,t,t,0,0,3,100000,25000,1,2023,,"B - Open+Geo, no target"
7,366009208,FREDERICK HENRY PRINCE TESTAMENTARY TRUST,IL,111796588,t,t,0,0,5,50000,10000,1,2023,,"B - Open+Geo, no target"
8,341757351,DIEBOLD FOUNDATION,OH,7045165,t,t,0,0,1,25000,25000,1,2022,,"B - Open+Geo, no target"
9,046728351,THE VIRGINIA WELLINGTON CABOT FOUNDATION,MA,43142424,t,t,0,0,1,15000,15000,1,2022,,"B - Open+Geo, no target"
9,364110761,FRED & JEAN ALLEGRETTI FOUNDATION,FL,15841717,t,t,0,0,3,15000,5000,1,2019,,"B - Open+Geo, no target"
11,366152744,KOVLER FAMILY FOUNDATION,IL,35325473,t,t,0,0,3,13000,5000,1,2023,,"B - Open+Geo, no target"
12,810523786,TOWN PUMP CHARITABLE FOUNDATION,MT,63260816,t,t,0,0,3,12000,2500,1,2023,,"B - Open+Geo, no target"
13,843992087,Bill Simpson Foundation Inc,IN,18366921,t,t,0,0,1,10000,10000,1,2023,,"B - Open+Geo, no target"
13,810465899,First Interstate BancSystem Foundation,MT,20270202,t,t,0,0,1,10000,10000,1,2023,,"B - Open+Geo, no target"
15,581586283,DUKE ENERGY FOUNDATION,NC,6181774,t,t,0,0,1,5000,5000,1,2022,,"B - Open+Geo, no target"
15,596135403,THE DR P PHILLIPS FOUNDATION,FL,44523995,t,t,0,0,1,5000,5000,1,2021,,"B - Open+Geo, no target"
15,431262762,Enterprise Holdings Foundation,MO,545498383,t,t,0,0,1,5000,5000,1,2021,,"B - Open+Geo, no target"
15,341691023,THE STEFANSKI FAMILY FOUNDATION,OH,7879118,t,t,0,0,1,5000,5000,1,2020,,"B - Open+Geo, no target"
15,263772474,THE 1687 FOUNDATION,TX,162334929,t,t,0,0,1,5000,5000,1,2020,,"B - Open+Geo, no target"
15,208102394,HANSEN FAMILY FOUNDATION,VA,2237738,t,t,0,0,1,5000,5000,1,2021,,"B- - Open+Geo, small"
21,200721133,THE BANK OF AMERICA CHARITABLE,NC,7556845,t,t,0,0,5,3200,500,4,2023,,"B - Open+Geo, no target"
22,043342405,SALEM FIVE CHARITABLE FOUNDATION INC,MA,14984579,t,t,0,0,3,3000,1000,1,2021,,"B - Open+Geo, no target"
23,364311512,EVON D AND JACK H KECK FOUNDATION,WI,936694,t,t,0,0,1,2500,2500,1,2018,,"B- - Open+Geo, small"
23,311533046,HATTON FOUNDATION,OH,32697084,t,t,0,0,1,2500,2500,1,2020,,"B - Open+Geo, no target"
23,043415547,The Bay State Federal Savings,MA,16253139,t,t,0,0,1,2500,2500,1,2024,,"B - Open+Geo, no target"
26,366058059,THE MICHEL FOUNDATION,IL,89935,t,t,0,0,1,2100,2100,1,2023,,"B- - Open+Geo, small"
27,946098103,Brooks-Mathews Foundation,CA,406424,t,t,0,0,1,2000,2000,1,2019,,"B- - Open+Geo, small"
28,263882051,JAHN FOUNDATION,IL,283214,t,t,0,0,3,1500,500,1,2022,,"B- - Open+Geo, small"
28,131684331,THE FORD FOUNDATION,NY,16791366964,t,t,0,0,1,1500,1500,1,2018,,"B - Open+Geo, no target"
30,232684976,HAMILTON FAMILY FOUNDATION,PA,10250059,t,t,0,0,1,1000,1000,1,2018,,"B - Open+Geo, no target"
30,046744975,KERSHAW FOUNDATION CHARITABLE TRUST,MA,29242,t,t,0,0,1,1000,1000,1,2023,,"B- - Open+Geo, small"
