foundation_ein,foundation_name,foundation_state,foundation_assets,foundation_open_to_apps,grant_amount,grant_year,grant_purpose_text,is_first_grant,grant_purpose_quality,grantee_ein,grantee_name,grantee_state,grantee_city,grantee_revenue,grantee_mission_text,sibling_match_score,keyword_match,semantic_score,is_target_grant,target_grant_reason,semantic_target_texts,keywords_used
020703907,THE RUTH AND HAL LAUNDERS CHARITABLE,VA,49506006.00,PRESELECTED,5000,2023,"PROVIDE COMBAT VETERANS TO RECONNECT, RELAX AND REDUCE STRESS WHILE SAILING",t,high,933706958,RAIDER SAILING FOUNDATION,WA,SPOKANE,108950.00,"TO EMPOWER COMBAT VETERANS THROUGH TRANSFORMATIVE EXPERIENCES THAT REKINDLE THE CAMARADERIE AND PURPOSE FOUND IN CLOSE-KNIT TEAMS. THROUGH DYNAMIC SAILING ADVENTURES, WE FACILITATE THE REINTEGRATION OF TEAMS OF VETERANS INTO A SUPPORTIVE COMMUNITY. OUR MISSION EXTENDS BEYOND RECREATION, AS WE PARTNER VETERANS WITH EXPERIENCED SAILING CAPTAINS TO ELEVATE THE SPORT OF SAILING AND BUILD AN ENVIRONMENT OF ENDURING CONNECTIONS AND PERSONAL GROWTH.",0.9500,t,0.759,t,kw+sem,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
461550110,JOHN AND DARIA BARRY FOUNDATION,FL,476664379.00,PRESELECTED,50000,2022,OVERCOMING ADVERSITY THROUGH THERAPEUTIC SAILING,f,medium,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,t,0.713,t,kw+sem,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
461550110,JOHN AND DARIA BARRY FOUNDATION,FL,476664379.00,PRESELECTED,25000,2021,OVERCOMING ADVERSITY THROUGH THERAPEUTIC SAILING,f,medium,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,t,0.713,t,kw+sem,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
461550110,JOHN AND DARIA BARRY FOUNDATION,FL,476664379.00,PRESELECTED,25000,2019,OVERCOMING ADVERSITY THROUGH THERAPEUTIC SAILING,t,medium,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,t,0.713,t,kw+sem,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
461550110,JOHN AND DARIA BARRY FOUNDATION,FL,476664379.00,PRESELECTED,25000,2020,OVERCOMING ADVERSITY THROUGH THERAPEUTIC SAILING,f,medium,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,t,0.713,t,kw+sem,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
066304990,CALF ISLAND FOUNDATION,CT,171640.00,PRESELECTED,5000,2018,DONATION TO USE THE SPORT OF SAILING AS A PLATFORM TO TEACH PEOPLE TO OVERCOME ADVERSITY IN THEIR DAILY LIVES,t,high,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,f,0.669,t,semantic,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
066304990,CALF ISLAND FOUNDATION,CT,171640.00,PRESELECTED,2500,2019,DONATION TO USE THE SPORT OF SAILING AS A PLATFORM TO TEACH PEOPLE TO OVERCOME ADVERSITY IN THEIR DAILY LIVES,f,high,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,f,0.669,t,semantic,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
050368103,ROY T MORGAN FOUNDATION INC,RI,3049815.00,OPEN,15000,2023,CONTRIBUTION FOR SAILING FOR CHILDREN AND TEENS WITH DISABILITIES,f,high,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,f,0.664,t,semantic,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
050368103,ROY T MORGAN FOUNDATION INC,RI,3049815.00,OPEN,15000,2024,CONTRIBUTION FOR SAILING FOR CHILDREN AND TEENS WITH DISABILITIES,f,high,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,f,0.664,t,semantic,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
050368103,ROY T MORGAN FOUNDATION INC,RI,3049815.00,OPEN,12000,2022,CONTRIBUTION FOR SAILING FOR CHILDREN AND TEENS WITH DISABILITIES,f,high,050399703,SAIL TO PREVAIL INC,RI,NEWPORT,621503.00,"OUR NATIONAL DISABLED SAILING PROGRAM TEACHES CHILDREN AND ADULTS WITH DISABILITIES TO OVERCOME ADVERSITY THROUGH THERAPEUTIC SAILING. PARTICIPANTS INCLUDE INDIVIDUALS WITH MOST ANY DISABILITY - SUCH AS AUTISM, PARALYSIS, AND INTELLECTUAL DISABILITIES - AND WHEN APPROPRIATE, FAMILY MEMBERS AND CAREGIVERS ARE ENCOURAGED TO PARTICIPATE. WOUNDED U.S. MILITARY PERSONNEL ALSO TAKE PART THROUGH DEDICATED PROGRAMS. THE PEDIATRIC CANCER PROGRAM INCLUDES THE CHILDREN'S RESIDENT DOCTORS AND PARENTS. OVERALL, MORE THAN 1000 PARTICIPANTS ANNUALLY LEARN SAILING SKILLS IN A FLEET OF SPECIALLY ADAPTED SAILBOATS. SAIL TO PREVAIL IS INCREASINGLY PROMOTING THERAPEUTIC SAILING BY SHARING THE PROGRAM'S MORE THAN TWO DECADES OF SUCCESSFUL CONCEPTS, METHODOLOGIES AND EXPERIENCES WITH OTHER ORGANIZATIONS AND INDIVIDUALS WHO MIGHT HAVE A LASTING, POSITIVE EFFECT. THE GOAL IS TO INFORM AND EDUCATE PEOPLE THAT THERAPEUTIC SAILING CAN HAVE A MEANINGFUL DIFFERENCE IN THE LIVES OF PEOPLE WITH DISABILITIES.",0.9000,f,0.664,t,semantic,"NARROW: To provide veterans with sailing outings and lessons as a way to provide emotional support and healing through mindfulness-based therapeutic sailing | MEDIUM: Therapeutic sailing programs for military veterans suffering from PTSD and traumatic injuries, including adaptive sailing, sail training, and wooden boat restoration to support veteran well-being and healing | BROAD: Outdoor recreation therapy programs for military veterans, including therapeutic sailing, boat restoration, and mindfulness-based wellness programs supporting veterans with PTSD","veteran sailing, therapeutic sailing, adaptive sailing, sailing program, veteran wellness, veteran outdoor, boat restoration, wooden boat, maritime heritage, PTSD veteran, veteran fishing"
