foundation_ein,foundation_name,state,website_url,total_assets,annual_giving,total_grants_made,pf_to_pf_grant_count,pf_to_pf_total_amount,ca_grant_count,veteran_grant_count,veteran_grant_amount,target_grant_count,lasso_score,open_to_applicants,gives_in_ca,funds_pfs,latest_tax_year,source,known_funder,filter_passes,failed_filters,description,phone,app_contact_email,app_contact_name
200721133,THE BANK OF AMERICA CHARITABLE,NC,WWW.BANKOFAMERICA.COM/FOUNDATION,7556845,231237077,315580,372,1054634,35133,0,0,0,,True,True,True,2023,sibling,False,3,,,9803869127,WWW.BANKOFAMERICA.COM/FOUNDATION,SEE FOUNDATION WEBPAGE AT WWWBANKOF
131684331,THE FORD FOUNDATION,NY,WWW.FORDFOUNDATION.ORG,16791366964,453901618,17066,78,24626561,1470,6,155000,0,,True,True,True,2023,both,False,3,,,2125735000,,THE FORD FOUNDATION
131628151,CARNEGIE CORPORATION OF NEW YORK,NY,https://www.carnegie.org,4536407530,116374437,4113,66,27071484,360,22,3890300,0,,True,True,True,2023,keyword,False,3,,Partnership Income,2123713200,grantsinfo@carnegie.org,Nicole Howe-Buggs
381359264,WK Kellogg Foundation,MI,www.wkkf.org,454402214,280897837,12223,63,19311743,780,3,350000,0,,True,True,True,2023,keyword,False,3,,PRI Interest,2699681611,conciergedesk@wkkf.org,Concierge Service Desk
581586283,DUKE ENERGY FOUNDATION,NC,WWW.DUKE-ENERGY.COM/FOUNDATION,6181774,18811706,13379,53,52674,208,0,0,0,,True,True,True,2023,sibling,False,3,,,7043827200,,SUSAN FRANCIS
431262762,Enterprise Holdings Foundation,MO,WWW.GUIDESTAR.ORG,545498383,53338710,39725,48,680124,3924,0,0,0,,True,True,True,2023,sibling,False,3,,MUTUAL FUND INCOME,3145125000,,JO ANN KINDLE
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,www.macfound.org,8672283398,325842885,10551,47,45439326,749,15,1810000,0,,True,True,True,2023,keyword,False,3,,,3127268000,,MACARTHUR FOUNDATION
412007734,XCEL ENERGY FOUNDATION,MN,HTTPS://MY.XCELENERGY.COM/S/COMMUNITY,3671471,6192988,9415,41,96187,164,0,0,0,,True,True,True,2023,sibling,False,3,,,6122155310,WWW.XCELENERGY.COM CLICK ON ABOUT US/COMMUNIT,XCEL ENERGY FOUNDATION
941655673,THE WILLIAM & FLORA HEWLETT FOUNDATION,CA,WWW.HEWLETT.ORG,13332174215,324437313,8839,37,11997687,3251,2,115000,0,,True,True,True,2023,keyword,False,3,,,6502344500,,AMBER MILLER PRESIDENT
930806316,MEYER MEMORIAL TRUST,OR,WWW.MMT.ORG,885167113,33440842,4834,33,1719650,120,18,1777934,0,,True,True,True,2023,keyword,False,3,,PRI INTEREST INCOME,5032285512,,MEYER MEMORIAL TRUST
