prospect_ein,contact_email,to_email,subdomain,template_used,subject_line,from_address,status,message_id,timestamp,error
870777471,info@NBInt.org,info@NBInt.org,ai,A,Private funders for public safety in Oklahoma,Alec Kleinman <alec@ai.thegrantscout.com>,sent,1a909393-41c3-4baa-a1ed-b3ff666b0fe0,2026-02-18T14:58:32.097782+00:00,
920074000,karen.gillis@bsfaak.org,karen.gillis@bsfaak.org,connect,A,Private funders for community improvement in Alaska,Alec Kleinman <alec@connect.thegrantscout.com>,sent,9f860ade-497e-4e8f-8a7b-9c9a4e604df9,2026-02-18T14:58:42.233814+00:00,
452852041,donor@fftfef.org,donor@fftfef.org,contact,C,Foundation funding for Fight for the Future Education Fund,Alec Kleinman <alec@contact.thegrantscout.com>,sent,789161f2-c3eb-4013-bf49-a328ad78e97b,2026-02-18T14:58:52.326760+00:00,
562519436,info@openarmsmexico.org,info@openarmsmexico.org,email,A,Private funders for international in California,Alec Kleinman <alec@email.thegrantscout.com>,sent,a32e259d-e19a-450e-a9df-5f145781b876,2026-02-18T14:59:01.677762+00:00,
472058404,info@championscommunityfoundation.org,info@championscommunityfoundation.org,hello,C,Foundation funding for Champions Community Foundation,Alec Kleinman <alec@hello.thegrantscout.com>,sent,578476dc-2f62-45b9-8df1-7e0311a9b784,2026-02-18T14:59:11.521138+00:00,
251852131,info@ncsquared.com,info@ncsquared.com,info,A,Private funders for employment in Pennsylvania,Alec Kleinman <alec@info.thegrantscout.com>,sent,76c3285d-47f2-4b0a-a412-4ae529713657,2026-02-18T14:59:21.520401+00:00,
383114474,information-referral@dakc.us,information-referral@dakc.us,insights,C,Foundation funding for Disability Advocates of Kent County,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T14:59:32.871593+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
911577113,admin@mycwdr.org,admin@mycwdr.org,mail,A,Private funders for human services in Washington,Alec Kleinman <alec@mail.thegrantscout.com>,sent,d7813f14-586a-46c8-ac72-185930d82b40,2026-02-18T14:59:42.733743+00:00,
562488631,info@TrueConcord.org,info@TrueConcord.org,outreach,A,Private funders for arts and culture in Arizona,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,eb0d72c3-dac9-46d2-af43-fc275b46a030,2026-02-18T14:59:54.099535+00:00,
421547098,contactanos@laescuelitapgh.org,contactanos@laescuelitapgh.org,team,A,Private funders for education in Pennsylvania,Alec Kleinman <alec@team.thegrantscout.com>,sent,e447e6cb-6b7b-48f1-9d1f-322585de8273,2026-02-18T15:00:05.537015+00:00,
202737719,Contactus@sharingnetworkfoundation.org,Contactus@sharingnetworkfoundation.org,ai,C,Foundation funding for The Sharing Network Foundation,Alec Kleinman <alec@ai.thegrantscout.com>,sent,b551b63e-2568-49af-a26f-b3e378dd2626,2026-02-18T15:00:15.795007+00:00,
462814417,help@towerfamilyfoundation.org,help@towerfamilyfoundation.org,connect,A,Private funders for health in South Dakota,Alec Kleinman <alec@connect.thegrantscout.com>,sent,5a894a88-240d-4e4d-ad8e-997373b870c3,2026-02-18T15:00:26.003132+00:00,
770498274,admin@medministries.org,admin@medministries.org,contact,C,Foundation funding for Medical Ministries International,Alec Kleinman <alec@contact.thegrantscout.com>,sent,96a30734-9b6b-4efd-b368-418317fa9653,2026-02-18T15:00:35.101064+00:00,
591376077,info@tacolcy.org,info@tacolcy.org,email,A,Private funders for youth development in Florida,Alec Kleinman <alec@email.thegrantscout.com>,sent,9c32268d-3876-49a9-b6f0-0f0f2523c48c,2026-02-18T15:00:43.733966+00:00,
561995085,office@fdnsc.net,office@fdnsc.net,hello,C,Foundation funding for Francine Delany New School for Children,Alec Kleinman <alec@hello.thegrantscout.com>,sent,ce7b8356-5b99-4d91-9944-2454a706e707,2026-02-18T15:00:53.505352+00:00,
113839742,office@goodneighborshr.org,office@goodneighborshr.org,info,A,Private funders for human services in Pennsylvania,Alec Kleinman <alec@info.thegrantscout.com>,sent,55c9226c-c246-41f3-800f-a3765334b5e6,2026-02-18T15:01:04.048025+00:00,
421242565,abi@iowaabi.org,abi@iowaabi.org,insights,C,Foundation funding for Iowa Association of Business and Industr,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:01:13.456125+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
510410508,info@faithfulfriends.us,info@faithfulfriends.us,mail,A,Private funders for animal welfare in Delaware,Alec Kleinman <alec@mail.thegrantscout.com>,sent,e76f68f4-4d1a-4ae4-ac6e-8e9764f823e9,2026-02-18T15:01:25.450923+00:00,
880301113,pepinfo@nvpep.org,pepinfo@nvpep.org,outreach,C,Foundation funding for Nevada P E P,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,9fe470f8-fd91-410a-80d8-9c732939561d,2026-02-18T15:01:37.504620+00:00,
232528819,sarah@familysupportline.org,sarah@familysupportline.org,team,A,Private funders for human services in Pennsylvania,Alec Kleinman <alec@team.thegrantscout.com>,sent,f1c889fb-1f76-4d52-b284-f509ef0eb2df,2026-02-18T15:01:48.577756+00:00,
010556446,info@quincyasianresources.org,info@quincyasianresources.org,ai,A,Private funders for human services in Massachusetts,Alec Kleinman <alec@ai.thegrantscout.com>,sent,969b292e-9d93-4df8-ba01-9e39e96e2cf9,2026-02-18T15:02:00.694964+00:00,
237083302,amy@berkeleyseniorservices.org,amy@berkeleyseniorservices.org,connect,A,Private funders for human services in West Virginia,Alec Kleinman <alec@connect.thegrantscout.com>,sent,2bd48632-b36d-48cc-8dc4-609209498c97,2026-02-18T15:02:11.150635+00:00,
146032117,admissions@sunyulster.edu,admissions@sunyulster.edu,contact,C,Foundation funding for Ulster Community College,Alec Kleinman <alec@contact.thegrantscout.com>,sent,13e103fd-cf89-4f70-8e9c-da5a1ecec5d6,2026-02-18T15:02:21.941704+00:00,
852405098,info@golestanfoundation.org,info@golestanfoundation.org,email,A,Private funders for human services in Washington,Alec Kleinman <alec@email.thegrantscout.com>,sent,65193bc8-5188-46f4-a1e6-d384d2f13528,2026-02-18T15:02:34.037801+00:00,
550420373,Julie.Morgado@bdgsc.org,Julie.Morgado@bdgsc.org,hello,C,Foundation funding for Girl Scouts of Black Diamond Council,Alec Kleinman <alec@hello.thegrantscout.com>,sent,ba1e65ea-8268-4352-a454-a9472c8d3c0f,2026-02-18T15:02:45.432721+00:00,
472543526,orders@togetherwebake.org,orders@togetherwebake.org,info,A,Private funders for human services in Virginia,Alec Kleinman <alec@info.thegrantscout.com>,sent,b307922a-1876-4f88-9263-5c7fe1b8e031,2026-02-18T15:02:54.677594+00:00,
311345575,workorder@inhcmc.org,workorder@inhcmc.org,insights,C,Foundation funding for Miami Valley In-ovations,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:03:03.055326+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
042378175,info@ceoccambridge.org,info@ceoccambridge.org,mail,A,Private funders for human services in Massachusetts,Alec Kleinman <alec@mail.thegrantscout.com>,sent,00a7d5c1-8ae6-4693-89b5-1ce8d25c8a68,2026-02-18T15:03:12.774480+00:00,
026011969,lspa@lakesunapee.org,lspa@lakesunapee.org,outreach,C,Foundation funding for Lake Sunapee Protective Association,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,e907ae56-4cd4-4a27-a8ff-a8719fa35209,2026-02-18T15:03:24.653805+00:00,
133083081,info@familyannex.org,info@familyannex.org,team,A,Private funders for human services in New York,Alec Kleinman <alec@team.thegrantscout.com>,sent,c0058c7f-3fac-4138-8476-3a8771f51a4d,2026-02-18T15:03:36.444555+00:00,
630322672,jim@bbmission.com,jim@bbmission.com,ai,A,Private funders for human services in Alabama,Alec Kleinman <alec@ai.thegrantscout.com>,sent,83c7bbc8-0acb-4dc1-9b78-334cd7e2cec0,2026-02-18T15:03:46.068868+00:00,
203051279,info@teamstepusa.org,info@teamstepusa.org,connect,A,Private funders for public policy in California,Alec Kleinman <alec@connect.thegrantscout.com>,sent,5e6c2b5a-bde1-4344-b7a5-c03fc7c5ce55,2026-02-18T15:03:57.931019+00:00,
854196345,info@curiosity2create.org,info@curiosity2create.org,contact,A,Private funders for human services in Florida,Alec Kleinman <alec@contact.thegrantscout.com>,sent,3c095aad-50f5-4bcf-835a-037a5aa4b775,2026-02-18T15:04:07.595434+00:00,
112516151,brakusin@yfcaoysterbay.org,brakusin@yfcaoysterbay.org,email,A,Private funders for human services in New York,Alec Kleinman <alec@email.thegrantscout.com>,sent,230e6a96-0eac-4e87-810b-17977864130e,2026-02-18T15:04:18.969622+00:00,
222461852,info@princetonjuniorschool.org,info@princetonjuniorschool.org,hello,C,Foundation funding for Princeton Junior School,Alec Kleinman <alec@hello.thegrantscout.com>,sent,c143fc01-e1a6-4e86-a387-f37cd18a17c2,2026-02-18T15:04:28.432391+00:00,
