ein,organization_name,contact_first_name,contact_email,state,ntee_code,mission_description,email_quality_tier,foundation_count,display_count,sector_label
920074000,BERING SEA FISHERMENS ASSOCIATION,Andrew,karen.gillis@bsfaak.org,AK,S30,WESTERN ALASKA FISHERIES SUPPORT AND RESTORATION.,A,30,30,Community Improvement
920047999,PLAY N LEARN CENTER INC,Kelly,HResources@thrivalaska.com,AK,P33Z,"HELPING CHILDREN, FAMILIES, AND COMMUNITIES THRIVE BY PROVIDING HIGH QUALITY FAMILY-FOCUSED SERVICES THAT ADVOCATE FOR AND STRENGTHEN CHILDREN, FAMILIES, AND STAFF.",A,47,45,Human Services
760825329,BLOOD N FIRE MINISTRY OF ALASKA,Matthew,bnfalaska@mtaonline.net,AK,X20,"PROVIDING A FOOD PANTRY, CLOTHING PANTRY, HOMELESS PREVENTION SERVICES, AND TRANSITIONAL HOUSING (KNIK HOUSE).",A,11,,Religion
822991440,SUNSHINE TRANSIT,Sean,sunshinetransit@yahoo.com,AK,P52,"TO PROVIDE INEXPENSIVE, RELIABLE TRANSPORTATION TO BREAK DOWN THE BARRIERS TO HEALTH CARE, WELLNESS, EDUCATION, AND EMPLOYMENT IN THE UPPER SUSITNA VALLEY.",A,47,45,Human Services
920132913,Anchorage Waldorf Education Association,Renee,ed@waldorfak.org,AK,B99Z,The organizations primary purpose is to provide a Waldorf based general education for kindergarden through 8th grade.,A,43,45,Education
920165056,SOUTHEAST ALASKA FOOD BANK,Christopher,sfpc@seafb.onmicrosoft.com,AK,K31,"The mission of the Southeast Alaska Food Bank is to provide nutritious food for those who are without, serving as a community bridge between those who want to help and those who are in need.",A,24,,Food/Agriculture
920058208,SOUTHERN REGION EMERGENCY,Michael,webadmin@sremsc.org,AK,E63Z,"SREMSC IS A DEVOTED TEAM WORKING FOR ALL THE PEOPLE OF EMS, HELPING THEM PROVIDE THE BEST IN PATIENT CARE, INTEGRATING THEM INTO THE HEALTH CARE TEAM, AND ENSURING THEIR COMMITMENT AND VALUE ARE RECOGNIZED. WE PROMOTE GROWTH AND DEVELOPMENT OF COMMUNITY EMS. WE PROMOTE EXCELLENCE IN PATIENT CARE, QUALITY MANAGEMENT, INJURY PREVENTION, PROFESSIONALISM AND VALUE THE VOLUNTEER AND PAID PROVIDERS OF EMERGENCY CARE.",A,24,,Health
920026479,ACCA INC,Janelle,acca@alaskacenter.org,AK,E50Z,"TO ASSIST IN IMPROVING THE LIVES OF PEOPLE WITH DISABILITIES AND THEIR FAMILIES BY PROVIDING QUALITY DIAGNOSTIC, THERAPEUTIC, EDUCATIONAL, AND REFERRAL SERVICES IN CONJUNCTION WITH OTHER COMMUNITY PROVIDERS WITHOUT REGARD TO THE ABILITY TO PAY.",A,24,,Health
134362029,Vineyard Family Services of Central Alabama Inc,Ward,VFSGeneral@vfsdads.com,AL,P46,"The Organization was established with children in mind. Through its programs, it feeds children in need, promotes responsible fatherhood, and helps families in crisis.",A,217,75,Human Services
631075810,WIREGRASS AREA FOOD BANK INC,Linda,dhanks@wiregrassfoodbank.com,AL,K31Z,FOOD AND SUPPLIES DISTRIBUTION,A,72,70,Food/Agriculture
631035650,JAGUAR ATHLETIC FUND INC,Jimmy,njerdmann@southalabama.edu,AL,N41I,PROVIDE FINANCIAL SUPPORT FOR THE UNIVERSITY OF SOUTH ALABAMA'S ATHLETICS DEPARTMENT.,A,57,55,Recreation
721378980,THE EYESIGHT FOUNDATION OF ALABAMA INC,Barbara,ghadley@partnersmultimedia.com,AL,E122,"TO SERVE AS A CATALYST FOR IMPROVING EYESIGHT THROUGH EDUCATION, RESEARCH AND ACCESS TO CARE.",A,149,75,Health
630713052,CARE HUMANE SOCIETY,Karen,care1140@carehumane.org,AL,D200,"TO PROVIDE CARE OF STRAY ANIMALS FOR THE CITIES OF AUBURN AND OPELIKA AL. THIS SERVICE INCLUDES SHELTER, MEDICATIONS AND VET CARE UNTIL ANIMALS ARE ADOPTED.",A,96,75,Animal-Related
631260841,Victory Health Partners Inc,Robert,nps@victoryhealth.org,AL,E30,"Victory Health Partners, Inc. is a faith-based non-profit medical practice committed to removing healthcare barriers for low-income, uninsured adults in the Gulf Coast.",A,149,75,Health
