zip_file,xml_count,filer_email_count,recipient_email_count,email_address_any,profile_email_change
2019_TEOS_XML_CT1.zip,3,0,0,0,0
2020_TEOS_XML_CT1.zip,65723,0,0,0,0
2021_TEOS_XML_01A.zip,589904,0,5936,6395,459
2022_TEOS_XML_01A.zip,433529,0,4472,5184,712
2023_TEOS_XML_01A (1).zip,21513,0,152,193,41
2023_TEOS_XML_02A.zip,40304,0,372,424,52
2023_TEOS_XML_03A.zip,36224,0,354,437,83
2023_TEOS_XML_04A.zip,42995,0,486,589,103
2023_TEOS_XML_05A.zip,156228,0,1891,2177,286
2023_TEOS_XML_06A.zip,29240,0,310,340,30
2023_TEOS_XML_07A.zip,38027,0,362,417,55
2023_TEOS_XML_08A.zip,42301,0,388,437,49
2023_TEOS_XML_09A.zip,35070,0,405,453,48
2023_TEOS_XML_10A.zip,56858,0,554,637,83
2023_TEOS_XML_11A.zip,186387,0,2076,2257,181
2023_TEOS_XML_12A.zip,20007,0,185,216,31
2024_TEOS_XML_01A.zip,17246,0,138,188,50
2024_TEOS_XML_02A.zip,40284,0,362,423,61
2024_TEOS_XML_03A.zip,38418,0,376,469,93
2024_TEOS_XML_04A.zip,59487,0,776,891,115
2024_TEOS_XML_05A.zip,156237,0,1903,2158,255
2024_TEOS_XML_06A.zip,29408,0,322,353,31
2024_TEOS_XML_07A.zip,50144,0,494,563,69
2024_TEOS_XML_08A (1).zip,41687,0,396,396,0
2024_TEOS_XML_09A (1).zip,44108,0,461,461,0
2024_TEOS_XML_10A (1).zip,43392,0,422,422,0
2024_TEOS_XML_11A (1).zip,186632,0,2033,2033,0
2024_TEOS_XML_12A (1).zip,21676,0,208,208,0
2025_TEOS_XML_01A.zip,17044,0,123,123,0
2025_TEOS_XML_02A.zip,41855,0,406,406,0
2025_TEOS_XML_03A.zip,41570,0,429,429,0
2025_TEOS_XML_04A.zip,57595,0,695,695,0
2025_TEOS_XML_05A.zip,81770,0,0,0,0
2025_TEOS_XML_06A.zip,44824,0,486,486,0
2025_TEOS_XML_07A.zip,24854,0,249,249,0
2025_TEOS_XML_08A.zip,42291,0,400,400,0
download990xml_2019_1.zip,65088,0,434,434,0
download990xml_2019_2.zip,63726,0,446,446,0
download990xml_2019_3.zip,63477,0,427,427,0
download990xml_2019_4.zip,65191,0,477,477,0
download990xml_2019_5.zip,62612,0,444,444,0
download990xml_2019_6.zip,61459,0,383,383,0
download990xml_2019_7.zip,65068,0,427,427,0
download990xml_2019_8.zip,28954,0,182,182,0
download990xml_2020_1.zip,65551,0,309,309,0
download990xml_2020_2.zip,63059,0,404,404,0
download990xml_2020_3.zip,63286,0,443,443,0
download990xml_2020_4.zip,66199,0,306,306,0
download990xml_2020_5.zip,64273,0,406,406,0
download990xml_2020_6.zip,63219,0,472,472,0
download990xml_2020_7.zip,64474,0,319,319,0
download990xml_2020_8.zip,25293,0,186,186,0
TOTAL,3825764,0,34687,37574,2887
