prospect_ein,contact_email,template_used,passed,checks,subject_line
954580280,contactus@esperanzaservices.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for housing organizations in California
270513560,complaint@jointcommission.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Florida
464605245,katie@k-connect.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Michigan
930700108,tickets@lakewood-center.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in Oregon
132887872,u003Einfo@drawingcenter.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in New York
980157176,info@ecopeaceme.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for international organizations in District of Columbia
205646257,info@crossingchoir.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Pennsylvania
541396772,contact@stauntonmontessori.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Virginia
202039636,cearp@alliancevbc.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for recreation organizations in Tennessee
204596400,office@stonecreekschool.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Colorado
463701580,admin@ufm.org.uk,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for religion organizations in Alabama
300636031,inquires@marleysmutts.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for animal-related organizations in California
351275252,twalden@huffermcc.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Indiana
132759292,mail@theactingcompany.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in New York
581301810,jcainfo@justicecenter.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for crime/legal organizations in Georgia
202776531,service@csutx.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for housing organizations in Texas
473165668,info@vocalforpets.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for animal-related organizations in Florida
510372506,Abigail.Rodriguez-Stutts@cacofde.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Delaware
222746733,info@normanbirdsanctuary.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=70 | OK: subject present,Private funders for animal-related organizations in Rhode Island
036006792,alumni@campbillings.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for recreation organizations in Vermont
237259409,thepoint@thepointarc.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Kentucky
810792142,missy@biogirls.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=25 | OK: subject present,Private funders for youth development organizations in North Dakota
931212530,info@thechildrenscourse.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for recreation organizations in Oregon
450549393,info@alignmentnashville.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Tennessee
