prospect_ein,contact_email,to_email,subdomain,template_used,subject_line,from_address,status,message_id,timestamp,error
521701257,info@md-rwa.org,info@md-rwa.org,connect,A,Private funders for public policy organizations in Maryland,Alec Kleinman <alec@connect.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.580340+00:00,
611328488,jennifer@recenterministries.org,jennifer@recenterministries.org,email,A,Private funders for religion organizations in Kentucky,Alec Kleinman <alec@email.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.580959+00:00,
260779977,hello@belongpartners.org,hello@belongpartners.org,funding,A,Private funders for youth development organizations in Washington,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581128+00:00,
883444325,info@camsummer.org,info@camsummer.org,grants,C,Foundation funding for Contemporary Arts Memphis,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581207+00:00,
452641647,info@nathanbendersonpark.org,info@nathanbendersonpark.org,insights,A,Private funders for recreation organizations in Florida,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581256+00:00,
222982253,mail@vpqhc.org,mail@vpqhc.org,nonprofits,A,Private funders for health organizations in Vermont,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581295+00:00,
237065803,info@kingartscomplex.com,info@kingartscomplex.com,privatefunding,A,Private funders for arts & culture organizations in Ohio,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581332+00:00,
202716973,Gary@cc-om.org,Gary@cc-om.org,reports,C,Foundation funding for County Connection of Midland,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581369+00:00,
870786530,info@parkconnection.org,info@parkconnection.org,scout,A,Private funders for environment organizations in Minnesota,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581404+00:00,
900641325,info@readers2leaders.org,info@readers2leaders.org,service,C,Foundation funding for Readers 2 Leaders,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.581556+00:00,
630318657,info@brantwoodchildrenshome.org,info@brantwoodchildrenshome.org,funding,A,Private funders for human services organizations in Alabama,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.582653+00:00,
830236714,trice@wyo-wcca.org,trice@wyo-wcca.org,grants,C,Foundation funding for Wyoming County Commissioners Association,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.582819+00:00,
340152618,info@globalnorthstar.com,info@globalnorthstar.com,insights,A,Private funders for recreation organizations in Ohio,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.582900+00:00,
680482952,info@wecarealot.org,info@wecarealot.org,nonprofits,C,Foundation funding for We Care a Lot Foundation INC,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.582970+00:00,
431762646,info@ilcsemo.org,info@ilcsemo.org,privatefunding,A,Private funders for human services organizations in Missouri,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583038+00:00,
066103893,avalonialc@yahoo.com,avalonialc@yahoo.com,reports,A,Private funders for environment organizations in Connecticut,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583168+00:00,
650049492,info@caccollier.org,info@caccollier.org,scout,A,Private funders for civil rights organizations in Florida,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583286+00:00,
382996765,jwiewiora@jslmi.org,jwiewiora@jslmi.org,service,A,Private funders for housing organizations in Michigan,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583446+00:00,
411344743,marketing@annamaries.org,marketing@annamaries.org,grants,A,Private funders for human services organizations in Minnesota,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583522+00:00,
330600577,info@redlandsconservancy.org,info@redlandsconservancy.org,insights,C,Foundation funding for Redlands Conservancy,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583678+00:00,
521720876,fgcb@fgcb.org,fgcb@fgcb.org,nonprofits,A,Private funders for education organizations in Maryland,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583755+00:00,
222479696,info@rockportmusic.org,info@rockportmusic.org,privatefunding,A,Private funders for arts & culture organizations in Massachusetts,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583884+00:00,
611250336,admissions@hcahopkinsville.org,admissions@hcahopkinsville.org,reports,A,Private funders for education organizations in Kentucky,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583944+00:00,
272487573,info@itavtfoc.org,info@itavtfoc.org,scout,A,Private funders for food/agriculture organizations in Pennsylvania,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.583989+00:00,
391657328,contact@forwardcareers.org,contact@forwardcareers.org,service,A,Private funders for employment organizations in Wisconsin,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584078+00:00,
270263926,office@ecautismcenter.org,office@ecautismcenter.org,funding,C,Foundation funding for Emerald Coast Autism Center in,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584205+00:00,
592990428,info@flibs.org,info@flibs.org,grants,A,Private funders for education organizations in Florida,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584265+00:00,
463588150,emily.eber@championsforlit.org,emily.eber@championsforlit.org,insights,C,Foundation funding for Champions for Literacy,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584322+00:00,
931071753,admissions@pacificbible.edu,admissions@pacificbible.edu,nonprofits,A,Private funders for education organizations in Oregon,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584375+00:00,
390826295,newmedia@ja.org,newmedia@ja.org,privatefunding,C,Foundation funding for Junior Achievement of Wisconsin INC,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584494+00:00,
464859045,info@digi-bridge.org,info@digi-bridge.org,reports,A,Private funders for education organizations in North Carolina,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584557+00:00,
920047999,HResources@thrivalaska.com,HResources@thrivalaska.com,scout,A,Private funders for human services organizations in Alaska,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584611+00:00,
463645590,infocenter@citizensmemorial.com,infocenter@citizensmemorial.com,service,A,Private funders for health organizations in Missouri,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584663+00:00,
731078009,admin@help-works.com,admin@help-works.com,funding,A,Private funders for employment organizations in Oklahoma,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584714+00:00,
931263353,boxoffice@whitebird.org,boxoffice@whitebird.org,grants,C,Foundation funding for White Bird,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584764+00:00,
016000787,director@curtislibrary.com,director@curtislibrary.com,insights,A,Private funders for education organizations in Maine,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584813+00:00,
270069386,info@coastalfisheries.org,info@coastalfisheries.org,nonprofits,C,Foundation funding for Maine Center for Coastal Fisheries,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584863+00:00,
742182919,info@mckeefoundationco.com,info@mckeefoundationco.com,privatefunding,A,Private funders for health organizations in Colorado,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584914+00:00,
410858664,info@hhyd.org,info@hhyd.org,reports,C,Foundation funding for Hospitality House Youth Development,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.584996+00:00,
141918174,info@drumhealthyfamilies.org,info@drumhealthyfamilies.org,scout,A,Private funders for human services organizations in Maryland,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585049+00:00,
742726459,info@faycofoundation.com,info@faycofoundation.com,service,C,Foundation funding for Gardenia E Janssen Animal Shelter INC,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585107+00:00,
263739285,egemar@oaesv.org,egemar@oaesv.org,funding,C,Foundation funding for Ohio Alliance to End Sexual Violence,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585160+00:00,
451611066,debra@therepproject.com,debra@therepproject.com,grants,A,Private funders for civil rights organizations in California,Alec Kleinman <alec@grants.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585214+00:00,
822560581,info@nashvillefreedomschools.org,info@nashvillefreedomschools.org,insights,C,Foundation funding for Memphis Lift Parent Institute,Alec Kleinman <alec@insights.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585270+00:00,
272083749,information@hotelhope.org,information@hotelhope.org,nonprofits,A,Private funders for housing organizations in Louisiana,Alec Kleinman <alec@nonprofits.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585323+00:00,
133166308,info@HarlemStage.org,info@HarlemStage.org,privatefunding,C,Foundation funding for Harlem Stage INC,Alec Kleinman <alec@privatefunding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585375+00:00,
911275046,info@helpinghandhouse.org,info@helpinghandhouse.org,reports,A,Private funders for housing organizations in Washington,Alec Kleinman <alec@reports.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585428+00:00,
825091804,caleb@eke.golf,caleb@eke.golf,scout,C,Foundation funding for Golf Brevard INC,Alec Kleinman <alec@scout.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585508+00:00,
237102928,info@oifoundation.org,info@oifoundation.org,service,A,Private funders for philanthropy organizations in Missouri,Alec Kleinman <alec@service.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585544+00:00,
472155389,info@littleoaksacademy.org,info@littleoaksacademy.org,funding,C,Foundation funding for Little Oaks Academy,Alec Kleinman <alec@funding.thegrantscout.com>,dry_run,,2026-02-18T18:31:59.585576+00:00,
