ein,organization_name,contact_first_name,contact_email,state,ntee_code,mission_description,email_quality_tier,foundation_count,display_count,sector_label
920047999,PLAY N LEARN CENTER INC,Kelly,HResources@thrivalaska.com,AK,P33Z,"HELPING CHILDREN, FAMILIES, AND COMMUNITIES THRIVE BY PROVIDING HIGH QUALITY FAMILY-FOCUSED SERVICES THAT ADVOCATE FOR AND STRENGTHEN CHILDREN, FAMILIES, AND STAFF.",A,47,45,Human Services
920058208,SOUTHERN REGION EMERGENCY,Michael,webadmin@sremsc.org,AK,E63Z,"SREMSC IS A DEVOTED TEAM WORKING FOR ALL THE PEOPLE OF EMS, HELPING THEM PROVIDE THE BEST IN PATIENT CARE, INTEGRATING THEM INTO THE HEALTH CARE TEAM, AND ENSURING THEIR COMMITMENT AND VALUE ARE RECOGNIZED. WE PROMOTE GROWTH AND DEVELOPMENT OF COMMUNITY EMS. WE PROMOTE EXCELLENCE IN PATIENT CARE, QUALITY MANAGEMENT, INJURY PREVENTION, PROFESSIONALISM AND VALUE THE VOLUNTEER AND PAID PROVIDERS OF EMERGENCY CARE.",A,24,,Health
760825329,BLOOD N FIRE MINISTRY OF ALASKA,Matthew,bnfalaska@mtaonline.net,AK,X20,"PROVIDING A FOOD PANTRY, CLOTHING PANTRY, HOMELESS PREVENTION SERVICES, AND TRANSITIONAL HOUSING (KNIK HOUSE).",A,11,,Religion
920026479,ACCA INC,Janelle,acca@alaskacenter.org,AK,E50Z,"TO ASSIST IN IMPROVING THE LIVES OF PEOPLE WITH DISABILITIES AND THEIR FAMILIES BY PROVIDING QUALITY DIAGNOSTIC, THERAPEUTIC, EDUCATIONAL, AND REFERRAL SERVICES IN CONJUNCTION WITH OTHER COMMUNITY PROVIDERS WITHOUT REGARD TO THE ABILITY TO PAY.",A,24,,Health
920165056,SOUTHEAST ALASKA FOOD BANK,Christopher,sfpc@seafb.onmicrosoft.com,AK,K31,"The mission of the Southeast Alaska Food Bank is to provide nutritious food for those who are without, serving as a community bridge between those who want to help and those who are in need.",A,24,,Food/Agriculture
920132913,Anchorage Waldorf Education Association,Renee,ed@waldorfak.org,AK,B99Z,The organizations primary purpose is to provide a Waldorf based general education for kindergarden through 8th grade.,A,43,45,Education
822991440,SUNSHINE TRANSIT,Sean,sunshinetransit@yahoo.com,AK,P52,"TO PROVIDE INEXPENSIVE, RELIABLE TRANSPORTATION TO BREAK DOWN THE BARRIERS TO HEALTH CARE, WELLNESS, EDUCATION, AND EMPLOYMENT IN THE UPPER SUSITNA VALLEY.",A,47,45,Human Services
631260841,Victory Health Partners Inc,Robert,nps@victoryhealth.org,AL,E30,"Victory Health Partners, Inc. is a faith-based non-profit medical practice committed to removing healthcare barriers for low-income, uninsured adults in the Gulf Coast.",A,149,75,Health
270737535,ALABAMA ASSOCIATION FOR JUSTICE,Ginger,alaj@alabamajustice.org,AL,S41,"MAKE SURE ANY PERSON WHO IS INJURED BY THE MISCONDUCT AND NEGLIGENCE OF OTHERS CAN GET JUSTICE IN THE COURTROOM, EVEN WHEN TAKING ON THE MOST POWERFUL INTERESTS; TO ELIMINATE CIVIL JUSTICE RESTRICTIONS; TO ENSURE MEMBERS HAVE THE TOOLS NEEDED TO PROVIDE A LEVEL PLAYING FIELD THROUGH TIMELY, ETHICAL AND EDUCATIONAL PROGRAMS; TO STRENGTHEN THE CIVIL JUSTICE SYSTEM SO THAT DESERVING INDIVIDUALS CAN GET JUSTICE, AND WRONGDOERS CAN BE HELD ACCOUNTABLE; TO STRIVE FOR EQUALITY IN THE ONE ROOM WHERE INDIVIDUALS AND POWERFUL INTERESTS ARE HELD ACCOUNTABLE - THE AMERICAN COURTROOM.",A,66,65,Community Improvement
582005291,Mobile Area Education Foundation Inc,Carolyn,staylor@maef.net,AL,Z99Z,"Develop a coalition of citizens, public officials and other interested parties to formulate and implement plans for improving education in Mobile County.",A,30,30,Unknown
631035650,JAGUAR ATHLETIC FUND INC,Jimmy,njerdmann@southalabama.edu,AL,N41I,PROVIDE FINANCIAL SUPPORT FOR THE UNIVERSITY OF SOUTH ALABAMA'S ATHLETICS DEPARTMENT.,A,57,55,Recreation
721378980,THE EYESIGHT FOUNDATION OF ALABAMA INC,Barbara,ghadley@partnersmultimedia.com,AL,E122,"TO SERVE AS A CATALYST FOR IMPROVING EYESIGHT THROUGH EDUCATION, RESEARCH AND ACCESS TO CARE.",A,149,75,Health
631035850,LAKESIDE HOSPICE INC,Bill,shoneycutt@lakesidehospice.org,AL,P74Z,"LAKESIDE HOSPICE IS A FAITH-BASED, COMMUNITY-SUPPORTED PROGRAM, COMMITTED TO PROVIDING AND MAINTAINING THE HIGHEST QUALITY OF CARE AND IN PROVIDING CARE TO ANYONE WHO IS TERMINALLY ILL REGARDLESS OF THEIR ABILITY TO PAY. THE GOAL OF LAKESIDE HOSPICE IS THREEFOLD: (1) TO PROVIDE MEDICAL CARE TO ENABLE THE PATIENT TO REMAIN ALERT, COMFORTABLE AND CAPABLE OF PARTICIPATING IN LIFE AS FULLY AS POSSIBLE FOR AS LONG AS POSSIBLE, (2) TO PROVIDE THE PATIENT AND FAMILY WITH AS MUCH PSYCHOLOGICAL, EMOTIONAL, SOCIAL AND SPIRITUAL SUPPORT AS THEY MAY DESIRE OR NEED, AND (3) TO MAINTAIN COMMUNITY INVOLVEMENT AND AWARENESS.",A,217,75,Human Services
630713052,CARE HUMANE SOCIETY,Karen,care1140@carehumane.org,AL,D200,"TO PROVIDE CARE OF STRAY ANIMALS FOR THE CITIES OF AUBURN AND OPELIKA AL. THIS SERVICE INCLUDES SHELTER, MEDICATIONS AND VET CARE UNTIL ANIMALS ARE ADOPTED.",A,96,75,Animal-Related
630894761,JEFFERSON COUNTY LIBRARY,Lindsy,eswift@bham.lib.al.us,AL,B71B,COORDINATE AND / OR PROVIDE SERVICES FOR MEMBER LIBRARIES TO IMPROVE LIBRARY ACCESS AND SERVICES THROUGHOUT JEFFERSON COUNTY,A,349,75,Education
134362029,Vineyard Family Services of Central Alabama Inc,Ward,VFSGeneral@vfsdads.com,AL,P46,"The Organization was established with children in mind. Through its programs, it feeds children in need, promotes responsible fatherhood, and helps families in crisis.",A,217,75,Human Services
851830208,SOAR AFTER SCHOOL PROGRAM,Heather,ben@soarafterschool.com,AR,O50,"FILLING THE GAP BETWEEN THE SCHOOL DAY AND WORK DAY. SOAR PROVIDES A SAFE AND AFFORDABLE PLACE FOR KIDS TO LEAN, BUILD HEALTHY RELATIONSHIPS WITH PEERS AND ADULTS, AND PRACTICE PUBLIC SPEAKING AND LEADERSHIP SKILLS THEY WILL NEED FOR FUTURE SUCCESS.",A,51,50,Youth Development
710309373,GIRL SCOUTS - DIAMONDS OF ARKANSAS,Dawn,retail@girlscoutsdiamonds.org,AR,Z99,"TO BUILD GIRLS OF COURAGE, CONFIDENCE, AND CHARACTER WHO MAKE THE WORLD A BETTER PLACE. THE COUNCIL STRIVES TO PROVIDE A VARIETY OF GIRL SCOUT PROGRAMS AND EXCITING OPPORTUNITIES THROUGHOUT THE AREA IT SERVES IN ORDER TO ACCOMPLISH THIS MISSION.",A,10,,Unknown
237416304,UNIVERSAL HOUSING DEVELOPMENT CORP,Beverly,ewilson@uhdc.net,AR,L21Z,AFFORDABLE HOUSING ASSISTANCE,A,33,35,Housing
710492205,ARKANSAS ADVOCATES FOR CHILDREN,Rich,connect@aradvocates.org,AR,P010,"ADVOCATING FOR THE DEVELOPMENT AND IMPLEMENTATION OF DATA-DRIVEN PUBLIC POLICY THAT IMPROVES CHILD WELL-BEING IN ARKANSAS, WITH A FOCUS ON ECONOMIC SECURITY, EDUCATION, HEALTH, EARLY CHILDHOOD, CHILD WELFARE, JUVENILE JUSTICE, AND RACIAL EQUITY.",A,117,75,Human Services
710559008,HENDERSON STATE UNIVERSITY FOUNDATION,Bobbie,hsuinfo@hsu.edu,AR,B99,"THE FOUNDATION'S PURPOSE IS TO RECEIVE, SOLICIT, ACCEPT AND HOLD, ADMINISTER, INVEST AND DISBURSE PROPERTY AND FUNDS FOR THE EDUCATIONAL MISSION OF HENDERSON STATE UNIVERSITY. THE FOUNDATION PROVIDES HSU WITH RESOURCES NOT PROVIDED BY PUBLIC FUNDS.",A,166,75,Education
710621263,NORTHEAST ARKANSAS HUMANE SOCIETY INC,Beth,administrator@neahs.org,AR,D200,EDUCATION OF THE PUBLIC REGARDING PROPER ANIMAL CARE. HOUSING AND ADOPTION ARRANGEMENTS FOR THOUSANDS OF NEGLECTED OR ABUSED ANIMALS. EDUCATION OF THE PUBLIC REGARDING THE NEED TO SPAY AND NEUTER PETS. PROVIDE LOW COST SPAY AND NEUTER SERVICES FOR LOW INCOME FAMILIES.,A,49,50,Animal-Related
710536689,DISABILITY RIGHTS ARKANSAS INC,Tom,Info@DisabilityRightsAr.org,AR,R23Z,TO VIGOROUSLY ADVOCATE FOR AND ENFORCE THE LEGAL RIGHTS OF PEOPLE WITH DISABILITIES IN ARKANSAS.,A,10,,Civil Rights
275069797,Antioch Consolidated Association for,Charolette,dave@lab6.com,AR,P20,"Food distributions to those in need, adequate food maintenance to those in need, and youth development.",A,117,75,Human Services
860669456,WIYN CONSORTIUM INC,Jayadev,wiyn-contact@noirlab.edu,AZ,U31C,TO ADVANCE ASTRONOMICAL RESEARCH AND EDUCATION BY CONSTRUCTING AND OPERATING THE WIYN OBSERVATORY FOR THE PURPOSE OF ALLOWING THE SCIENTISTS OF THE MEMBER PARTIES TO OBTAIN OBSERVING TIME.,A,13,,Science
202581623,PAPPAS KIDS SCHOOLHOUSE FOUNDATION INC,Al,Daynas@pappaskidssf.org,AZ,B82,EDUCATIONAL ASSISTANCE ASSIST WITH THE EDUCATIONAL NEEDS OF CHILDREN FROM HOMELESS FAMILIES.ALSO PROVIDES SCHOLARSHIPS TO CHILDREN OF HOMELESS PARENTS,A,489,75,Education
860714588,Esperanza En Escalante Inc,Phyllis,prussell@eeeveterans.org,AZ,L99Z,"To provide the facilities, program and respect to veterans and veteran families that will nurture and support the transition from homelessness to self-sufficiency. This unique 24 month program is envisioned as a bridge from homelessness to employment and/or independent living.",A,108,75,Housing
860204268,TUCSON HOSPITALS MEDICAL EDUCATION PROG,Robert,jennifer.sammons@tmcaz.com,AZ,E60,THMEP ADMINISTERS A GRADUATE PROGRAM FOR RESIDENTS. MEMBER HOSPITALS PARTICIPATE IN THE PROGRAM AND SHARE THE COST OF OPERATION WHICH SUPPORTS THE EXEMPT PURPOSE OF THE PROGRAM OF PROVIDING ENHANCED MEDICAL EDUCATION. THMEP ALSO PROVIDES EDUCATIONAL CONFERENCES TO COMMUNITY PHYSICIANS.,A,308,75,Health
710890534,FAMILY INVOLVEMENT CENTER INC,Jane,erin@familyinvolvementcenter.org,AZ,P40,SEE SCHEDULE O,A,356,75,Human Services
860477969,PHOENIX PERFORMING ARTS CENTER INC,Laurene,boxoffice@herbergertheater.org,AZ,A610,"WE ARE ARIZONA'S CENTER STAGE, ENGAGING THE COMMUNITY THROUGH DIVERSE EXPERIENCES THAT IGNITE EMOTION, STIMULATE CONVERSATION, AND INSPIRE CONNECTIONS WITH THE ARTS.",A,219,75,Arts & Culture
752990833,MONTESSORI ACADEMY INC,Julianne,office.manager@azma.academy,AZ,B29,CHARTER SCHOOL,A,489,75,Education
860351566,NORTHLAND FAMILY HELP CENTER,Shaleen,nfhc@northlandfamily.org,AZ,I72Z,"TO PROVIDE A SAFE HAVEN, EDUCATION, ADVOCACY, AND COUNSELING TO PROMOTE AND RESTORE HEALTHY RELATIONSHIPS",A,90,75,Crime/Legal
204921369,FLAGSTAFF SHELTER SERVICES INC,Anne,hello@flagshelter.org,AZ,L41,Flagstaff Shelter Services saves and changes the lives of homeless individuals by offering them shelter and pathways into lives of dignity that benefit the community.,A,108,75,Housing
860211414,COCHISE COLLEGE FOUNDATION,Denise,advising@cochise.edu,AZ,B41,"THE COCHISE COLLEGE FOUNDATION PROMOTES STUDENT SUCCESS THROUGH SCHOLARSHIPS, FACILITIES DEVELOPMENT, AND PROGRAM SUPPORT. FOR THE FISCAL YEAR ENDING 6/30/2024 THERE WERE 976 SCHOLARSHIP AND 1 PROGRAM SUPPORT RECIPIENTS RECEIVING A TOTAL OF $9,807,169.",A,489,75,Education
742385187,NORTHLAND HOSPICE,Katherine,lgracia@northlandhospice.org,AZ,P74Z,"WE ARE A TEAM OF PROFESSIONALS STRIVING TO PREPARE OUR PATIENTS AND FAMILIES FOR THE END OF LIFE EXPERIENCE. WE SUPPORT THE PATIENT, FAMILY, AND FRIENDS IN FACING CHALLENGES OF A LIFE LIMITING ILLNESS BY OFFERING PHYSICAL, EMOTIONAL, AND SPIRITUAL SUPPORT AND COMFORT.",A,356,75,Human Services
237276252,HUMANE SOCIETY OF SEDONA INC,Jennifer,anorton@humanesocietyofsedona.org,AZ,D200,"The Organizations mission is to care for and shelter, as well as to provide placement services for, lost and/or abandoned small animals in the Sedona, Arizona area. The Organization also provides a spay/neuter program to control pet overpopulation.",A,255,75,Animal-Related
473027793,ARIZONA PRIVATE SCHOOL TUITION,Michael,Info@APSTO.org,AZ,B82,PROVIDE SCHOLARSHIPS FOR K-12 TO ATTEND PRIVATE SCHOOLS.,A,489,75,Education
953560037,THE MILTON H ERICKSON FOUNDATION INC,Jeffrey,support@erickson-foundation.org,AZ,F800,"THE ORGANIZATION IS DEDICATED TO PROMOTING AND ADVANCING THE CONTRIBUTIONS MADE TO THE HEALTH SCIENCES BY THE LATE MILTON H. ERICKSON, M.D., THROUGH TRAINING MENTAL HEALTH AND HEALTH PROFESSIONALS WORLD-WIDE THROUGH SEMINARS AND MAINTAINING AN ARCHIVE.",A,77,75,Mental Health
860483792,RONALD MCDONALD HOUSE CHARITIES OF,Kerry,Photo-BlogPH-4@2x-rak106hb8l8orky0nnjcqngwhic6nk5l61cze7oz3s.webp,AZ,P20Z,MAINTAINING AND OPERATING ONE OR MORE FACILITIES IN THE VALLEY TO PROVIDE TEMPORARY HOUSING FOR SERIOUSLY ILL CHILDREN AND THEIR FAMILIES WHILE THE CHILDREN ARE RECEIVING TREATMENT AT A NEARBY HOSPITAL.,A,356,75,Human Services
