rank,ein,foundation_name,city,total_giving,grant_count,median_grant,largest_grant,assets,accepts_applications,most_recent_year
1,880629266,The Ann & Gordon Getty Foundation,San Francisco,152390000,28,1500000,28400000,29787,False,2024
2,943165171,Tosa Foundation,Portola Valley,88414340,52,10000,25003646,481360708,False,2023
3,200478828,Valhalla Foundation,Woodside,73332058,76,405000,8333333,602326886,False,2023
4,943377099,Crankstart Foundation,San Jose,62014000,167,50000,12300000,3909004192,False,2023
5,941655673,The William & Flora Hewlett Foundation,Menlo Park,61753318,234,200000,3000000,13332174215,True,2023
6,474422640,XQ Institute,Oakland,53270009,49,500000,7000000,4904857,False,2023
7,943397785,Gordon E and Betty I Moore Foundation,Palo Alto,51430929,123,50000,8904426,8766258805,False,2023
8,943374170,Charles and Helen Schwab Foundation,San Francisco,45342052,111,250000,4000000,531977043,False,2023
9,943347800,Salesforce Foundation,San Francisco,42895000,33,745000,6500000,395528825,False,2023
10,943402266,The Leonard & Sophie Davis Fund,San Francisco,40637020,259,50000,3560000,194971782,False,2023
11,941624987,Koret Foundation,San Francisco,38375159,160,50000,2000000,315527122,True,2024
12,260799587,The Heising-Simons Foundation,Los Altos,32998194,124,152500,1550000,872096521,False,2023
13,770348912,The Sobrato Family Foundation,Mountain View,30368750,163,100000,3200000,876730998,True,2023
14,942278431,The David and Lucile Packard Foundation,Los Altos,29892011,118,180000,1107000,8324855767,True,2022
15,943340371,Priem Family Foundation,Burlingame,28920743,10,130076,17528500,142268350,False,2022
16,680397103,Stupski Foundation,San Francisco,25733500,93,100000,4000000,223687249,False,2023
17,463460261,The Eric and Wendy Schmidt Fund for Strategic Innovation,Palo Alto,25082030,70,30000,11035000,1402995349,False,2023
18,455002209,Chan Zuckerberg Initiative Foundation,Palo Alto,22144853,28,500000,2211219,6319675100,False,2023
19,201063909,Enlight Foundation,Palo Alto,20588602,19,412000,5000000,247700568,False,2023
20,237425637,The Walt and Lilly Disney Foundation,San Francisco,19302775,8,100000,9458450,153244358,False,2023
21,946068932,Evelyn and Walter Haas Jr Fund,San Francisco,17865650,82,88500,2404500,469121844,False,2023
22,770527966,Caldwell Fisher Family Foundation,Menlo Park,17863000,26,25000,12350000,26629781,False,2023
23,270429976,RJM Foundation,San Francisco,17575000,11,1000000,10000000,65798733,False,2024
24,946062858,The Carl Gellert and Celia Berta Gellert Foundation,San Francisco,15700000,12,262500,4750000,0,True,2023
25,943352261,AAM Foundation,Novato,15559965,2,7779982,9009965,55886268,False,2023
26,461008520,Good Ventures Foundation,Palo Alto,15449967,199,37000,3908161,5863998880,False,2022
27,943055731,Amar Foundation,San Jose,14504600,5,450000,8300000,11285368,False,2023
28,208766740,The O'Donnell Foundation,Palo Alto,13945000,15,800000,5500000,0,False,2023
29,953203014,Wayne and Gladys Valley Foundation,Oakland,13350001,15,100000,7333334,254892895,True,2023
30,873273549,Imaginable Futures Foundation,Redwood City,12749333,29,250000,1500000,55455566,False,2023
31,942618667,College Futures Foundation,Oakland,12531667,58,163834,1050000,536160774,False,2022
