rank,ein,foundation_name,city,total_giving,grant_count,median_grant,largest_grant,assets,accepts_applications,most_recent_year
1,161448017,M&T Charitable Foundation,Buffalo,89047056,2,44523528,48037488,182221917,True,2024
2,273655593,S&P Global Foundation,New York,20271427,8,668022,9434120,194352381,False,2024
3,830590263,Mother Cabrini Health Foundation,New York,19555341,80,192500,1100000,3696313328,True,2023
4,137184401,The Leona M. and Harry B. Helmsley Charitable Trust,New York,6866407,8,633144,2384174,7300077622,False,2023
5,823691183,Doris Duke Charitable Foundation,New York,6039298,22,247500,700000,2180074293,True,2023
6,136125699,Van Ameringen Foundation,New York,5690000,72,75000,200000,75596358,True,2023
7,131684331,The Ford Foundation,New York,4705733,16,112500,1700000,16791366964,True,2023
8,136123529,American Express Foundation,New York,3900000,8,500000,750000,71012960,True,2023
9,133505439,The Werdiger Family Foundation,New York,3361859,1,3361859,3361859,22022187,True,2023
10,900747216,The JPB Foundation,New York,3300000,3,750000,1900000,2750408293,False,2023
11,136128447,Avon Products Foundation,Suffern,2663502,1,2663502,2663502,0,False,2023
12,136149578,Howard Karagheusian Commemorative,New York,2457768,4,404300,1640843,30244128,False,2023
13,133636372,Manton Foundation,New York,2161287,1,2161287,2161287,660409806,False,2023
14,136147952,Endeavor Foundation,New York,1698868,1,1698868,1698868,407795647,True,2023
15,131628151,Carnegie Corporation of New York,New York,1617000,3,350000,1100000,4536407530,True,2023
16,300127892,New York State Health Foundation,New York,1427171,21,64000,184000,360607673,True,2024
17,133180806,The Selz Foundation,New York,1380000,12,6000,750000,129738163,False,2023
18,131623879,Altman Foundation,New York,1030000,13,75000,150000,283326707,True,2023
19,131635260,The Commonwealth Fund,New York,1020333,19,40000,159600,875566732,True,2023
20,453845576,Patrick P Lee Foundation,Williamsville,836953,16,40897,186235,41778087,True,2023
21,222773769,Van Beuren Charitable Foundation,New York,688007,7,100000,199888,343313671,False,2023
22,453826353,Mjs Foundation,New York,666666,2,333333,333333,73921189,False,2024
23,133732439,The Klingenstein Third Generation Foundation,New York,600000,7,100000,100000,8683022,False,2023
24,223016226,Carl E Touhey Foundation,Albany,596000,3,196000,250000,39632227,False,2023
25,131624021,William T Grant Foundation,New York,554529,6,61111,311177,403141185,True,2023
