Org,Priority,Date Contacted,Phone,Contact,Title,Email,State,Timezone,Dependents,EIN,Rating,Website,About
Prostate Cancer Foundation,,,310-570-4700,Charles Ryan MD,CEO & President,,CA,Pacific,,954418411,,https://www.pcf.org,The prostate cancer foundation (pcf) is a global biomedical research funding foundation committed to ending death and suffering from prostate cancer.
Team Rubicon INC,,,310-640-8787,Arthur Delacruz,President/Chief Operating Officer,,CA,Pacific,,271720480,,https://www.teamrubiconusa.org,"Team rubicon serves communities by mobilizing veterans to continue their service, leveraging their skills and experience to help people prepare, respond, and recover from disasters and humanitarian crises."
Sierra Club,,,415-977-5500,Loren Blackford,Interim Executive Director,,CA,Pacific,,941153307,,https://www.sierraclub.org,SEE SCHEDULE O.
Challenged Athletes INC,,,858-866-0959,Kristine Entwistle,Chief Executive Director,,CA,Pacific,,330739596,,https://www.challengedathletes.org,It is the mission of the challenged athletes foundation to provide opportunities and support to people with physical disabilities so they can pursue active lifestyles through physical fitness and competitive athletics.the challenged athletes foundation believes that involvement in sports at any...
Semper Fi & America's Fund,,,760-725-3680,Karen Guenther,President & Founder,,CA,Pacific,,260086305,,https://www.thefund.org,"The fund cares for our nation's critically wounded, ill, and injured service members, veterans and military families. We assist all military branches, including both post-9/11 and vietnam veterans, providing one-on-one case management, connection and lifetime support."
Orange County Rescue Mission Inc,,,714-247-4300,Mr Jim Palmer,President,,CA,Pacific,,952479552,,https://www.rescuemission.org,"To minister the love of Jesus Christ to the Least, the Last, and the Lost of our Community through the provision of assistance in the areas of guidance, counseling, education, job training, shelter, food, clothing, health care and independent living communities."
Lifemoves,,,650-685-5880,Aubrey Merriman,CEO,,CA,Pacific,,770160469,,https://lifemoves.org,Lifemoves provides interim housing and supportive services for homeless families and individuals to rapidly return to stable housing and achieve long-term self-sufficiency.
Biola University Inc,,,562-903-6000,Barry Corey,President,,CA,Pacific,,950549600,,https://www.biola.edu,"Biola University is a private Christian university located in Southern California. For over 114 years, Biola has stood out as an institution grounded on biblically centered education, intentional spiritual development, and career preparation, where all faculty, staff and students are professing..."
From The Heart Productions,,,805-984-0098,Carole Dean,President,,CA,Pacific,,954445418,,https://fromtheheartproductions.com,"From the heart productions, inc. Is a non-profit organization dedicated to funding films that are unique and make a contribution to society."
Angel Flight West INC,,,310-390-2958,Joshua Olson,Executive Director,,CA,Pacific,,953956297,,https://www.angelflightwest.org,"Founded in 1983, angel flight west (afw) arranges free air transportation in response to health care and other compelling human needs. Afw links volunteer pilots in private aircraft with people in need whose health care and other circumstances require them to travel to and from facilities..."
Armenia Fund INC,,,818-243-6222,Maria Mehranian,President,,CA,Pacific,,954485698,,https://www.armeniafund.org,Support the people of armenia.
The Ronald Reagan Presidential,,,805-522-2977,John D Heubusch,Executive Director,,CA,Pacific,,770054631,,https://www.reaganfoundation.org,"The ronald reagan presidential foundation and institute is the sole nonprofit organization created by president reagan charged with advancing his legacy and principles: individual liberty, economic opportunity, freedom and democracy, peace through strength, and national pride."
Santa Barbara Museum of Natural History,,,805-682-4711,Luke Swetland,President & CEO,,CA,Pacific,,951643378,,https://sbnature.org,The following three guiding principles are the foundation for all of the santa barbara museum of natural history's activities: inspiring an awe for nature and a thirst for discovery; promoting sustainability; and connecting our communities. Through these principles we strive to foster a community...
Public Counsel,,,213-385-2977,Margaret M Morrow,President & CEO,,CA,Pacific,,237105149,,https://www.publiccounsel.org,"Public counsel is a nonprofit public interest law firm dedicated to advancing civil rights and racial and economic justice, as well as to amplifying the power of our clients through comprehensive legal advocacy. (see sch o for continuation)founded on and strengthened by a pro bono legal service..."
St Francis Center,,,213-747-5347,Jasmine Bravo,Executive Director,,CA,Pacific,,954479271,,https://www.sfcla.org,For the performance of charitable acts and service to the less fortunate.
Habitat for Humanity of Orange County,,,714-434-6200,Monique Davis,CEO,,CA,Pacific,,330311059,,https://www.habitatoc.org,Habitat for humanity's mission is to give witness to the christian gospel by working with god's people to build decent habitats for those who are inadequately sheltered in orange county.
Rancho Coastal Humane Society,,,760-753-6413,Judi Sanzo,President & CEO,,CA,Pacific,,952151583,,https://www.rchumanesociety.org,See schedule orancho coastal is dedicated to the rescue and shelter of abandoned companion animals. It encourages adoptions into loving homes and provides educational and community outreach programs designed to enhance the human-animal bond.
Interfaith Community Services Inc,,,760-294-6356,Greg Anglea,CEO,,CA,Pacific,,953837714,,https://www.interfaithservices.org,Interfaith Community Services empowers people in need to stabilize and improve their lives through comprehensive programs in partnership with diverse faith communities and people of compassion.
Santa Barbara Maritime Museum,,,805-962-5296,Greg Gorga,Executive Direc,,CA,Pacific,,770392953,,https://sbmm.org,Creating quality exhibits and educational experiences that celebrate the Santa Barbara Channel and illuminate our rich connections with the sea.
Sempervirens Fund,,,650-949-1453,Sara Barth,Executive Director,,CA,Pacific,,942155097,,https://www.sempervirens.org,"To protect and permanently preserve redwood forests (sequoia sempervirens), wildlife habitats, watersheds, and other important natural and scenic features of california's santa cruz mountains, and to encourage public appreciation and enjoyment of this environment."
Juma Ventures INC,,,415-371-0727,Adriane Armstrong,CEO,,CA,Pacific,,943203203,,https://www.juma.org,"Juma is a nonprofit, youth development organization that empowers low-income youth to make successful transitions to independence in adulthood. Juma owns and operates social enterprise concessions businesses at major sports and entertainment venues to provide meaningful employment and workforce..."
Shelter to Soldier INC,,,619-238-4343,Graham D Bloem,President/Di,,CA,Pacific,,460906020,,https://www.sheltertosoldier.org,"Shelter to soldier, inc. Was formed for the purpose of providing specially trained dogs to u.s."
Ocean Institute,,,949-496-2274,Wendy Marshall,President And CEO,,CA,Pacific,,330203488,,https://www.oceaninstitute.org,"The ocean institute's mission is ""using the ocean as our classroom, we inspire children to learn"". Our organization is dedicated to providing ocean and maritime history learning experiences through high-touch real-world programs."
