related_to_beta_via,foundation_name,foundation_ein,person_name,title,year,source
854241768,ADAM R SCRIPPS FOUNDATION,854241768,MIRAMAR FIDUCIARY CORPORATION,TRUSTEE,2022,F990 Officers
854241768,ADAM R SCRIPPS FOUNDATION,854241768,MIRAMAR FIDUCIARY CORPORATION,TRUSTEE,2021,F990 Officers
854241768,ADAM R SCRIPPS FOUNDATION,854241768,MIRAMAR FIDUCIARY CORPORATION,TRUSTEE,2020,F990 Officers
392066890,DOUGLAS AND SUSAN PRESENT FAMILY,392066890,DOUGLAS PRESENT,PRES/TRUSTEE,2021,F990 Officers
392066890,DOUGLAS AND SUSAN PRESENT FAMILY,392066890,DOUGLAS PRESENT,PRES/TRUSTEE,2020,F990 Officers
581586283,DUKE ENERGY FOUNDATION,581586283,AMY STRECKER,PRESIDENT,2023,F990 Officers
581586283,DUKE ENERGY FOUNDATION,581586283,AMY STRECKER,PRESIDENT,2022,F990 Officers
581586283,DUKE ENERGY FOUNDATION,581586283,KATHERINE NEEBE,PRESIDENT,2020,F990 Officers
274175885,GREEN MOUNTAIN FOUNDATION,274175885,KE WU,SECRETARY,2023,F990 Officers
274175885,GREEN MOUNTAIN FOUNDATION,274175885,KE WU,SECRETARY,2022,F990 Officers
274175885,GREEN MOUNTAIN FOUNDATION,274175885,KE WU,SECRETARY,2020,F990 Officers
274175885,GREEN MOUNTAIN FOUNDATION,274175885,KE WU,SECRETARY,2019,F990 Officers
274175885,GREEN MOUNTAIN FOUNDATION,274175885,KE WU,SECRETARY,2018,F990 Officers
061606588,NEWMAN'S OWN FOUNDATION,061606588,ALEXANDRA AMOUYEL,PRESIDENT / CEO (AS OF 4/23),2023,F990 Officers
061606588,NEWMAN'S OWN FOUNDATION,061606588,BRIAN MURPHY,VP / TREASURER / DIRECTOR,2022,F990 Officers
061606588,NEWMAN'S OWN FOUNDATION,061606588,BRIAN MURPHY,VP / TREASURER / DIRECTOR,2020,F990 Officers
061606588,NEWMAN'S OWN FOUNDATION,061606588,ROBERT H FORRESTER,PRESIDENT / CEO (JAN-MAY),2019,F990 Officers
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,JOAN LARKIN,PRESIDENT,2024,F990 Officers
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,JOAN LARKIN,DIRECTOR/PRESIDENT,2023,F990 Officers
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,JOAN LARKIN,DIRECTOR/PRESIDENT,2022,F990 Officers
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,JOAN LARKIN,DIRECTOR/PRESIDENT,2021,F990 Officers
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,JOAN LARKIN,DIRECTOR/PRESIDENT,2020,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2024,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2023,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2022,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2020,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2019,F990 Officers
383668101,The Darrell Harvey Family Foundation Inc,383668101,Darrell Harvey,"Pres, Dir, Sec",2018,F990 Officers
136161746,The Hearst Foundation,136161746,Virginia H Randt,President Director,2023,F990 Officers
136161746,The Hearst Foundation,136161746,Virginia H Randt,President Director,2022,F990 Officers
136161746,The Hearst Foundation,136161746,Virginia H Randt,President Director,2020,F990 Officers
270961125,The Heineman-Russell Family Foundation,270961125,Benjamin W Heineman,Trustee,2022,F990 Officers
270961125,The Heineman-Russell Family Foundation,270961125,Benjamin W Heineman,Trustee,2021,F990 Officers
270961125,The Heineman-Russell Family Foundation,270961125,Benjamin W Heineman,Trustee,2020,F990 Officers
