beta_client,beta_client_ein,funder_name,funder_ein,funder_state,grant_amount,grant_year,grant_purpose,funder_website,funder_contact,source
Arborbrook Christian Academy,202707577,THE LINDSAY FAMILY FOUNDATION,912172214,WA,3000.00,2023,FOR ASSISTANCE INTHE CHARITY'S GENERALCHARITABLE ACTIVITIES.,N/A,,F990
Arborbrook Christian Academy,202707577,THE LINDSAY FAMILY FOUNDATION,912172214,WA,3000.00,2022,FOR ASSISTANCE INTHE CHARITY'S GENERALCHARITABLE ACTIVITIES.,N/A,,F990
ARBORBROOK CHRISTIAN ACADEMY,202707577,DUKE ENERGY FOUNDATION,581586283,NC,50.00,2022,EMPLOYEE MATCHING GIFT DONATION,WWW.DUKE-ENERGY.COM/FOUNDATION,,F990
FRIENDSHIP CIRCLE SD INC,203472700,THE PFIZER FOUNDATION INC,136083839,NY,20.00,2022,MATCHING GIFTS,WWW.PFIZER.COM,,F990
Horizons National Student Enrichment Program,061468129,The Hearst Foundation,136161746,NY,100000.00,2022,Support of general operations,hearstfdn.org,support.nyhearstfdn.org,F990
Horizons National Student Enrichment Program Inc,061468129,Adam R Scripps Foundation,854241768,KY,10000.00,2023,General Operations,N/A,,F990
Horizons National Student Enrichment Program Inc,061468129,The Heineman-Russell Family Foundation,270961125,CT,25000.00,2022,General Support,N/A,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,The Darrell Harvey Family Foundation Inc,383668101,DE,500.00,2024,General & Unrestricted,,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE SMART FAMILY FUND,812297831,IL,100000.00,2023,HORIZONS NATIONAL FUNDING REQUEST 2023,N/A,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,KY,50000.00,2023,SUPPORTING EXPANSION PROGRAM AND STAFFING,HTTPS://SFFEA.ORG/,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE KITE KEY FOUNDATION,061518993,CA,25000.00,2023,GENERAL OPERATING SUPPORT,N/A,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,IL,2000.00,2023,GENERAL CHARITABLE PURPOSE,HTTP://WWW.SEYFARTH.COM/,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,The Darrell Harvey Family Foundation Inc,383668101,DE,500.00,2023,General & Unrestricted,,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE PRESENT FAMILY FOUNDATION INC,392066890,NJ,250.00,2023,UNRESTRICTED,N/A,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE SMART FAMILY FUND,812297831,IL,200000.00,2022,HORIZONS NATIONAL SUPPORT 2022,N/A,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,KY,100000.00,2022,SUPPORT FOR THE ALBERTA MAGNUS AFFILIATE,HTTPS://SFFEA.ORG/,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,NEWMAN'S OWN FOUNDATION,061606588,CT,10000.00,2022,GENERAL OPERATIONS,WWW.NEWMANSOWN.ORG,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,201076114,IL,3000.00,2022,GENERAL CHARITABLE PURPOSE,HTTP://WWW.SEYFARTH.COM/,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,The Darrell Harvey Family Foundation Inc,383668101,DE,500.00,2022,General & Unrestricted,,,F990
HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,061468129,THE WILLIAM PENN FOUNDATION,231503488,PA,210.00,2022,GENERAL SUPPORT,WILLIAMPENNFOUNDATION.ORG,,F990
PATIENT SAFETY MOVEMENT FOUNDATION,462730379,THE NIMA TAGHAVI FOUNDATION,203959759,CA,50000.00,2021,FOSTERING GLOBAL CONNECTIONS TO DAVANCE PATIENT SAFETY.,N/A,,F990
SENIOR NETWORK SERVICES,942259716,GREEN MOUNTAIN FOUNDATION,274175885,CA,500.00,2023,DONATION,N/A,,F990
SENIOR NETWORK SERVICES,942259716,GREEN MOUNTAIN FOUNDATION,274175885,CA,500.00,2022,DONATION,N/A,,F990
