beta_client,partner_name,partner_type,relationship_description,website,contact_info,source
Horizons National,Charity Navigator,Accreditation,4-star rating recipient,,horizonsnational.org,Website
Horizons National,GuideStar,Accreditation,Listed nonprofit profile,,horizonsnational.org,Website
Horizons National,Good Nation,Network,Nonprofit partner,,horizonsnational.org,Website
Patient Safety Movement Foundation,Joe Kiani,Founder,Founder of PSMF who established organization in 2012,,psmf.org,Web Search
Patient Safety Movement Foundation,NHS England,Partner,Dr. Mike Durkin served as national director of patient safety 2012-2017,,psmf.org,Web Search
Patient Safety Movement Foundation,Imperial College London,Academic Partner,NIHR Patient Safety Translational Research Centre,,psmf.org,Web Search
Ka Ulukoa,USA Volleyball,Membership,Proud member organization,,kaulukoa.org,Website
Ka Ulukoa,AAU Volleyball,Membership,Proud member organization,,kaulukoa.org,Website
Ka Ulukoa,JOVA Volleyball,Membership,Proud member organization,,kaulukoa.org,Website
Arborbrook Christian Academy,Cognia,Accreditation,Accrediting organization,,arborbrook.org,Website
Arborbrook Christian Academy,ChildLight Schools,Network,Network affiliation,,arborbrook.org,Website
Arborbrook Christian Academy,NACCAP,Membership,Professional association,,arborbrook.org,Website
Friendship Circle SD,Jewish Federation of San Diego,Funder/Partner,Community partner listed on Jewish Federation directory,jewishinsandiego.org,,Web Search
Friendship Circle SD,Walmart,Funder,Listed in questionnaire as known funder,,,Questionnaire
Retirement Housing Foundation,HUD,Partner,Housing and Urban Development partnership for affordable housing,rhf.org,,Web Search
Senior Network Services,Santa Cruz County,Government Partner,County-level service coordination,seniornetworkservices.org,,Web Search
Senior Network Services,California Department of Aging,Government Partner,State agency coordination,aging.ca.gov,,Web Search
