beta_client_ein,shared_funder,peer_org_name,peer_org_ein,peer_org_state,sector_hint,grant_amount,outreach_angle,source
061468129,THE KITE KEY FOUNDATION,CITY AND COUNTRY SCHOOL,135562983,NY,CHARITABLE,180000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,CITY AND COUNTRY SCHOOL INC,135562983,NY,GENERAL OPERATING SUPPORT,150000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,MAYO CLINIC,300107471,MN,CHARITABLE,100000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,REPRESENT US EDUCATION FUND,263088283,MA,GENERAL OPERATING SUPPORT,25000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,FRIENDS OF THE HIGH LINE,311734086,NY,CHARITABLE,25000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,HORIZONS NEW YORK CITY INC,851000631,NY,GENERAL OPERATING SUPPORT,25000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,FEEL GOOD ACTION,862882732,WA,GENERAL OPERATING SUPPORT,25000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,FRIENDS OF THE HIGH LINE INC,311734086,NY,GENERAL OPERATING SUPPORT,25000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,WORLD CENTRAL KITCHEN,273521132,DC,CHARITABLE,20000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,THE KITE KEY FOUNDATION,FEEDING AMERICA,363673599,IL,GENERAL OPERATING SUPPORT,20000.00,Shared funder: THE KITE KEY FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,SERIOUS FUN CHILDRENS NETWORK INC,311794455,CT,"CAMPERSHIPS, THOUGHT LEADERSHIP FOR ADVOCACY, GENERAL OPERATIONS & SFCN SUPPORT",4800000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,SERIOUS FUN CHILDRENS NETWORK INC,311794455,CT,"GENERAL OPERATIONS, SFCN SUPPORT CENTER & UNDERWRITE 2024 EVENT",4655000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,FOODCORPS INC,273990987,OR,CONNECTING ALL CHILDREN TO NUTRITIOUS FOOD IN SCHOOLS,3000000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,ROCKEFELLER PHILANTHROPY ADVISORS,133615533,NY,DONOR ADVISED FUND,600000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,SAFE WATER NETWORK,510570455,NY,"DIGITAL PLATFORM INTEGRATION, KNOWLEDGE RESOURCE CENTER & OVERHEAD TANKS & GENERAL OPERATIONS",420000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,ROCKEFELLER PHILANTHROPY ADVISORS,133615533,NY,DONOR ADVISED FUND,400000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,FOOD RESEARCH & ACTION CENTER INC,237200739,DC,ADVANCING HEALTHY SCHOOL MEALS FOR ALL,225000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,FOOD RESEARCH & ACTION CENTER INC,237200739,DC,ADVANCING HEALTHY SCHOOL MEALS FOR ALL,225000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,SHINING HOPE FOR COMMUNITIES INC,271493201,NY,FUTURE EDUCATION LOAN FUND,200000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
061468129,NEWMAN'S OWN FOUNDATION,SAFE WATER NETWORK,510570455,NY,GENERAL OPERATIONS,180000.00,Shared funder: NEWMAN'S OWN FOUNDATION,F990
203472700,THE PFIZER FOUNDATION INC,THE CARTER CENTER,581454716,GA,LEGACY CONTRIBUTION,5000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,UKRAINE HOUSE DC FOUNDATION INC,872080907,DC,UKRAINE CIRSIS HUMANITARIAN RESPONSE,5000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
