ein,organization_name,state,city,ntee_code,tax_year,total_revenue,total_expenses,total_assets,net_assets,grants_revenue,program_service_revenue,investment_income,grant_dependency_pct,employee_count,volunteer_count,form_type,num_grants,num_unique_funders,total_grant_amount,client_type
952249495,RETIREMENT HOUSING FOUNDATION,CA,LONG BEACH,,2023,42118324.0,26718964.0,226932871.0,209033662.0,19090910.0,18613650.0,4413764.0,45.3,78,466,990,0,0,,Beta Group 1
061468129,HORIZONS NATIONAL STUDENT ENRICHMENT,CT,WESTPORT,,2024,3409631.0,3380182.0,4304484.0,4065290.0,3259811.0,0.0,63868.0,95.6,19,0,990,13,8,491960.0,Beta Group 2
061468129,HORIZONS NATIONAL STUDENT ENRICHMENT,CT,WESTPORT,,2024,3409631.0,3380182.0,4304484.0,4065290.0,3259811.0,0.0,63868.0,95.6,19,0,990,2,2,35000.0,Beta Group 2
061468129,HORIZONS NATIONAL STUDENT ENRICHMENT,CT,WESTPORT,,2024,3409631.0,3380182.0,4304484.0,4065290.0,3259811.0,0.0,63868.0,95.6,19,0,990,1,1,100000.0,Beta Group 2
202707577,Arborbrook Christian Academy,NC,Matthews,,2023,2705662.0,2652495.0,2106556.0,1293893.0,426665.0,2325733.0,23.0,15.8,82,250,990,2,1,6000.0,Beta Group 1
202707577,Arborbrook Christian Academy,NC,Matthews,,2023,2705662.0,2652495.0,2106556.0,1293893.0,426665.0,2325733.0,23.0,15.8,82,250,990,1,1,50.0,Beta Group 1
203472700,FRIENDSHIP CIRCLE SD INC,CA,ENCINITAS,,2023,2690324.0,771056.0,5212943.0,5195173.0,2531992.0,0.0,158174.0,94.1,8,75,990,1,1,20.0,Beta Group 2
203472700,FRIENDSHIP CIRCLE SD INC,CA,ENCINITAS,,2023,2690324.0,771056.0,5212943.0,5195173.0,2531992.0,0.0,158174.0,94.1,8,75,990,1,1,20.0,Beta Group 2
942259716,SENIOR NETWORK SERVICES INC,CA,SANTA CRUZ,,2023,1956265.0,2036635.0,912961.0,900999.0,1856854.0,98300.0,1111.0,94.9,26,4,990,2,1,1000.0,Beta Group 1
260542078,KA ULUKOA,HI,HONOLULU,,2023,1308763.0,1131166.0,363128.0,300080.0,3179.0,1299466.0,0.0,0.2,0,4,990,0,0,,Beta Group 1
462730379,Patient Safety Movement Foundation,CA,Irvine,,2024,365177.0,933809.0,89728.0,55765.0,365177.0,0.0,0.0,100.0,4,26,990,1,1,50000.0,Beta Group 1
