ein,organization_name,state,city,total_assets,total_revenue,website,phone,tax_year,mission_description
205205488,Silicon Valley Community Foundation,CA,Mountain View,10356051571.00,1598536976.00,www.siliconvalleycf.org,6504505400,2023,"Silicon Valley Community Foundation (SVCF) connects people, ideas and resources to ensure equity and opportunity for all."
237315673,The Oregon Community Foundation,OR,Portland,2978953625.00,192606151.00,www.oregoncf.org,5032276846,2023,The mission of The Oregon Community Foundation is to improve lives for all Oregonians through the power of philanthropy.
431152398,Greater Kansas City Community Foundation,MO,KANSAS CITY,2795759564.00,462146418.00,WWW.GROWYOURGIVING.ORG,8168420944,2023,"The Greater Kansas City Community Foundation's mission is to improve the quality of life in Greater Kansas City by increasing charitable giving, educating and connecting donors to community needs they care about, and leading on critical community issues."
953510055,CALIFORNIA COMMUNITY FOUNDATION,CA,LOS ANGELES,2111710509.00,270688976.00,WWW.CALFUND.ORG,2134134130,2022,"OUR MISSION IS TO LEAD POSITIVE SYSTEMIC CHANGE THAT STRENGTHENS LOS ANGELES COMMUNITIES. WE ENVISION A FUTURE WHERE ALL ANGELENOS HAVE THE OPPORTUNITY TO CONTRIBUTE TO THE PRODUCTIVITY, HEALTH AND WELL-BEING OF OUR REGION. AND WE BELIEVE THAT OUR COMMON FATE WILL BE DETERMINED BY HOW SUCCESSFULLY WE IMPROVE THE QUALITY OF LIFE FOR ALL OF OUR RESIDENTS. THE IMPACT WE HELP CREATE IS OF, BY AND FOR LOS ANGELES, BECAUSE THE COMMUNITY IS OUR FOUNDATION."
311128781,Community Foundation of Northwest Indiana Inc,IN,MUNSTER,1538643092.00,144595576.00,www.comhs.org,2199348250,2022,"COMMUNITY FOUNDATION OF NORTHWEST INDIANA, INC. PROVIDES SUPPORT FOR ACTIVITIES OF THE AFFILIATED HOSPITALS TO ENGAGE IN THE BETTERMENT OF THE GENERAL HEALTH OF THE COMMUNITIES SERVED WITHIN NORTHWEST INDIANA. COMMUNITY FOUNDATION OF NORTHWEST INDIANA, INC. HELPS COORDINATE ACTIVITIES FOR THE IMPROVED WELL-BEING OF THE HOSPITALS AND THEIR PATIENTS."
581344646,THE COMMUNITY FOUNDATION FOR GREATER,GA,ATLANTA,1315823521.00,340513991.00,WWW.CFGREATERATLANTA.ORG,4046885525,2023,"ATLANTA IS #1 FOR INCOME INEQUALITY IN THE NATION. AS SUCH, THE NEEDS IN OUR COMMUNITY ARE PRESSING AND WE NEED TO MOVE WITH THE URGENCY OF NOW TO ADDRESS THOSE NEEDS. THE COMMUNITY FOUNDATION HAS UNEQUIVOCALLY EMBRACED EQUITY AS OUR #1 PRIORITY. OUR 2022-2026 STRATEGIC PLAN, TOGETHERATL, IS A BLUEPRINT FOR HOW THE COMMUNITY FOUNDATION WILL CHAMPION EQUITY AND LEAD BOLDLY IN COLLABORATION WITH NONPROFIT PARTNERS, CIVIC LEADERS AND DONORS. TOGETHER, WE WILL WORK TO SECURE PROSPERITY FOR ALL THROUGHOUT THE REGION."
222604963,THE RHODE ISLAND COMMUNITY FOUNDATION,RI,PROVIDENCE,1257515540.00,87701485.00,RIFOUNDATION.ORG,4012744564,2023,THE RHODE ISLAND FOUNDATION IS A PROACTIVE COMMUNITY AND PHILANTHROPIC LEADER DEDICATED TO MEETING THE NEEDS OF THE PEOPLE OF RHODE ISLAND.
382530980,COMMUNITY FOUNDATION FOR SOUTHEAST,MI,DETROIT,1142486271.00,128173574.00,WWW.CFSEM.ORG,3139616675,2023,"WE BUILD THE RESOURCES, RELATIONSHIPS AND EXPERTISE REQUIRED TO EXPAND EQUITABLE ACCESS TO OPPORTUNITIES. OUR MISSION IS TO MAKE SOUTHEAST MICHIGAN A DESIRABLE PLACE TO LIVE, WORK AND PLAY FOR ALL RESIDENTS, TODAY AND TOMORROW."
956111928,JEWISH COMMUNITY FOUNDATION OF LOS ANGELES,CA,LOS ANGELES,1115528585.00,149831116.00,WWW.JEWISHFOUNDATIONLA.ORG,3237618700,2023,"The mission of the Jewish Community Foundation of Los Angeles (The Foundation) is to strengthen the Jewish community and community at large by facilitating, increasing, and ensuring effective philanthropy in Los Angeles, nationally, and internationally. To accomplish this mission, The Foundation works with philanthropists, nonprofit organizations, and professional advisors to build meaningful collaborations and support worthy causes. The Foundation and its 1,400-plus donors support a wide range of charitable organizations locally and around the world, Jewish and secular, including synagogues and Jewish day schools, colleges, and universities, health, environmental, social service agencies, and arts and culture organizations."
860348306,ARIZONA COMMUNITY FOUNDATION,AZ,PHOENIX,1113813609.00,95243334.00,WWW.AZFOUNDATION.ORG,6023811400,2023,"TO LEAD, SERVE AND COLLABORATE TO MOBILIZE ENDURING PHILANTHROPY FOR A BETTER ARIZONA.(ADDITIONAL INFORMATION ON SCHEDULE O)"
943007979,MARIN COMMUNITY FOUNDATION,CA,NOVATO,1106991961.00,232749407.00,WWW.MARINCF.ORG,4154642500,2022,"MOBILIZING THE POWER OF COMMUNITY AND THE RESOURCES OF PHILANTHROPY TO ADVANCE EQUITY FOR PEOPLE, PLACES AND THE PLANET."
