Foundation Name,State,Website,Has Program,Program Name,Program Type,Currently Active,Hires Vendors,Nonprofits Served,Contact Email,Key Program URL
Marin Community Foundation,CA,marincf.org,Yes,Community Power Initiative + TA,grants|grantee_support|training|vendor,Yes,Yes,82 orgs (current portfolio),reservations@marincf.org,https://www.marincf.org/our-initiatives/community-power
Greater Houston Community Foundation,TX,ghcf.org,Yes,Foundation Services + Education,grantee_support|training|vendor,Yes,Yes,8000+,Contact form,https://www.ghcf.org
Hawaii Community Foundation,HI,hawaiicommunityfoundation.org,Yes,Travel Scholarships + FLEX + Resilience Fund TA,cohort|grants|training|grantee_support,Yes,Yes,21+ multiyear,info@hcf-hawaii.org,https://www.hawaiicommunityfoundation.org/grants/open-applications
Tulsa Community Foundation,OK,tulsacf.org,Yes,501TechNet + Capacity Building,vendor_services|grantee_support|training,Yes,Yes,Hundreds,info@tulsacf.org,https://www.tulsacf.org/nonprofits
Community Foundation of Middle Tennessee,TN,cfmt.org,Yes,GivingMatters + TA + Endowments,grants|grantee_support|training,Yes,Likely,Multiple counties,givingback@cfmt.org,https://www.cfmt.org/nonprofits
South Dakota Community Foundation,SD,sdcommunityfoundation.org,Yes,15-month Credential Program (CFRM/CFRE) + BIG Grants,cohort|training|grants,Yes,Yes,400+ total,info@SDCommunityFoundation.org,https://www.sdcommunityfoundation.org/grants/beyond-idea-grants
Community Foundation for Greater Buffalo,NY,cfgb.org,Yes,Fund for the Arts Cohorts + Wilson Initiative,cohort|grants|grantee_support|training,Yes,Yes,Arts sector focus,yukinr@cfgb.org,https://www.cfgb.org/community-change/initiatives/fund-for-the-arts/
Community Foundation of New Jersey,NJ,cfnj.org,Limited,Grantmaking + related regional orgs,grants|grantee_support,Yes,Likely,8000+,info@cfnj.org,https://www.cfnj.org
Oklahoma City Community Foundation,OK,occf.org,Yes,Endowment Training Workshops (quarterly),training|grantee_support|vendor,Yes,Likely,50+ years,Contact Jennifer Meckling,https://www.occf.org/training/
Arkansas Community Foundation,AR,arcf.org,Yes,Giving Tree Grants (capacity) + Endowments + Black Philanthropy,grants|grantee_support|vendor_services,Yes,Yes,29 affiliates,arcf@arcf.org,https://www.arcf.org/nonprofits/
