Organization_Name,EIN,State,Phone,Decision Maker,Decision Maker Title,Contact Date,VM/Message,Talked to Someone,Send us an Email,Reached Decision Maker,Yes/No/Maybe/Uncertain,talked_to_person,reached_dm,showed_interest,Notes,db_match_status,icp_score,priority_tier,employee_count,has_concrete_mission,received_capacity_grant,fundraising_likelihood_score,likely_active_fundraiser,fiscal_year_end_soon,has_biz_dev_staff,new_to_foundations,num_foundation_grants,shares_funder_with_beta,yoy_revenue_growth,db_grant_dep_pct,reach_employees_1_10,reach_revenue_1m_2m,reach_sector_e_p,reach_grant_dep_75
COACHELLA VALLEY REPERTORY,954304295,CA,7602962966,Joe,CFO,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,"No Answer - VM for Joe, CFO",matched,4.0,3.0,74.0,0.0,1.0,0.0,0.0,0.0,yes,0.0,27.0,1.0,11.3,44.44,0.0,0.0,0.0,0.0
UJIMA ADULT AND FAMILY SERVICES INC,770376995,CA,4089281700,,,11/5/2025,1.0,1.0,0.0,0.0,Uncertain,1,0,0,Gave Operator 12 a message,not_found,,,,,,,,,,,,,,,,,,
BURLINGTON COMM SRVS & HOUSING DEV,510181441,CA,2134830928,,,11/5/2025,1.0,1.0,0.0,0.0,Uncertain,1,0,0,"burlingtonschoolinc@gmail.com, Maree -- Said  to send email, kind of hard to understand with accent(and may not of understood me very well)",matched,12.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,no,1.0,0.0,1.0,,100.0,0.0,1.0,1.0,1.0
Career Technical Education Foundation Sonoma County,465607272,CA,7077087080,,,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM,matched,9.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,no,0.0,7.0,1.0,,99.38,1.0,0.0,0.0,1.0
COUNCIL OF CHIEF LIBRARIANS,954214083,CA,5309088810,GREGG ATKINS,Director,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM - voiemailbox for Gregg,matched,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,no,1.0,0.0,1.0,158.0,99.23,0.0,1.0,0.0,1.0
Fair Housing Advocates of Northern California,680087976,CA,4154575025,,,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM,matched,10.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,no,0.0,1.0,1.0,,66.58,0.0,1.0,0.0,0.0
Legal Aid Association of California,330042690,CA,5108933000,,,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM,matched,7.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,no,0.0,6.0,1.0,-5.4,93.2,0.0,1.0,0.0,1.0
Scientific Adventures dba Scientific,472414936,CA,4155315288,Courtenay Carr Heuer,Executive Dir.,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM - voiemailbox for courtenay,matched,7.0,2.0,21.0,0.0,1.0,0.0,0.0,0.0,no,0.0,6.0,1.0,,74.83,0.0,1.0,0.0,0.0
Santa Ynez Valley Charter School Inc,770552159,CA,8056867363,,,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM,matched,12.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,no,0.0,1.0,1.0,17.2,81.15,0.0,0.0,0.0,1.0
Project Hope Alliance,753099628,CA,9497227824,JENNIFER FRIEND,CEO,11/5/2025,1.0,0.0,0.0,0.0,Uncertain,0,0,0,Left VM - voiemailbox for Jennifer,matched,9.0,2.0,31.0,0.0,1.0,0.0,0.0,0.0,no,0.0,66.0,1.0,8.9,78.39,0.0,0.0,0.0,1.0
