ein,org_name,state,city,sector,website,employee_count,volunteer_count,total_revenue,total_expenses,contributions_grants,program_service_revenue,grant_dependency_pct,num_foundation_grants,num_unique_funders,total_foundation_grant_amount,icp_score,fundraising_likelihood_score,mission_statement,fiscal_year_end_month,program_revenue_pct,volunteer_to_employee_ratio
680413822,JACOBS HEART CHILDRENS CANCER SUPPORT,CA,WATSONVILLE,E,www.jacobsheart.org,24,255,3106068.00,3315948.00,2861726.00,224447.00,92.13,13,6,121912.00,9,10,"Since 1998, Jacob's Heart has provided emotional, practical, financial and peer support to hundreds of children with cancer and thousands of their family members.",12,7.2,10.63
464274413,EMPOWER YOUTH NETWORK,WA,CARNATION,E,EMPOWERYOUTHNETWORK.ORG,17,200,1290235.00,1274092.00,1300883.00,7201.00,100.83,5,5,30000.00,9,10,"THE MISSION IS TO PROMOTE AND INSPIRE YOUTH TO LEAD SAFE, HEALTHY, AND SUCCESSFUL LIVES. THIS IS ACCOMPLISHED THROUGH PROGRAMS THAT OPEN THE DOOR FOR HEALTHY YOUTH, SUPPORTED FAMILIES, AND AN ENGAGED COMMUNITY.",12,0.6,11.76
770545434,EL CAMINO HOMELESS ORGANIZATION,CA,ATASCADERO,P,WWW.ECHOSHELTER.ORG,37,1200,3147348.00,2424689.00,3094775.00,0.00,98.33,22,12,1146852.00,9,10,"PROVIDES FOOD AND SHELTER FOR HOMELESS PEOPLE IN NORTHERN SAN LUIS OBISPO COUNTY, CALIFORNIA.",12,0.0,32.43
205263777,MEDICAL STUDENTS FOR CHOICE,PA,PHILADELPHIA,E,WWW.MSFC.ORG,12,10000,2165364.00,1552947.00,2029985.00,12600.00,93.75,41,24,1927433.00,8,10,"MSFC RECOGNIZES THAT ONE OF THE GREATEST OBSTACLES TO SAFE AND LEGAL ABORTION IS THE ABSENCE OF TRAINED PROVIDERS. AS MEDICAL STUDENTS AND RESIDENTS, WE ARE WORKING TO MAKE REPRODUCTIVE HEALTH CARE, INCLUDING ABORTION, A STANDARD PART OF MEDICAL EDUCATION AND RESIDENCY TRAINING.",12,0.6,833.33
842745924,MANKATO YOUTH PLACE INC,MN,Mankato,P,myplacemankato.org,29,415,3312873.00,769524.00,3294704.00,0.00,99.45,19,9,1238092.00,8,10,"My Place is a nonprofit organization established to provide a nurturing environment that empowers youth to build the confidence, knowledge, and skills needed to reach their full potential. This is achieved through providing educational support to improve academic performance, building encouraging relationships, and reinforcing a sense of belonging, empowerment, personal accountability, civility, and civic responsibility.",12,0.0,14.31
522372998,FLORIDA'S CHILDREN FIRST INC,FL,BOCA RATON,P,FLORIDASCHILDRENFIRST.ORG,7,400,1362686.00,1161845.00,1345022.00,0.00,98.70,7,6,128250.00,8,10,"ORGANIZATION MISSION: FLORIDA'S CHILDREN FIRST IS A NON-PROFIT, NONPARTISAN, INDEPENDENT ADVOCACY ORGANIZATION COMMITTED TO PROTECTING AND ADVANCING THE RIGHTS OF CHILDREN AND YOUTH IMPACTED BY THE CHILD WELFARE, JUVENILE JUSTICE, AND DISABILITY SYSTEMS THROUGH SYSTEMIC REFORM, EDUCATION, YOUTH VOICE, AND PROMOTING HIGH-QUALITY LEGAL REPRESENTATION. ORGANIZATION VISION: OUR VISION IS THAT FLORIDA'S LAWS, POLICIES, AND PRACTICES RESPECT, PRIORITIZE, AND PROTECT CHILDREN AND YOUTH IMPACTED BY THE CHILD WELFARE, JUVENILE JUSTICE, AND DISABILITY SYSTEMS. ABOUT US: BY BEING INFORMED BY THE YOUTH WE SERVE AND PROVIDING A PLATFORM FOR THEIR INPUT AND LIFE EXPERIENCES TO BE VALUED, WE HAVE ACHIEVED POSITIVE, LONG- LASTING SYSTEMIC CHANGES IN FLORIDA'S CHILD WELFARE SYSTEM THAT PROTECT AND UPLIFT OUR MOST VULNERABLE CHILDREN. WE ARE CHANGE AGENTS. WE ARE WATCHDOGS. WE FILL A CRITICAL GAP IN THE STATEWIDE CHILD-SERVING SYSTEM BY TIRELESSLY WORKING TO DISMANTLE BARRIERS, RAISE AWARENESS, AND ENSU",12,0.0,57.14
840801612,Senior Support Services Inc,CO,Denver,P,N/A,13,225,1338729.00,1526224.00,1330693.00,0.00,99.40,11,6,36475.00,8,10,To make each day better and safer for Denver's low income and homeless seniors by providing the resources and support they need to lead more self sufficient and fulfilling lives,12,0.0,17.31
620815254,CALVARY RESCUE MISSION,TN,Memphis,P,www.calvaryrescue.org,12,1500,1211084.00,809624.00,1183988.00,0.00,97.76,14,9,103500.00,8,10,"Calvary Rescue Mission is a haven for the homeless in Memphis. For all time, it has been to reach out and minister to the needs of each person regardless of race, color, or creed. We furnish a clean shower, clothing, bed, along with the best food together with a Gospel message.",12,0.0,125.00
521706059,FIGHT FOR CHILDREN INC,DC,WASHINGTON,P,WWW.FIGHTFORCHILDREN.ORG,5,67,1302468.00,1567632.00,2011038.00,0.00,154.40,14,10,2004800.00,8,10,"FIGHT FOR CHILDREN'S MISSION IS TO HELP INDIVIDUALS, ORGANIZATIONS, AND COMMUNITIES IN THE METROPOLITAN WASHINGTON, DC AREA LEVERAGE THE POWER OF SPORTS TO IMPROVE THE LIVES OF UNDERSERVED YOUTH.",12,0.0,13.40
351476640,WOODBURN CHRISTIAN CHILDRENS,IN,WOODBURN,P,WCCHONLINE.ORG,18,250,1390891.00,963827.00,1259463.00,0.00,90.55,8,5,56340.00,8,10,"OUR MISSION IS TO PROVIDE A CHRISTIAN HOME FOR CHILDREN IN NEED TO MINISTER TO CHILDREN AND FAMILIES ON PHYSICAL, EDUCATIONAL, EMOTIONAL, AND SPIRITUAL LEVELS.",12,0.0,13.89
364337985,MIDWEST SHELTER FOR HOMELESS VETERANS,IL,WHEATON,P,WWW.HELPAVETERAN.ORG,19,247,2206325.00,2576594.00,2123856.00,64157.00,96.26,24,16,158240.00,8,10,"TO PROVIDE VETERANS AND THEIR FAMILIES WITH HOUSING AND SUPPORTIVE SERVICES THAT LEAD TO SELF-SUFFICIENCY AND TO ENSURE THAT NO VETERAN IS LEFT BEHIND DUE TO HOMELESSNESS, JOBLESSNESS, POVERTY, AND/OR MENTAL HEALTH ISSUES.",12,2.9,13.00
462376967,FACING HOMELESSNESS,WA,SEATTLE,P,WWW.FACINGHOMELESSNESS.ORG,12,511,1076195.00,1348849.00,1083757.00,0.00,100.70,17,12,59429.00,8,10,"FACING HOMELESSNESS INCREASES THE SENSE OF BELONGING AND STABILITY OF THOSE LIVING UNHOUSED AS A PATHWAY TO ENDING HOMELESSNESS BY INSPIRING DELIBERATE RELATIONSHIP BUILDING, ENGAGEMENT, AND COMMUNITY MOBILIZATION TOWARD ENDING HOMELESSNESS.",12,0.0,42.58
043610154,COLLIER COUNTY HUNGER & HOMELESS,FL,NAPLES,P,WWW.COLLIERHOMELESSCOALITION.ORG,8,91,1704448.00,1612558.00,1704422.00,0.00,100.00,3,2,43000.00,11,9,"TO SUPPORT THE PLANNING, DELIVERY AND COORDINATION OF HIGH QUALITY SERVICES TO THE HUNGRY, HOMELESS AND THOSE AT-RISK OF HOMELESSNESS IN COLLIER COUNTY.",12,0.0,11.38
464866068,CHILDREN'S ASSISTIVE TECHNOLOGY,VA,MONETA,P,WWW.ATDEVICEFORKIDS.ORG,8,275,2615755.00,2465675.00,2571503.00,0.00,98.31,4,2,24000.00,9,9,"TO ENSURE THAT ALL CHILDREN WITH DISABILITIES CAN HAVE ACCESS TO ADAPTIVE DEVICES, TO RAISE COMMUNITY AWARENESS AND TO BE AN ADVOCATE FOR POLICY REFORM",12,0.0,34.38
852482031,STUDENT LUNCHBOX INC,CA,Los Angeles,K,www.studentlunchbox.org,1,120,1692803.00,1595184.00,1656785.00,0.00,97.87,3,3,57150.00,9,9,"Student LunchBox, Inc. (SLB) is a charitable organization established in 2020 to empower college excellence through comprehensive basic needs support. Using innovative resource recovery initiatives, SLB addresses food insecurity and hunger by providing nutritious meals and essential supplies to economically disadvantaged college students across Los Angeles County, enabling them to focus on their education and reach their full academic potential.",12,0.0,120.00
581948370,SENIOR SERVICES NORTH FULTON INC,GA,ALPHARETTA,P,WWW.SSNORTHFULTON.ORG,32,600,2438752.00,2534403.00,2238277.00,50201.00,91.78,6,4,65000.00,8,9,"OUR MISSION IS TO PROVIDE SERVICES AND SUPPORT FOR SENIORS TO ENHANCE THEIR QUALITY OF LIFE AND INDEPENDENCE IN OUR COMMUNITY. OUR VISION IS AN INCLUSIVE COMMUNITY WHERE ALL OLDER ADULTS ARE REVERED, CARED FOR, AND SUPPORTED TO LIVE MEANINGFUL AND PRODUCTIVE LIVES.",12,2.1,18.75
621636128,CHOSEN CHILDREN MINISTRIES INC,SC,INMAN,P,www.ccm.life,7,847,2194049.00,1804135.00,2139467.00,0.00,97.51,6,3,2642.00,8,9,TO PROVIDE RELIEF AND AID IN THE NAME OF CHRIST TO CHILDREN AND ADULTS IN NICARAGUA.,12,0.0,121.00
464537457,CHILDREN'S BRAIN TUMOR PROJECT,NY,NEW YORK,E,WWW.CHILDRENSBRAINTUMORPROJECT.ORG,1,30,1081010.00,1102117.00,1136258.00,0.00,105.11,4,3,99536.00,8,9,THE ORGANIZATION'S MISSION IS TO RAISE FUNDS TO IMPROVE THE OUTCOME FOR CHILDREN WITH BRAIN TUMORS BY ADVANCING SCIENTIFIC DISCOVERY AND CLINICAL RESEARCH THAT FOCUSES ON:* TARGETED THERAPY* EFFECTIVE DRUG DELIVERY* LOW TREATMENT-RELATED TOXICITYTHE ORGANIZATION HAS A SINGLE GOAL TO BRING HOPE TO CHILDREN AND THEIR FAMILIES WHO ARE CONFRONTED WITH THE DIAGNOSIS OF A RARE AND OFTEN INCURABLE BRAIN TUMOR.,12,0.0,30.00
