ein,org_name,state,sector,ntee_code,total_revenue,employee_count,website,mission_statement,icp_score,revenue_band,emp_band
141771607,OLIVE FIRE DEPARTMENT NUMBER 1 INC,NY, ,,1594662.00,1,WWW.OLIVEFIREDEPT.ORG,PROVIDE FIRE PROTECTION,8,$1M-$2M,1-5
351051381,AFT INDIANA INC,IN, ,,562081.00,5,WWW.IN.AFT.ORG,"REPRESENT PUBLIC SCHOOL TEACHERS, SPECIAL AND VOCATION EDUCATION TEACHERS AND OTHER SCHOOL RELATED EMPLOYEES.",7,$500K-$1M,1-5
940830930,St Helena Chamber of Commerce,CA, ,,823445.00,4,www.sthelenachamber.com,"tO enhance the local economy and the St. Helena brand for the direct and indirect benefit of its members and the community. This includes strengthening the local economy, promoting the community, providing networking opportunities and referrals, and representing the interests of business with government.",7,$500K-$1M,1-5
431185063,INTERNATIONAL ASSOCIATION OF,MO, ,,1991452.00,19,WWW.IAFF2665.0RG,"TO PROVIDE MEMBERS WITH COMPETITIVE PAY, BENEFITS AND WORKING CONDITIONS WHILE PROVIDING THE RESIDENTS THEY SERVE WITH THE BEST LEVEL OF PROTECTION.",9,$1M-$2M,16-50
931078791,West Tuality Habitat for Humanity,OR, ,,1339568.00,22,WESTTUALITYHABITAT.ORG,"HABITAT BUILDS AND RENOVATES SIMPLE, DECENT HOUSES WITH VOLUNTEER LABOR AND DONATIONS OF MONEY AND MATERIALS WITH THE HELP OF THE PARTNER",9,$1M-$2M,16-50
330204757,THOMAS HOUSE TEMPORARY SHELTER,CA, ,,1900870.00,17,WWW.THOMASHOUSESHELTER.ORG,"TO PROVIDE A SAFE, SUPPORTIVE ENVIRONMENT AND RESOURCES NECESSARY FOR HOMELESS FAMILIES WITH CHILDREN TO REMAIN TOGETHER WHILE EMPOWERING THEM TO BECOME INDEPENDENT AND SELF-SUFFICIENT. TO KEEP AT RISK FAMILIES FROM BECOMING HOMELESS BY PROVIDING PREVENTION SERVICES INCLUDING RENTAL ASSISTANCE.",7,$1M-$2M,16-50
750800616,BUFFALO TRAIL COUNCIL INC BSA 567,TX, ,,1027950.00,57,WWW.BUFFALOTRAILBSA.ORG,THE MISSION IS TO PREPARE YOUNG PEOPLE TO MAKE ETHICAL AND MORAL CHOICES OVER THEIR LIFETIMES BY INSTILLING IN THEM THE VALUES OF THE SCOUT OATH AND SCOUT LAW.,8,$1M-$2M,50+
824710173,ASHEBORO HYBRID ACADEMY CORPORATION,NC, ,,1279879.00,61,www.asheborohybridacademy.com,"TO PARTNER WITH FAMILIES AS THEY RAISE THE NEXT GENERATION TO IMPACT THE WORLD FOR CHRIST BY PROVIDING SUPPORT, ACCOUNTABILITY, AND HIGH QUALITY EDUCATION.",8,$1M-$2M,50+
560612303,JACKSONVILLE COUNTRY CLUB INC,NC, ,,1482746.00,77,WWW.JACKSONVILLECOUNTRYCLUB.NET,PRIVATE GOLF COURSE AND COUNTRY CLUB,8,$1M-$2M,50+
590915376,DISABLED AMERICAN VETERANS DEPARTMENT,FL, ,,970902.00,15,WWW.DAVMEMBERSPORTAL.ORG/FL,"TO UPHOLD AND MAINTAIN THE CONSTITUTION AND THE LAWS TO THE UNITED STATES; TO REALIZE THE TRUE AMERICAN IDEALS AND AIMS FOR WHICH THOSE ELIGIBLE TO MEMBERSHIP FOUGHT; TO ADVANCE THE INTERESTS AND WORK FOR THE BETTERMENT OF ALL WOUNDED, GASSED, INJURED, AND DISABLED VETERANS; TO COOPERATE WITH THE UNITED STATES VETERANS ADMINISTRATION AND ALL OTHER PUBLIC AND PRIVATE AGENCIES DEVOTED TO THE CAUSE OF IMPROVING AND ADVANCING THE CONDITION, HEALTH, AND INTEREST OF ALL WOUNDED, GASSED, INJURED AND DISABLED VETERANS; TO SERVE OUR COMRADES, OUR COMMUNITIES AND OUR COUNTRY; TO ENCOURAGE IN ALL PEOPLE THAT SPIRIT OF UNDERSTANDING WHICH WILL GUARD AGAINST FUTURE WARS.",7,$500K-$1M,6-15
