email,first_name,company,state,website
info@lesorelle-restaurant.com,,Le Sorelle Restaurant Downtown,FL,https://lesorelle-restaurant.com/
1899barandgrill@gmail.com,,1899 Bar & Grill,AZ,http://www.1899barandgrill.com/1899DinnerMenu.html
1956@casavega.com,,Casa Vega,CA,https://www.casavega.com
2051cucinaitaliana@gmail.com,,2051 Cucina Italiana,0,https://www.2051cucinaitaliana.com/
3810pizza@gmail.com,,Pizza Palace,CO,https://www.pizzapalacewellington.com/
4dreamsnepaliandindiancuisine@gmail.com,,4 Dreams Nepali Indian Cuisine,CA,https://www.4dreamscuisine.com/
4luna.kim@gmail.com,,Rumble Fish,CA,Rumblefish.menu11.com
5051ramenofyork@gmail.com,,Ramen of York by Silverlake Ramen,CA,https://ramenofyork.com/
55tkhiring@gmail.com,,55 Thai Kitchen,0,https://55thaikitchen.com
6sDL9HRIaSwD6aAH9iwDL@LSsw1.vRS,,Dangerous Minds Brewing Co,0,http://dangerousmindsbrewing.com/
707birdhouse@gmail.com,,Bird House,AZ,https://www.birdhouseaz.com/
707sutter@gmail.com,,707 Sutter,0,https://www.707suttersf.com/
7400info@lilacpatisserie.com,,Lilac Pâtisserie,CA,http://lilacpatisserie.com/
7stgeorgestavern@gmail.com,,Sea Harvest,CA,http://www.seaharvestfish.com/moss-landing/
840Orders@gmail.com,,Dosa Point,0,https://www.dosapoint.co/
99asianfusioncafe@gmail.com,,Asian Fusion Cafe,AZ,https://www.asianfusioncafephoenix.com/
aahasfo@gmail.com,,Aaha Indian Cuisine,0,https://www.aahasfo.com/
aaron@roosterandrice.com,,INDO Restaurant & Lounge,CA,https://www.indorestaurant.com
accessibility@joeyrestaurants.com,,Joey,CA,https://joeyrestaurants.com/
accessibility@tommybahama.com,,Tommy Bahama,0,https://www.tommybahama.com/restaurants-and-marlin-bars/locations/newport-beach
accounting@doughzoneusa.com,,Dough Zone,0,https://www.doughzonedumplinghouse.com/southsanjose
ackeebamboo@yahoo.com,,Ackee Bamboo,CA,https://ackeebamboo.com
acotemail@gmail.com,,À Côté,0,https://www.acoterestaurant.com/
adam.perkins@murphysrestaurantgroup.com,,Murphy's Tap House,CO,https://murphystaphouse.com
Admin@agrodolceberkeley.com,,Agrodolce,CA,https://www.agrodolceberkeley.com/
admin@almondandoak.com,,Almond & Oak,CA,https://www.almondandoak.com/
Admin@AntiqueTrail.com,,El Gran Rodeo,AL,https://lakemartin.com/pages/el-gran-rodeo-mexican-restaurant/
admin@atomicprovisions.com,,Atomic Cowboy,Co,https://www.theatomiccowboy.com/locations
Admin@azfamouspizza.com,,Famous Pizza,AZ,https://www.azfamouspizza.com/
admin@carpmooncafe.com,,Carp Moon Cafe,0,https://carpmooncafe.com/
admin@fishhouseveracruz.com,,Fish House Vera Cruz,CA,https://fishhouseveracruz.com/
admin@gobibbq.com,,Gobi Mongolian Grill,CA,https://gobibbq.com/
admin@illegalpetes.com,,Illegal Pete's,CO,http://illegalpetes.com/
admin@ktmrestaurantgroup.com,,Tacos Tequila Whiskey,0,https://tacostequilawhiskey.com/
admin@meyouthai.com,,MeYou Thai Restaurant,AZ,https://www.meyouthaiattarote.com
admin@organstoppizza.com,,Organ Stop Pizza,AZ,https://organstoppizza.com/
admin@papachevos.com,,Papa Chevo's Taco Shop,0,https://www.papachevos.com/seaside-ca/
admin@pierdeorleans.com,,"Cayomango Steak, Seafood & Drinks",AZ,http://pierdeorleans.com/
Admin@PosadaRestaurant.com,,Posada,CA,https://posadarestaurant.com/
admin@sourdoughandco.com,,Sourdough & Co.,CA,https://sourdoughandco.com/atwater
admin@spicyhutaz.com,,Spicy Hut,0,https://spicyhutaz.com/
admin@supermegabien.com,,Super Mega Bien,CO,https://supermegabien.com
admin@thespinstersisters.com,,Spinster Sisters,0,https://thespinstersisters.com/
admin@tiburontavern.com,,Tiburon Tavern,CA,https://taverntiburon.com/
admin@tuskerstavern.com,,Tuskers Tavern,0,https://www.tuskerstavern.com/
admin@vixcreeksaloon.com,,Vix Creek Saloon,CA,https://www.vixcreeksaloon.com/
admin@waikikiorange.com,,Waikiki Hawaiian Grill,CA,https://waikikiorange.com/
ads@id.google.com,,Mondo Market,CO,https://mondofood.com/
adventure@northernalaska.com,,The Trucker's Cafe,AK,https://www.coldfootcamp.com/eat/
adventureawaits@bellabrookecafe.com,,Bella Brooke Cafe,CA,https://www.genassierrainn.com/
agilani+woodsalttavern@sociavore.co,,Wood & Salt Tavern,CA,woodsalt.com
ahoy@ginrummybar.com,,Nueva,CA,http://www.sunnyspotvenice.com/
aicpasadena@gmail.com,,All India Cafe,CA,https://www.allindiacafe.com/all-india-cafe-pasadena
aidelp@virtjuice.com,,Virtjuice,CA,https://www.virtjuice.com/
ajilatincuisine@gmail.com,,Aji 10,CT,http://www.aji10restaurant.com/
akakitchenmarketing@gmail.com,,A.K.A. Kitchen,0,https://akakitchennoco.com/
akemi@akemiberkeley.com,,AKEMI,CA,http://www.akemiberkeley.com
alamaroak@gmail.com,,alaMar Dominican Kitchen and Bar,0,https://www.alamaroakland.com/
alaradobiscuitcompany@gmail.com,,Alarado Biscuit Company,0,https://alaradobiscuitcompany.com/
albert@albertsmexicanfood.com,,Albert's Fresh Mexican Food,CA,https://albertsmexicanfood.com/
Alec@Volantiscottsdale.com,,Volanti,AZ,https://volantiscottsdale.com/
alessiasaz@yahoo.com,,Alessia's Ristorante Italiano,AZ,https://www.alessiasristoranteitaliano.com/
Alexis@wildthymegroup.com,,Creekside,AZ,http://kenscreekside.com
alexmeng8@gmail.com,,New dumpling,0,https://www.newdumplingfood.com
Alhusseini22@hotmail.com,,Anthony's,CT,https://www.pizzapeoplespizza.com
ali5117702@email.com,,Kabana,CA,http://thekabanarestaurants.com/
alibababoulder@gmail.com,,Ali Baba Grill,0,https://www.alibabagrill.com/?location=6
alicia@frenchsoulfood.com,,Brenda's Meat & Three,CA,https://brendasmeatandthree.com/
allstarpizzamv@gmail.com,,All Star Pizza,0,https://www.allstarpizzamv.com/
allyoucaneat@paradisesushi.net,,Paradise Sushi & Grill,CA,https://paradisesushi.net/
aloha@limexcoconut.com,,Lime in the Coconut,CA,https://limexcoconut.com
aloha@lycsf.com,,Liholiho Yacht Club,CA,https://lycsf.com/
alyssa@altstrategies.com,,RustiCucina,CA,https://www.rusticucina.com/
amanda@coopersonthecreek.com,,Cooper's on the Creek,CO,https://coopersonthecreek.com/
amarinthaicuisine1@gmail.com,,Amarin Thai Cuisine,CA,https://www.amarinthaicuisine.com/
amazingkatsu.sv@gmail.com,,Amazing Katsu,CA,https://www.amazingkatsu.com/
AMERICANROADTRIP@YAHOO.COM,,American Road Trip Bar & Grill,0,https://americanroadtripbng.com
amg.elpaisa@gmail.com,,Araujo’s Mexican Grill,CA,https://araujosmexicangrill.com/locations/
amirmoshayedi@gmail.com,,Red Baron Pizza,CA,https://www.redbaronpizzeria.com/
amkryukov@gmail.com,,Akiko's Sushi Bar,CA,https://akikossushibar.com/
anaheimhills@Islandsrestaurants.com,,Islands Restaurant Anaheim Hills,CA,https://www.islandsrestaurants.com/locations/anaheim-hills
analytics4@ameravant.com,,Moby Dick Restaurant,CA,https://mobydicksb.com/#seafood-with-a-view
anapbm@gmail.com,,China House,CA,https://chinahousepinole.com/
anazari50@yahoo.com,,Sam's To Go,0,http://samstogosb.com/Goleta.html
anchorinnwhittier@yahoo.com,,The Anchor Inn,AK,http://anchorinnwhittier.com
andrea@bigwhiskeys.com,,Big Whiskey's American Restaurant & Bar,0,https://www.bigwhiskeys.com/restaurants/fayetteville
angela@benvenutiwc.com,,Benvenuti Ristorante,0,https://benvenutiwc.com/
anhtuanbom@gmail.com,,Phở Duy,CO,http://www.phoduy6.com/
annas@annas-bakery.com,,Anna's Marketplace Bakery,0,http://www.annas-bakery.com/
anniecebon@gmail.com,,You Me Sushi,CA,https://youmefresnosushi.com/
anthem@barrospizzamanager.com,,Barro's Pizza,AZ,https://barrospizza.com/locations/anthem-gavilan-peak-pkwy-anthem-way/menu/
anthony@phodong.com,,Phở Đông,0,https://www.phodong.com/
AnthonyDeLuca@RhapsodicGlobal.org,,El Chipotle,0,https://www.rhapsodicglobal.org/el-chipotle-arcata-ca
aperitivosb@icloud.com,,Apertivo Wine Bar,CA,https://www.aperitivosb.com/
apnepal17@gmail.com,,Jewel of India,CO,https://jewellofindia.com/
App@MontysGoodBurger.com,,Monty's Good Burger,CA,https://montysgoodburger.com/locations/main-street-culver-city
arcticroadrunner64@gmail.com,,Arctic Roadrunner,AK,https://arcticroadrunner64.wixsite.com/arctic-roadrunner
Arharnthaicos@gmail.com,,Arharn Thai,CO,https://arharnthai.net/
arirangtofuhouse@hotmail.com,,A Ri Rang Tofu House,0,https://arirangtofuhouse.com/
