ein,org_name,city,state,zip,phone,website,mission_statement,contact_name,contact_title,sector,employee_count,total_revenue,grant_dependency_pct,yoy_revenue_growth,num_foundation_grants,icp_score,fundraising_likelihood_score
851278603,TULARE COUNTY HOPE FOR THE HOMELESS INC,VISALIA,CA,93291,,N/A,CORPORATION HAS BEEN FORMED FOR CHARITABLE PURPOSES AND MOTIVATED BY COMPASSION FOR PEOPLE WHO ARE HOMELESS TO PROVIDE SUPPORT FOR PROGRAMS THAT ASSIST INDIVIDUALS AND FAMILIES EXPERIENCING HOMELESSNESS WITH A PATHWAY TO SHELTER/PERMANENT HOUSING.,BOB LINK,President,P,0,1052271,99.16,1172.8,0,11,0
263840730,HMONG YOUTH AND PARENTS UNITED,SACRAMENTO,CA,95815,,N/A,"HYPU MISSION IS TO EMPOWER UNDERSERVED COMMUNITIES BY OFFERING CULTURALLY SENSITIVE EDUCATIONAL, SOCIAL, AND ECONOMIC SERVICES AND RESOURCES TO YOUTH, ADULTS, AND PARENTS.",MAI YANG THOR,EXECUTIVE DIRECTOR,P,0,1023111,100,,1,11,0
201584617,CHILDREN OF RESTAURANT EMPLOYEES,WOODSTOCK,GA,30189,,COREGIVES.ORG,CHILDREN OF RESTAURANT EMPLOYEES LTD PROVIDES GRANTS TO HELP FOODSERVICE FAMILIES BRIDGE THE FINANCIAL GAP DURING A QUALIFYING CRISIS.,LARRY MCGINN,FOUNDER,P,3,1153213,85.36,-19.5,2,10,6
825477192,ANIMAL WELLNESS ACTION,WASHINGTON,DC,20003,,ANIMALWELLNESSACTION.ORG,"TO PREVENT CRUELTY TO ANIMALS, WE PROMOTE ENACTING AND ENFORCING GOOD PUBLIC POLICIES. ENACTING GOOD LAWS DEPENDS UPON ELECTING GOOD LAWMAKERS, AND WE REMIND VOTERS WHICH CANDIDATES CARE ABOUT AND SUPPORT ANIMAL ISSUES.",WILLIAM MARTY IRBY JR,EXECUTIVE DIRECTOR,P,3,1574991,86.85,49.2,0,10,6
320046759,SERENITY HOSPICE AND HOME FOUND,OREGON,IL,61061,,SERENITYHOSPICEANDHOME.ORG,TO RECEIVE AND ADMINISTER FUNDS FOR EDUCATIONAL AND CHARITABLE PURPOSES.,LYNETTE KNODLE,CEO,E,0,1254970,124.95,49.3,2,10,6
260812693,HOWARD HANNA CHILDREN'S FREE CARE FUND,PITTSBURGH,PA,152382919,,HOWARDHANNACHILDRENSFREECAREFUND.ORG,"HOWARD HANNA CHILDREN'S FREE CARE FUND IS A NON-PROFIT ORGANIZATION CREATED FOR THE PURPOSE OF BENEFITING CHILDREN'S HEALTH CASUES. SEE SCHEDULE O FOR CONTINUANCETHE FUNDING FOR THIS PUPOSE IS SUPPORTED BY PRIVATE DONATIONS WHICH ARE SOLICITED THROUGH FUNDRAISING EVENTS HEALTH THROUGHOUT PENNSYLVANIA, OHIO, & VIRGINIA.",,,E,0,1127808,98.28,,2,10,4
650411920,HIBISCUS CHILDREN'S CENTER,JENSEN BEACH,FL,34957,,WWW.HIBISCUSCHILDRENSCENTER.ORG,"TO GENERATE AND MAINTAIN DESIGNATED ENDOWMENT FUNDS EXCLUSIVELY FOR HIBISCUS CHILDREN'S CENTER INC., AN EXEMPT ORGANIZATION UNDER SECTION 501 (C)(3)WHICH PROVIDES SERVICES TO ABUSED AND NEGLECTED CHILDREN.",MATT MARKLEY,CEO,P,0,1070130,84.76,44.6,1,10,2
823433447,Somerset Senior Living at Harrison,Benton,AR,72018,,N/A,"THE ORGANIZATION PROVIDES AFFORDABLE SKILLED NURSING AND REHABILATIVE CARE TO ILL, INFIRM, MEDICALLY DISABLED AND ELDERLY INDIVIDUALS IN A LONG-TERM CARE ENVIRONMENT FOCUSED ON PERSON CENTERED CARE.",Cathy Abatangle,Admin/Director,E,0,1187982,86.82,,0,10,0
272552749,PROVIDENCE HOSPICE & HOME CARE,EVERETT,WA,98203,,HTTPS://FOUNDATION.PROVIDENCE.ORG/WA/SNOHOMISH,"AS EXPRESSIONS OF GOD'S HEALING LOVE, WITNESSED THROUGH THE MINISTRY OF JESUS, WE ARE STEADFAST IN SERVING ALL, ESPECIALLY THOSE WHO ARE POOR AND VULNERABLE.",DR JIM CONGDON,IMMEDIATE PAST PRESIDENT,E,0,1704383,93.46,,0,10,0
451076116,VETERANS RELIEF NETWORK INC,DYER,IN,46311,,WWW.VETERANSRELIEFNETWORK.ORG,OUR FINANCIAL ASSISTANCE PROGRAM HELPS THOSE HEROES AND THEIR FAMILIES WHEN IT BECOMES DIFFICULT FOR THEM TO COPE WITH EVER INCREASING COSTS BE IT MEDICAL OR SIMPLY DAILY LIVING EXPENSES.,HELEN IGNAS,"DIRECTOR, PRESIDENT",P,2,1301100,100,9.7,0,10,0
