ein,org name,state,city,zip,ntee code,sector,form type,tax year,total revenue,total expenses,total assets,contributions grants,program service revenue,grant dependency pct,employee count,volunteer count,num foundation grants,num unique funders,total foundation grant amount,most recent grant year,revenue band,grant dep band,yoy revenue growth,icp score,priority tier,website,mission statement,reach employees 1 10,reach revenue 1m 2m,reach form 990,reach sector e p,reach grant dep 75,reach more employees than volunteers,reach all flags,capacity grant date,capacity grant amount,capacity grant funder ein,capacity grant funder name,capacity grant pct of revenue,received capacity grant,has concrete mission,fundraising likelihood score,likely active fundraiser,fiscal year end soon,has biz dev staff,new to foundations,shares funder with beta,phone
471231119,EDUCHRIST,CA,TEMPLETON,93465,P12,P,990,2023,1955698,1839480,856920,1931921,0,98.78,1,0,0,0,0,,$1M-$2M,90-100%,,11,1,WWW.ZOZUPROJECT.ORG,"THE ORGANIZATION'S MISSION IS TO LIFT COMMUNITIES OUT OF EXTREME PROVERTY BY PARTNERING WITH LOCAL AFRICAN LEADERS TO PROVIDE FAMILY-FOCUSED HOPE, EDUCATION, AND ECONOMIC OPPORTUNITY.",1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,1,1,8056742902
943169584,Vietnam Health Education & Literature Projects,CA,Milpitas,95035,P99,P,990,2023,1952984,2101705,2079988,1870321,0,95.77,0,50,1,1,175,2023,$1M-$2M,90-100%,22.7,11,1,http://vnhelp.org,"VN Help is a nonprofit organization dedicated to assisting disadvantaged individuals and communitites in Vietnam to achieve self sufficiency through sustainable solutions in the areas of health, education, and economic development.",0,1,1,1,1,0,0,12/31/2020,250,136123529,AMERICAN EXPRESS FOUNDATION,0,1,0,0,0,1,no,0,1,4085868100
770498274,MEDICAL MINISTRIES INTERNATIONAL,CA,FRESNO,93721,P20,P,990,2023,1909020,1991563,1643605,1872282,0,98.08,3,,1,1,50000,2023,$1M-$2M,90-100%,-3.9,11,1,https://www.medministries.org/,TO PROVIDE A CHRISTIAN OUTREACH MINISTRY BY PROVIDING MEDIAL CARE NOT OBTAINABLE IN CERTAIN REGIONS OF THE WORLD. TO PROVIDE MEDICAL EQUIPMENT AND SUPPLIES TO CLINICS AND HOSPITALS WHERE THE NEED HAS BEEN IDENTIFIED. TO COORDINATE AND SEND CONSTRUCTION TEAMS TO WORK ON CILNICS AND HOSPITALS.,1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,0,1,5593241255
844620762,HEALING GROVE HEALTH CENTER FOUNDATION INC,CA,SAN JOSE,95110,E80,E,990,2023,1902669,1648158,2207525,1593704,308965,83.76,0,,0,0,0,,$1M-$2M,75-90%,-4.9,11,1,,"THE ORGANIZATIONS MISSION IS TO SHARE THE LOVE OF JESUS THROUGH HEALTH CARE, SOUL CARE, AND CULTURE CARE TO BRING THE HEALING OF NATIONS TO OUR COMMUNITY.",0,1,1,1,1,0,0,12/31/2020,25500,844029107,ANALOG DEVICES FOUNDATION,1.3,1,0,0,0,0,no,1,1,4086487865
364943576,WE LOVE OUR CITY,CA,VACAVILLE,95688,P20,P,990,2022,1900409,1900719,40689,1900409,0,100,0,,0,0,0,,$1M-$2M,90-100%,323.7,11,1,www.weloveourcity.org,We Love Our City is a service-driven nonprofit organization that exists to identify and resolve poverty related injustices on the local level. Our mission is to provide services that address immediate needs while creating lasting solutions to social injustice.,0,1,1,1,1,0,0,,,,,,0,0,0,0,0,no,1,1,7074557790
270618533,TEACHAIDS,CA,STANFORD,943098701,P20,P,990,2023,1885034,1868919,122180,1884334,0,99.96,1,0,0,0,0,,$1M-$2M,90-100%,,11,1,www.teachaids.org,TEACHAIDS IS DEDICATED TO ADDRESSING THE CHALLLENGES ASSOCIATED WITH PROVIDING HEALTH EDUCATION THROUGH THE CREATION OF FREE RESEARCH-BASED MEDICALLY-ACCURATE CULTURALLY APPROPRIATE LEARNING MATERIALS.,1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,1,1,4084622437
471497512,GLOBAL COMMUNITIES OF HOPE,CA,CHULA VISTA,91911,P60,P,990,2023,1883939,101180,2948840,1829342,44697,97.1,0,38,0,0,0,,$1M-$2M,90-100%,,11,1,www.globalcommunitiesofhope.org,"Global Communities of Hope partners with and provides support to entities that work in impoverished communities around the world. The Organization's mission is in seven key areas of need; food, water, shelter, health care, clothing, education and entrepreneurship.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,6194007254
831985291,LEADING WOMEN DEFINED FOUNDATION,CA,LOS ANGELES,90025,P80,P,990,2023,1846931,1630570,1562018,1585938,254500,85.87,2,3,0,0,0,,$1M-$2M,75-90%,12.7,11,1,N/A,"THE LEADING WOMEN DEFINED FOUNDATION IS AN ORGANIZATION DEDICATED TO THE EMPOWERMENT OF BLACK AND BROWN WOMEN THROUGH CONTINUING EDUCATION, THOUGHT LEADERSHIP, AND SISTERHOOD. ESTABLISHED TO ADDRESS A RANGE OF ISSUES CENTRAL TO THIS AUDIENCE, LWD FOCUSES ON PROFESSIONAL ADVANCEMENT, PERSONAL HEALTH AND WELLNESS, AND COLLECTIVE COMMUNITY IMPACT.",1,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,3104784148
810581479,THE DAVID FOSTER FOUNDATION,CA,LOS ANGELES,90067,E11,E,990,2023,1844828,1954315,2741242,1405267,0,76.17,1,,2,2,150000,2023,$1M-$2M,75-90%,,11,1,WWW.DAVIDFOSTERFOUNDATION.COM,THE FOUNDATION IS COMMITTED TO INCREASING PUBLIC AWARENESS AND EDUCATION IN BECOMING A REGISTERED ORGAN DONOR IN THE UNITED STATES AND IN DEVELOPING PARTNERSHIPS WITH ORGANIZATIONS AND PEOPLE THAT SHARE THE SAME GOAL.,1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,0,1,3109541050
731674378,White Memorial Community Benefit,CA,Los Angeles,90033,E70,E,990,2023,1825537,1825879,512099,1825537,0,100,0,1,0,0,0,,$1M-$2M,90-100%,-1.8,11,1,N/A,"To provide health education and services, including child development, in the Los Angeles area.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,3236285000
880636885,SCCH CAPITOLA ROAD,CA,SANTA CRUZ,95060,P11,P,990,2022,1819570,0,1819570,1819570,0,100,0,5,0,0,0,,$1M-$2M,90-100%,,11,1,N/A,"SCCH CAPITOLA ROAD IS A SOCIAL SERVICES ORGANIZATION SUPPORTING SANTA CRUZ COMMUNITY HEALTH CENTERS, A CALIFORNIA 501(C)(3), CAPITAL EXPANSION AND FINANCING OF THE PROJECT.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,uncertain,1,1,8314273500
882690798,CHILDRENS ONCOLOGY SUPPORT FUND,CA,W HOLLYWOOD,90046,P12,P,990,2023,1793400,1673210,268570,1793400,0,100,0,,2,2,18000,2023,$1M-$2M,90-100%,265.5,11,1,WWW.COSFFOUNDATION.ORG,"MISSION IS TO PROVIDE LESS TOXIC TREATMENTS AND ALTERNATIVE THERAPIES FOR CHILDREN BATTLING CANCER THOUGH FUNDING GROUNDBREAKING RESEARCH AND THERAPEUTIC PROGRAMS. COSF WILL ACCOMPLISH ITS MISSION THROUGH INNOVATIVE EVENTS AND ACTIVITIES. THUS, CHILDRENS ONCOLOGY SUPPORT FUND IS KEEN ON FOSTERING NEW IDEAS, INFLUENCING GIVING TO SUPPORT THE WELLBEING AND HEALTH OF PEDIATRIC CANCER PATIENTS, AND AFFECTING CHANGE THROUGH INNOVATIVE PROCESSES AND SERVICES.",0,1,1,1,1,0,0,12/31/2023,15000,943100217,CONRAD N HILTON FOUNDATION,0.8,1,1,6,1,1,uncertain,0,1,9177150316
872839022,MILLION DOLLAR VEGAN INC,CA,SANTA BARBARA,931012228,P20,P,990,2023,1784563,1858932,184192,1784563,0,100,2,0,0,0,0,,$1M-$2M,90-100%,,11,1,HTTPS://GENV.ORG,"TO EDUCATE ABOUT THE ENVIRONMENTAL, ETHICAL, PERSONAL, AND PUBLIC HEALTH BENEFITS OF A PLANT-BASED LIFESTYLE AND TO PROVIDE GUIDANCE, SUPPORT, AND FREE PLANT-BASED MEALS TO ESSENTIAL WORKERS AND UNDERSERVED COMMUNITIES.",1,1,1,1,1,1,1,,,,,,0,0,0,0,1,uncertain,1,1,7578372276
812810163,Friends of India Network,CA,Sacramento,95825,P73,P,990,2023,1744820,1903922,176231,1744747,0,100,0,3,0,0,0,,$1M-$2M,90-100%,,11,1,www.foinetwork.net,Friends of India Network establishes partnerships and empowers indigenous workers to spread the Gospel across Northern India through financial and prayerful support and vital practical relief.,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,5304040717
861230263,HOMEBOY ART ACADEMY INC,CA,LOS ANGELES,90012,P20,P,990,2023,1736497,925053,1533915,1710647,0,98.51,0,0,3,2,100350,2023,$1M-$2M,90-100%,297.4,11,1,N/A,"TO RELIEVE POVERTY AND DISTRESS OF THE UNDERPRIVILEGED, LESSEN NEIGHBOR TENSIONS, ELIMINATE PREJUDICE AND DISCRIMINATION, AND COMBAT COMMUNITY DETERIORATION IN LOW-INCOME AND UNDERSERVED COMMUNITIES THROUGH THE USE OF ART AND OTHER CREATIVE MEANS. THE ACTIVITIES ARE CONDUCTED BY THE EXECUTIVE DIRECTOR AT THE ART STUDIO, PROBATION CAMPS, AND CITY PARKS. HE SPENDS 100% OF THE TIME ON THESE ACTIVITIES. THE ACTIVITIES ARE FUNDED BY DONATION AND GRANTS AND 100% OF THE OVERALL EXPENSES ARE ALLOCATED TO THESE ACTIVITIES. THESE ACTIVITIES KEEP FORMERLY INCARCERATED GANG MEMBERS ACTIVE AND PRODUCTIVE MEMBERS OF THE COMMUNITY.",0,1,1,1,1,0,0,12/31/2023,100000,611817014,Snap Foundation,5.8,1,0,0,0,1,no,0,1,3235261254
274019540,4 KIDS 2 KIDS,CA,OAK VIEW,930220296,P20,P,990,2023,1705963,1751557,225930,1692675,0,99.22,0,,3,3,20000,2023,$1M-$2M,90-100%,,11,1,4K2KONLINE.ORG,RESIDENTIAL CARE AND TREATMENT OF EMOTIONALLY AND PHYSICALLY NEGLECTED CHILDREN.,0,1,1,1,1,0,0,12/31/2023,5000,776070540,LATKIN CHARITABLE FOUNDATION,0.3,1,0,0,0,1,no,0,1,8055730752
813754928,WISH OF ANGEL'S MISSIONS,CA,Arcadia,91006,P20,P,990,2022,1703082,546998,1690601,1673156,0,98.24,0,,2,1,4000,2023,$1M-$2M,90-100%,,11,1,,"Organization has been sponsoring various educational, medical and religious programs held by other 501c3 exempt organizations to further the mission of helping individuals to lead a life with spiritual fulfillment.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,no,0,1,6266969348
844821569,SAN JOAQUIN VALLEY COMMUNITY SHARED,CA,STOCKTON,95202,P52,P,990,2023,1701991,893125,1175206,1516019,54192,89.07,0,0,0,0,0,,$1M-$2M,75-90%,204.8,11,1,MIOCAR.ORG,NONE,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,uncertain,1,1,7169132109
330757151,The Foundation of Laguna Woods Village,CA,Laguna Hills,92654,P80Z,P,990,2023,1687174,317683,2225703,1336081,0,79.19,0,16,2,1,250,2023,$1M-$2M,75-90%,673.3,11,1,www.foundationoflagunawoodsvilliage.org,"TO PROVIDE TEMPORARY EMERGENCY ASSISTANCE TO THE RESIDENTS OF LAGUNA WOODS VILLAGE. HELP IS PROVIDED INVOLVING SHORTAGES OF FOOD, MEDICATIONS, UTILITIES, CARE, MEALS AND ADULT DAY CARE.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,0,1,9492909497
956101275,Santa Claus Inc,CA,San Bernardino,92406,P58Z,P,990,2023,1674190,2385215,1785598,1674190,0,100,3,517,0,0,0,,$1M-$2M,90-100%,-11.6,11,1,www.santaclausinc.com,"The mission of Santa Claus, Inc. is to provide critical services to youth in the Inland Empire by empowering children, thereby strengthening the family unit through a variety of year round and seasonal community based programs.",1,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,9098850090
943218648,POPS FOUNDATION,CA,LIVERMORE,94551,P31,P,990,2023,1654774,918269,7830435,1830417,0,110.61,0,479,3,2,15360,2023,$1M-$2M,90-100%,23.8,11,1,popsfoundation.org,POPS FOUNDATION IS SETUP AS A REFERRAL AND RESOURCE FOR FAMILIES INTERESTED IN ADOPTING ORPHANS FROM CHINA. IT IS OFFERING SERVICES SUCH AS ORGANIZING SEMINARS TO PROVIDE INFORMATION ON THE BASIC REQUIREMENTS FOR ADOPTING ORPHANED CHILDREN FROM CHINA AND RECOMMENDING REPUTABLE ADOPTION AGENCIES THAT FACILITATE INTERNATIONAL ADOPTIONS IN THE UNITED STATES.,0,1,1,1,1,0,0,12/31/2023,8360,472557008,POV & MAY TOV FAMILY FOUNDATION,0.5,1,0,0,0,0,no,0,1,9252922280
831707308,Meaning Foundation,CA,Los Angeles,90017,P99,P,990,2023,1652418,671648,1089120,1651756,0,99.96,0,1,1,1,150000,2023,$1M-$2M,90-100%,1520,11,1,,The Meaning Foundation the Organization or TMF is a non-profit organization committed to eliminating barriers to meaningful employment for the formerly incarcerated. We believe that adaptive combination of foundation healing workforce development and meaningful employment is the most powerful mechanism for enabling long-term human transformation and multi-generational socioeconomic impact.,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,yes,0,1,5622858303
364642420,Kern Medical Center Foundation,CA,Bakersfield,93306,E112,E,990,2023,1643341,592407,5121264,1569449,0,95.5,0,,0,0,0,,$1M-$2M,90-100%,-1.3,11,1,kernmedicalfoundation.com,KERN MEDICAL CENTER FOUNDATION IS DEDICATED TO PROMOTE EDUCATION AND PROGRAMS THAT SUPPORT THE MISSION OF KERN MEDICAL CENTER,0,1,1,1,1,0,0,12/31/2019,7500,200721133,THE BANK OF AMERICA CHARITABLE,0.5,1,0,0,0,1,no,1,1,6618683817
770548254,First 5 Association of California Inc,CA,Alameda,94501,P02,P,990,2022,1632624,1868916,2116806,1423896,208362,87.22,0,,0,0,0,,$1M-$2M,75-90%,6.2,11,1,First5Association.org,"THE ASSOCIATION'S MISSION IS TO IMPROVE THE LIVES OF CALIFORNIA'S YOUNGEST CHILDREN AND THEIR FAMILIES THROUGH AN EFFECTIVE, COORDINATED AND INCLUSIVE IMPLEMENTATION OF THE CALIFORNIA CHILDREN AND FAMILIES ACT AT THE STATE AND LOCAL LEVEL.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,no,1,1,5109023937
863608564,Shoulder 360 Inc,CA,La Crescenta,91214,E03,E,990,2023,1626764,1494534,500468,1623900,0,99.82,0,0,0,0,0,,$1M-$2M,90-100%,34.2,11,1,N/A,"The purpose of this Society shall be to promote, encourage, foster and advance the art and science of orthopaedic medicine, with a focus on shoulder surgery and matters related thereto; to establish a forum for free discussion and teaching of orthopaedic methods and principles among the members; to advance patient care and research affecting the practice of orthopaedic surgery in the United States of America; and to inform the public as to the nature of orthopaedic medicine in the total health care system",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,uncertain,1,1,3109096977
933886342,New Yorkers for Local Businesses,CA,San Rafael,94901,P20,P,990,2023,1611671,43817,1567854,1610030,0,99.9,0,,0,0,0,,$1M-$2M,90-100%,,11,1,https://www.nyforlocalbusinesses.com/,"To promote the common good and social welfare of the people of New York by educating the public and advocating on important issues of public policy, including issues related to consumers, franchisees, local restaurants, and workers.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,uncertain,1,1,4153896800
954056457,PROJECT IMPACT INC,CA,LYNWOOD,90262,P300,P,990,2022,1602026,1663015,718597,1602026,0,100,0,,0,0,0,,$1M-$2M,90-100%,70.8,11,1,WWW.PROJECTIMPACTUSA.ORG,"PROJECT IMPACT IS A COMPHREHENSIVE JUNENILE DIVERSION PROGRAM PROVIDING DELINQUENCY PREVENTATION SERVICES TO PRE-DELINQUENT YOUTHS, AND THEIR FAMILIES.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,no,1,1,3106319763
821520057,JOSEPH MINISTRY INTERNATIONAL,CA,ORANGEVALE,95662,P20,P,990,2024,1593741,1630165,15234,1593741,0,100,0,214,0,0,0,,$1M-$2M,90-100%,,11,1,,"TO PROVIDE ESSENTIAL HUMANITARIAN AID, INCLUDING FOOD, CLOTHING, MEDICAL SUPPLIES, AND TOYS, TO SUPPORT AND ASSIST MISSIONS IN THE FORMER SOVIET UNION, FOCUSING ON AIDING NEEDY CHILDREN AND INDIVIDUALS.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,uncertain,1,1,9166004454
873317278,LIFELINE INSTITUTE INC,CA,VISTA,92084,P11,P,990,2022,1588411,29293,1569021,1567469,0,98.68,0,,0,0,0,,$1M-$2M,90-100%,,11,1,N/A,"THE ORGANIZATION IS A COMMUNITY-BASED ORGANIZATION DEDICATED TO CHARITABLE PURPOSES. THE ORGANIZATION PROVIDES REAL AND PERSONAL PROPERTIES FOR THE USE AND ENJOYMENT OF OTHER NONPROFIT PUBLIC BENEFIT ORGANIZATIONS AND IS DEDICATED TO REDUCING THE BURDENS OF GOVERNMENT AND SERVING THE POOR, DISTRESSED AND UNDERPRIVILEGED POPULATIONS IN SAN DIEGO COUNTY.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,uncertain,1,1,7607264900
202349106,Donate Life California,CA,West Sacramento,95691,E65,E,990,2023,1571214,793774,3839984,1525325,0,97.08,3,6,1,1,5000,2024,$1M-$2M,90-100%,52.6,11,1,donatelifecalifornia.org,Donate Life Californa is a nonprofit organ and tissue donor registry dedicated to saving the lives of thousands of Californians awaiting life-saving transplants. The registry is used by the states organ and tissue recovery organizations.,1,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,0,1,9166786044
811409201,FRIENDSHIPS FOR HOPE INC,CA,NATIONAL CITY,91950,P84,P,990,2023,1549299,294867,160384,1549299,0,100,3,,2,1,50000,2023,$1M-$2M,90-100%,,11,1,,TO AID IN THE ASSIMILATION OF IMMIGRANTS AND REFUGEES INTO THE COMMUNITY,1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,0,1,6193955087
882190722,THE MJH CHARITABLE FOUNDATION,CA,SAN DIMAS,91773,P20,P,990,2022,1512932,0,1512932,1505000,0,99.48,0,0,0,0,0,,$1M-$2M,90-100%,,11,1,N/A,THE SPECIFIC MISSION IS TO ERADICATE POVERTY AND DISTRESS IN UNDERPRIVILEGED COMMUNITIES THROUGHOUT LOS ANGELES COUNTY.,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,9098168335
421583301,THE APPLE ORCHARD,CA,CULVER CITY,90232,P80,P,990,2023,1490134,1233017,503543,1490134,0,100,0,0,0,0,0,,$1M-$2M,90-100%,,11,1,N/A,"THIS ORGANIZATIONS PRIMARY PURPOSE IS TO PROVIDE GRAFITTI CLEAN-UP, TRASH ABATEMENT AND OTHER QUALITY OF LIFE IMPROVEMENT IN THE LOS ANGELES AREA AND SURROUNDING COMMUNITIES.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,4246034097
800597884,Home Preservation & Prevention Inc,CA,Long Beach,90808,P51,P,990,2023,1472787,1412782,16634,1436788,35983,97.56,0,24,0,0,0,,$1M-$2M,90-100%,,11,1,HPPCARES.ORG,HUD APPROVED HOUSING COUNSELING AGENCY PROVIDING FINANCIAL EDUCATION FOCUSED ON EFFECTIVE DEBT MANAGEMENT PROVIDNG CONSUMERS WITH TOOLS AND RESOURCES AND CREATING AFFORDABLE HOUSING OPPORTUNITIES TO BECOME POTENTIAL HOME BUYERS,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,uncertain,1,1,5622818861
841913047,LADMC FOUNDATION,CA,LOS ANGELES,90026,E70,E,990,2024,1460775,784802,3963066,1460775,0,100,3,1,1,1,2500,2023,$1M-$2M,90-100%,5.1,11,1,N/A,"LADMC FOUNDATIONS GOAL IS TO TRAIN LOS ANGELES COUNTY NURSES IN LEADERSHIP AND HEALTH CARE, AND TO PROMOTE HEALTH AND WELLNESS EDUCATION TO COMMUNITIES AND NEIGHBORHOODS THROUGHOUT THE LOS ANGELES REGION.",1,1,1,1,1,1,1,,,,,,0,0,0,0,1,no,0,1,6263310781
455393091,CORRECTIVE CARE MINISTRY,CA,CLAREMONT,91711,P20,P,990,2023,1460127,1462688,3455,1460127,0,100,0,13,0,0,0,,$1M-$2M,90-100%,284.8,11,1,N/A,"TO PROVIDE FREE MEDICAL, HUMANITARIAN AND CHRISTIAN RESOURCES FOR THE IMPROVEMENT OF THE LIVES OF THE NEEDY AND SICK POPULATION OF THE USA.",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,5098338330
392064653,WORLD HARVEST CHARITIES AND FAMILY SERVICES,CA,LOS ANGELES,90019,P85,P,990,2024,1434982,583264,0,1434982,0,100,0,1400,1,1,250,2022,$1M-$2M,90-100%,618.4,11,1,,WE NBSP;DISTRIBUTED NBSP;OVER NBSP;200 NBSP;MILLION NBSP;POUNDS NBSP;OF NBSP;FOOD NBSP;THROUGH NBSP;OUR NBSP;FOOD NBSP;BANK NBSP;AND NBSP;PARTNERED NBSP;WITH NBSP;200 NBSP;LOCAL NBSP;ORGANIZATIONS,0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,0,1,2137462227
943075783,SAN FRANCISCO & BAY AREA KOREA CENTER,CA,SAN FRANCISO,94102,P84Z,P,990,2023,1430781,176128,2888005,1420392,0,99.27,0,12,0,0,0,,$1M-$2M,90-100%,60.4,11,1,www.sfkorean.org,"THE MISSION OF THE KOREAN AMERICAN COMMUNITY CENTER OF SAN FRANCISCO AND BAY AREA (KACCSF) IS TO BUILD COMMUNITY AND ENHANCE THE QUALITY OF LIFE FOR THE KOREAN AMERICAN RESIDENTS IN THE SAN FRANCISCO AND BAY AREA. WE ARE A PLACE-BASED COMMUNITY DEVELOPMENT ORGANIZATION SERVING PRIMARILY THE SAN FRANCISCO NEIGHBORHOOD, AND ALSO SERVE THE BAY AREA. WE ARE A COMMUNITY DEVELOPMENT ORGANIZATION WITH MANY ROLES - AS NEIGHBORHOOD ADVAOCATES FOR KOREAN AMERICANS, ORGANIZERS AND PLANNERS OF VARIOUS KOREAN AMERICAN HERITAGE CELEBRATIONS, AND AS EDUCATION CENTER FOR KOREAN AMERICAN CULTURES INCLUDING THE KOREAN LANGUAGE AND THE VARIOUS KOREAN ARTS. KOREAN AMERICAN COMMUNITY OF SAN FRANCISCO & BAY AREA ASSISTS ALL KOREAN AMERICANS IN SAN FRANCISCO AND THE BAY AREA AND PROMOTES THE CULTURAL, SOCIAL, EDUCATIONAL, AND ECONOMIC PROGRESS OF KOREAN AMERICAN. THE ORGANIZATION BUILDS AN ALTERNATIVE COMMUNITY WHERE KOREAN AMERICANS CAN BRIDGE THE CULTURAL GAP BETWEEN KOREAN AMERICANS AND OTHER ETHNIC COMMU",0,1,1,1,1,0,0,,,,,,0,0,0,0,1,no,1,1,4152521346
770035928,MERCY MEDICAL CENTER MERCED FOUNDATION,CA,MERCED,95340,E11,E,990,2022,1425915,1751064,2971106,1384796,0,97.12,0,75,1,1,10000,2022,$1M-$2M,90-100%,-38.2,11,1,WWW.SUPPORTMERCYMERCED.ORG,"TO PROVIDE FINANCIAL ASSISTANCE AND SUPPORTING SERVICES FOR DIGNITY HEALTH (DBA: MERCY MEDICAL CENTER MERCED). THE FINANCIAL SUPPORT PROVIDED BY THE FOUNDATION CONTRIBUTES TO THE HOSPITAL'S MISSION BY MAKING THE HEALING PRESENCE OF GOD KNOWN IN OUR WORLD BY IMPROVING THE HEALTH OF THE PEOPLE WE SERVE, ESPECIALLY THOSE WHO ARE VULNERABLE, WHILE WE ADVANCE SOCIAL JUSTICE FOR ALL.",0,1,1,1,1,0,0,,,,,,0,0,0,0,0,yes,0,1,2093846734
270824320,Mitchell Thorp Foundation,CA,Carlsbad,92008,P60,P,990,2023,1386273,618174,1966473,1386273,0,100,3,105,2,2,6000,2023,$1M-$2M,90-100%,,11,1,mitchellthorp.org,To provide support and financial assistance to families with children suffering from life threatening diseases and disorders.,1,1,1,1,1,0,0,,,,,,0,0,0,0,0,no,0,1,7606038853
