EIN,Foundation
453611066,AARON'S FOUNDATION INC
920166198,Alaska Airlines Foundation
953294377,ALBERT AND ELAINE BORCHARD
131623877,ALFRED P SLOAN FOUNDATION
943019660,ALLETTA MORRIS MCBEAN CHARITABLE TRUST
330340635,ALLIANCE HEALTHCARE FOUNDATION
844571035,ALLY CHARITABLE FOUNDATION
131623879,ALTMAN FOUNDATION
541759773,AMERICAN WOODMARK FOUNDATION INC
953367511,ANN JACKSON FAMILY FOUNDATION
952114455,ANN PEPPERS FOUNDATION
742132676,Anschutz Family Foundation
843049720,ARCONIC CHARITABLE FOUNDATION II
383332791,ARCUS FOUNDATION
134200689,AVANGRID FOUNDATION INC
350882856,BALL BROTHERS FOUNDATION
141810419,BANK OF GREENE COUNTY
386151026,BARSTOW FOUNDATION
262667384,BCM Foundation
943345967,BELLA VISTA FOUNDATION
043365869,BERKSHIRE BANK FOUNDATION INC
330046140,BESS J HODGES FOUNDATION
383853264,BISSELL Pet Foundation
941196182,BOTHIN FOUNDATION
262992045,BRITTINGHAM FAMILY FOUNDATION
821511283,CARESTAR FOUNDATION
746078530,Carl C Anderson Sr and Marie Jo Anderson
131628151,CARNEGIE CORPORATION OF NEW YORK
381211227,CHARLES STEWART MOTT FOUNDATION
562582815,CITIZENS PHILANTHROPIC FOUNDATION INC
251086799,CLAUDE WORTHINGTON BENEDUM FOUNDATION
061057387,CONNECTICUT HEALTH FOUNDATION INC
943100217,CONRAD N HILTON FOUNDATION
680208980,Dean and Margaret Lesher Foundation
416034786,DELUXE CORPORATION FOUNDATION
943086271,DERMODY PROPERTIES FOUNDATION
830590696,DOGWOOD HEALTH TRUST
472746460,DOMINION ENERGY CHARITABLE FOUNDATION
823691183,DORIS DUKE CHARITABLE FOUNDATION INC
366068724,Dr Scholl Foundation
912172351,DRAPER RICHARDS KAPLAN FOUNDATION
954856207,DURFEE FOUNDATION
510155772,E RHODES AND LEONA B CARPENTER
952500545,EARL B & LORAINE H MILLER FOUNDATION
461702755,EDWARDS LIFESCIENCES FOUNDATION
820548352,ESL CHARITABLE FOUNDATION
382143122,ETHEL AND JAMES FLINN FOUNDATION
436064859,EWING MARION KAUFFMAN FOUNDATION
452599017,FARMINGTON BANK COMMUNITY
300219424,FAUQUIER HEALTH FOUNDATION
046131201,FIDELITY FOUNDATION
943301999,Firedoll Foundation
421444870,FRED MAYTAG FAMILY FOUNDATION
581709417,GEORGIA POWER FOUNDATION INC
391577137,GREEN BAY PACKERS FOUNDATION
237376427,Helen V Brach Foundation
256065959,HILLMAN FAMILY FOUNDATIONS
953924667,HONDA USA FOUNDATION
746013920,Houston Endowment Inc
300527867,INTREPID PHILANTHROPY FOUNDATION
770229243,JAMES S BOWER FOUNDATION
237093598,John D and Catherine T MacArthur Foundation (Consolidated)
866052431,JOHN F LONG FOUNDATION INC
953759369,JOHN GOGIAN FAMILY FOUNDATION
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION
621322826,JOHN TEMPLETON FOUNDATION
776154307,June G Outhwaite Charitable Trust
770559337,JW & HM GOODMAN FAMILY CHARITABLE
591885997,KOCH FOUNDATION
941624987,KORET FOUNDATION
680237238,LEO M SHORTINO FAMILY FOUNDATION
061479957,LIBERTY BANK FOUNDATION INC
141893520,LIBERTY MUTUAL FOUNDATION INC
350868122,LILLY ENDOWMENT INC
366108775,LLOYD A FRY FOUNDATION
351813228,Lumina Foundation for Education Inc
237456468,M J MURDOCK CHARITABLE TRUST
043722125,Majestic Realty Foundation
756015322,Meadows Foundation Inc
930806316,MEYER MEMORIAL TRUST
364336415,Michael & Susan Dell Foundation
363556764,MIDCONTINENT FOUNDATION
521700855,MITSUBISHI ELECTRIC AMERICA FOUNDATION
466854005,MONTANA HEALTHCARE FOUNDATION
830590263,MOTHER CABRINI HEALTH FOUNDATION INC
942601172,Nancy Buck Ransom Foundation
135626345,NEW YORK FOUNDATION
300127892,NEW YORK STATE HEALTH FDN
562453619,NEWALLIANCE FOUNDATION INC
356644088,Nina Mason Pulliam Charitable Trust
386083080,OLESON FOUNDATION
137029285,OPEN SOCIETY INSTITUTE
436203035,OPPENSTEIN BROTHERS FOUNDATION
416019050,OTTO BREMER TRUST
822797338,PD Jackson Family Foundation
951661675,PFAFFINGER FOUNDATION
870643877,Philanthropy International
900653262,PHYLLIS C WATTIS FOUNDATION
223125880,PSEG FOUNDATION INC
540597601,Public Welfare Foundation Inc
