address,city,state,foundation_count,combined_assets,combined_grants,foundation_names,likely_company
PO BOX 653067,DALLAS,TX,234,2253776340.0,136567870.0,A W FARWELL FOR CHGO HOME DESTITUTE CHRIPPLED | ADOLF & KAETHE WECHSLER MEMORIAL FUND | AGNES CHURCH ET AL TR UD | ALBERT E HALE TUW-E THOMAS ET AL | ALEXANDER MANUEL P TRUW | ALFRED L TARBOX TRUST | ALICE PEIRCE SYLVESTER TRUST | ALVERDA E ZIMMER CHARITABLE TRUST | ANNA ELIZABETH METZ MEMORIAL TRUST | ATKINS GRACE UW FBO CHARITIES | AVON VOLUNTEER FIRE DEPT TR UA | BAILEY FOUNDATION | BARCLAY WILLIAM TR UW | BEARDSLEY MARY W TR UW ART 30 | BENNETT CLARA TRUW | BILL PAULINE TRUST UA | BOWDEN WIL...,Bank of America (Trust)
P O BOX 1802,PROVIDENCE,RI,137,938983173.0,52197154.0,ALBERT E HALE TUW-E THOMAS ET AL | ALEXANDER MANUEL P TRUW | ALFRED L TARBOX TRUST | ANNA ELIZABETH METZ MEMORIAL TRUST | AVON VOLUNTEER FIRE DEPT TR UA | BAILEY FOUNDATION | BARCLAY WILLIAM TR UW | BEARDSLEY MARY W TR UW ART 30 | BENNETT CLARA TRUW | BILL PAULINE TRUST UA | BOWDEN WILLIAM H | CAPEN CHARLES A SUCC TRUST UW | CARL E DANFORTH | CARRIE G DANFORTH FUND | CARROLL K STEELE TUW ARTICLE 6 | CEILA S PRATT TRUST | CHARLES H MULLLIGAN TUW-SPFD HOM | CHARLES W HOLTZER FUND NO 1 | CLARK MAY ...,Unknown - needs research
6325 S RAINBOW BLVD STE 300,LAS VEGAS,NV,136,1203973305.0,84068353.0,ANDRINA GROVE HAGAN TUA | ANGELOS MARIE TUW | ARTHUR & JOSEPHINE BEYER TRUST | ARTHUR B LUTHER FOUNDATION | ATKINS C FBO BENEVOL ASSOC 4947 TUW | AUTHOR & JOSEPHINE CAMPBELL BETER FOUNDATION | BALLEW CHARITABLE TRUST | BARNES BRODA O TUA | BESTENLEHNER D AND F EDUCATIONAL TR | BLAKE B FBO AZ SUNSET HOME TUW | BODE JESSIE MAE CHARITABLE TRUST | BROWN G FBO OXFORD CHAPEL TUW | BURKS FLR & ADELAIDE TUW | BURROWS JMB AND SMB FAMILY TR | BUSH CJ TUW | BUTLER GWIN S MEMORIAL FUND TUW | C L ROBBINS TUW...,Unknown Trust Company
FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,96,11466592907.0,728358337.0,849 Foundation | A to Z Impact Foundation | Acahand Foundation | Adobe Foundation | Afeyan Family Foundation | BAND Foundation | BVS Family Foundation | Culley Carlson Foundation | David & Janet Polak Foundation | DXC Foundation | Edward E Haddock Jr Family Foundation | Eight Torches Foundation | Eutopia Foundation | Foerster Bernstein Foundation | Gennadius Foundation | Hackett Family Foundation | Harris Family Charitable Foundation | Illumina Corporate Foundation | Intelligent Future Foundatio...,Foundation Source
10 S DEARBORN IL1-0111,CHICAGO,IL,60,2256116793.0,130303810.0,A G COX CHARITY TRUST XXXXX9001 | A J HUMPHREYS TRUST XXXXX9002 | ALICE SHAW FARBER TRUST UW CHARITIES | ALLEN FOUNDATION TRUST XXXXX1001 | ANAHATA FOUNDATION XXXXX5004 | BERNICE H SMITH FOUNDATION XXXXX8006 | CHARLES M CUTTS CHARITABLE TRUST XXXXX2005 | DARLENE SCHAEFER CHARITABLE TRUST XXXXX8009 | DEAN C ZUTES CHARITABLE TRUST XXXXX4007 | DUNWIDDIE FDN XXXXX9001 | EDWARD M BRONNER TRUST FOR ROCHESTER COMM | EMY-LOU BIEDENHARN FOUNDATION TRUST XXXXX2008 | ENGLISH FENTON CHARITABLE TRUST XXXXX00...,JPMorgan Chase
116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,55,1231918164.0,70402801.0,ABRAHAM L HUFF TRUST TW | ALBERT M PARVIN TW | BENJAMIN & ETHEL ANDREWS | BERLIN & WISCH ENDOWMENT FUND | BETTY LOU YOUNT CHARITABLE FOUNDATION | DAVID HENRY CHARITABLE TRUST | E TINKER FOR PLEASANT VALLEY CEMETERY | EDITH C WILDER TW FBO FNDTN | EDWIN TINKER | EMAGENE K WHEELER TRUST | ERIK THUNE FBO E THUNE LEGAT IRR | FRED BIEDERMAN CHARITABLE TRUST | FREDERICK L CURTIS MEMORIAL FUND | FREDERICK P HARTMAN CHARITABLE TRUST | GATES F YOUNG TR UW-U | GEORGE D MARTIN | HAROLD D & ELEANOR G HOOPMA...,PNC Bank
PO BOX 505 MAC H0006-092,SAINT LOUIS,MO,42,484028662.0,30321217.0,ARTHUR & JOSEPHINE BEYER TRUST | ARTHUR B LUTHER FOUNDATION | BUSH CJ TUW | C K BLANDIN RESIDUARY TRUST | CHILD DEVELOPMENT CENTER | DAHLSTROM AXEL A TUW | DONOVAN A FBO ET AL TUW | ELISE M MALLEY TUA | ELSIE M MALLEY CHARITABLE C | FERREIRA MANUEL R TUW | FOUGERAY S F CORINTHIAN 386 TW | GARBER L A R GARBER MEM FD TW | GEORGE AND CORRIE BROWN TRUST | GIBSON T HARRISON TD | HARLING MAURICE CHARITABLE TUA | HARRY BORNS TRUST | HAYES RUTH & JACQUE TUA | HENDRICKS AXEL TUW | JABES EDWARD TUW | JAME...,UMB Bank
9000 SOUTHSIDE BLVD BLDG 400 FL9-40,JACKSONVILLE,FL,33,43228073.0,1891281.0,AGNES CHURCH ET AL TR UD | ALVERDA E ZIMMER CHARITABLE TRUST | CHARLES & RENA SELDERS FOUNDATION | CLARK FOUNDATION | COCHRAN A&A UA LE DRISCALL ET | EP CHARLTON CHARITY TRUST NO 4 | GEN WM A SMITH SUB-TR UW | GEORGE FISHER & AUGUSTA FISHER WORK FD | GEORGE W DAVENPORT TUW | H J MUNNERLYN-RES CHARITABLE TR | HALL FDN TR 1 UW ARTICLE 20TH C | HALL FDN TR 2 UW ARTICLE 20TH D | HALL FDN TR 3 UW ARTICLE 20TH E | HALL FDN TR 4 UW ARTICLE 20TH F | HALL R O TR 2 BO HALL FDN | HELEN GRIFFIN CHARITABLE T...,Unknown - needs research
BANK OF AMERICA NA PO BOX 831,DALLAS,TX,25,150599899.0,8993476.0,A M PATE JR CHARITABLE TRUST | A P GIANNINI A I B ENDOWMENT | A P GIANNINI EDUCATIONAL ENDOWMENT | ADOLF & KAETHE WECHSLER MEMORIAL FUND | ALICE PEIRCE SYLVESTER TRUST | COURTNEY S TURNER CHARITABLE TRUST | CRYSTELLE WAGGONER CHARITABLE TRUST | DOROTHY BENTON CHARITABLE TRUST | EDWARD F SWINNEY TRUST FOR EMPLOYEES | EMMA C GEHR FOUNDATION | GIANNINI-SCATENA | HALE DAVIS FOUNDATION | HARRY G ENGLAND TESTAMENTARY TRUST | IR TUW ED F SWINNEY | J M PICKARD CHARITABLE TRUST | LA SERTOMA INTERNATIONAL...,Unknown - needs research
C/O NBT BANK NA 52 S BROAD ST,NORWICH,NY,23,70163693.0,4283605.0,ARGERSINGER CHARITABLE TRUST | CHARLES BURR CHARITABLE TRUST | CLARA M ROBBINS CHARITABLE TRUST | CO-TW L ROBINSON PARA 6 O | EVELYN S EMERSON TRUST | FOOTE-WHITNEY MEMORIAL FUND TR UW | FRANK E PERRELLA CHARITABLE TRUST | HAROLD & HANNA BROOKS CHARITABLE TRUST | HAZEL L WILBUR CHARITABLE TRUST | HERBERT H & MARIEA L BROWN CHARITABLE TR FU | KENNETH M AXTELL JR FOUNDATION | LOUIS E & FRANCES B BEATTY CHARITABLE | MOTT CHARITABLE TR | PREFERRED MUTUAL INSURANCE COMPANY FOUNDATION | RAYMOND L & AL...,NBT Bank
