company_name,website,hq_address,city,state,foundations_managed,combined_assets,combined_grants,key_contact_name,key_contact_title,key_contact_email,key_contact_linkedin,source,notes
Foundation Source,foundationsource.com,501 Silverside Road,Wilmington,DE,2288,59010500000,4320200000,,,,,Database + Web,"Nation's largest dedicated manager. 4,000+ clients per website. $26B AUM per website."
PNC Bank NA,pnc.com,500 First Avenue,Pittsburgh,PA,1150,62490400000,4216000000,,,,,Database,Hawthorn Private Bank philanthropy services. #4 for foundation OCIO.
US Bank NA,usbank.com,800 Nicollet Mall,Minneapolis,MN,628,24604000000,1355000000,,,,,Database,Combined US Bank variants. Charitable Services since 1991.
Huntington National Bank,huntington.com,41 S High St,Columbus,OH,431,12970700000,839600000,,,,,Database,Family Office services. Strong Midwest presence.
KeyBank,key.com,127 Public Square,Cleveland,OH,335,6340000000,378000000,,,,,Database,Combined KeyBank variants.
Northern Trust Company,northerntrust.com,50 S LaSalle St,Chicago,IL,231,26430000000,2802400000,,,,,Database,Foundation & Institutional Advisors practice. $450B Wealth AUM.
NBT Bank NA,nbtbank.com,52 S Broad St,Norwich,NY,181,4516900000,295800000,,,,,Database,Regional bank strong in upstate NY.
Old National Wealth Management,oldnational.com,1 Main St,Evansville,IN,173,7121000000,512000000,,,,,Database,Midwest regional.
Branch Banking and Trust (Truist),truist.com,214 N Tryon St,Charlotte,NC,135,1459000000,77000000,,,,,Database,Combined BB&T variants.
Wells Fargo Bank NA,wellsfargo.com,420 Montgomery St,San Francisco,CA,114,16464800000,1033300000,,,,,Database,Private Bank Philanthropic Services.
Bessemer Trust,bessemertrust.com,630 Fifth Avenue,New York,NY,90,3248300000,337000000,,,,,Database + Web,"$200B+ total AUM. 3,000+ families/foundations/endowments. $10M minimum."
JP Morgan Chase Bank,jpmorgan.com,383 Madison Ave,New York,NY,92,4812700000,240700000,,,,,Database,Private Bank Philanthropy services.
Glenmede Trust,glenmede.com,1650 Market St Suite 1200,Philadelphia,PA,81,2628000000,222200000,,,,,Database + Web,Founded 1956 for Pew Trusts. $40B+ total AUM.
Arden Trust Company,ardentrust.com,1100 N Market St,Wilmington,DE,60,5420000000,354000000,,,,,Database,Part of Kestra Financial ($92B AUA).
M&T Trust Company,mtb.com,One M&T Plaza,Buffalo,NY,101,792100000,44600000,,,,,Database,Combined M&T variants.
Commerce Trust Company,commercebank.com,1000 Walnut,Kansas City,MO,44,1312100000,79600000,,,,,Database,Strong in Kansas City market.
Rockland Trust Company,rocklandtrust.com,288 Union St,Rockland,MA,42,354100000,16200000,,,,,Database,Massachusetts regional.
Wilmington Trust,wilmingtontrust.com,1100 N Market St,Wilmington,DE,39,1300700000,102900000,,,,,Database,Part of M&T Bank.
Deutsche Bank Trust,db.com,60 Wall St,New York,NY,37,4795900000,304800000,,,,,Database,New York focused.
Whittier Trust,whittiertrust.com,177 E Colorado Blvd,Pasadena,CA,140,20000000000,37300000,,,,,Database + Web,Oldest/largest multi-family office in the West. $20B+ AUM per website.
Rockefeller Philanthropy Advisors,rockpa.org,6 W 48th St,New York,NY,0,0,500000000,,,,,Web,Manages $500M annual giving. 100+ fiscal sponsor projects. $4B+ granted.
Sterling Foundation Management,sterlingfoundations.com,,Great Falls,VA,0,0,0,,,,,Web,Oldest national firm (since 1998). CRT specialists.
Fiduciary Trust Company,fiduciary-trust.com,175 Federal St,Boston,MA,15,719700000,45900000,,,,,Database + Web,$34B total AUM. Founded 1885. Being acquired by GTCR.
National Philanthropic Trust,nptrust.org,165 Township Line Rd,Jenkintown,PA,0,0,5870000000,,,,,Web,Largest independent DAF sponsor. $5.87B granted 2024.
Pacific Foundation Services,pfs-llc.net,1660 Bush St Suite 300,San Francisco,CA,12,1077400000,52800000,,,,,Database + Web,Acquired by Foundation Source June 2025. $1B+ annual grantmaking.
