foundation_name,ein,assets,annual_grants,grantee_count,address,city,state,tax_year,officers,office_match
WALTER S JOHNSON FOUNDATION,237003595,"111,397,435","5,190,000",59,505 MONTGOMERY STREET STE 1200,SAN FRANCISCO,CA,2023,NATE BRUCKNER (PRESIDENT),San Francisco Office
THE CONFIDENCE FOUNDATION,953500483,"93,173,301","4,075,933",237,177 E COLORADO BLVD 800,PASADENA,CA,2023,CHEYENNA WHITTIER (PRESIDENT/DIRECTOR),Pasadena HQ
WWW FOUNDATION,953694741,"90,381,467","3,426,894",168,177 E COLORADO BLVD 800,PASADENA,CA,2023,SHARON H BRADFORD (PRESIDENT),Pasadena HQ
FREELANDS FOUNDATION,473819627,"67,064,875","4,371,101",,100 W LIBERTY ST 750,RENO,NV,2023,"ELISABETH MURDOCH (TREASURER, DIRECTOR)",Reno Office
THE MERICOS FOUNDATION,953500491,"50,562,944","3,389,750",138,177 E COLORADO BOULEVARD SUITE 80,PASADENA,CA,2023,DONJA BLOKKER-DALQUIST (PRESIDENT),Pasadena HQ
ANN PEPPERS FOUNDATION,952114455,"42,771,908","1,851,000",37,177 E COLORADO BLVD 800,PASADENA,CA,2023,PHILIP A SWAN (PRESIDENT/DIRECTOR),Pasadena HQ
GOOD HOPE MEDICAL FOUNDATION,950782640,"40,402,425","1,991,000",26,177 E COLORADO BLVD 800,PASADENA,CA,2023,ASTRID HEPPENSTALL HEGER (Director),Pasadena HQ
LLWW FOUNDATION,953464689,"32,686,616","923,500",41,177 E COLORADO BLVD 800,PASADENA,CA,2023,LAURA-LEE W WOODS (PRESIDENT/DIRECTOR),Pasadena HQ
DRY CREEK FOUNDATION,823434244,"25,035,785","3,572,920",8,177 E COLORADO BLVD 800,PASADENA,CA,2023,"CHARLES KNOWLES (PRESIDENT, CHAIR OF THE BOARD)",Pasadena HQ
FAIRVIEW FOUNDATION,364684604,"22,514,799","370,000",13,505 MONTGOMERY ST 1200,SAN FRANCISCO,CA,2023,WENDY E JORDAN CO WHITTIER TRUST (PRESIDENT),San Francisco Office
THE MALOU FOUNDATION,873711062,"20,131,899","769,333",17,177 E COLORADO BLVD 800,PASADENA,CA,2023,LUCINDA HAMBLETON (PRESIDENT),Pasadena HQ
CAIN FAMILY 2022 CHARITABLE TRUST,921406293,"20,080,882",,,100 W LIBERTY STREET 890,RENO,NV,2023,WHITTIER TRUST COMPANY OF NV (Trustee),Reno Office
GK Grout Foundation,873709930,"19,942,458","769,333",3,177 E Colorado Blvd Suite 800,Pasadena,CA,2023,Libby Huyck (President),Pasadena HQ
