,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
366116535,THE ALLSTATE FOUNDATION,IL,"$77,865,078"," 2,182 ", 18 , 22 ,0,8474025000,WWW.ALLSTATEFOUNDATION.ORG,THOMAS J WILSON,CHAIRMAN & PRESIDENT,Intermediary Funders,1
046131201,FIDELITY FOUNDATION,MA,"$3,824,770,952"," 1,717 ", 18 , 49 ,0,6176467418,FIDELITYFOUNDATION.ORG,ROSS E SHERBROOKE,DIRECTOR/VICE PRESIDENT,Intermediary Funders,1
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,"$13,678,252,785"," 1,628 ", 417 , 137 ,2,6096276000,WWW.RWJF.ORG,KATHRYN S FULLER,TRUSTEE CHAIR,Intermediary Funders,1
131684331,THE FORD FOUNDATION,NY,"$16,791,366,964"," 1,609 ", 111 , 144 ,1,2125735000,WWW.FORDFOUNDATION.ORG,ERIC W DOPPSTADT,VP & CHIEF INVESTMENT OFFICER,Intermediary Funders,1
472746460,DOMINION ENERGY CHARITABLE FOUNDATION,VA,"$2,263,672"," 1,381 ", 19 , 25 ,0,8043396760,https://www.dominionenergy.com/about/our-company/charitable-foundation,HUNTER A APPLEWHITE,PRESIDENT,Intermediary Funders,1
381359264,WK Kellogg Foundation,MI,"$454,402,214"," 1,269 ", 334 , 169 ,6,2699681611,www.wkkf.org,ALANDRA WASHINGTON,PRESIDENT & CEO,Intermediary Funders,1
416019050,OTTO BREMER TRUST,MN,"$1,419,998,555"," 1,155 ", 74 , 23 ,1,6512278036,WWW.OTTOBREMER.ORG,CHARLOTTE JOHNSON,CO-CEO/TRUSTEE,Intermediary Funders,1
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,"$8,672,283,398"," 1,132 ", 38 , 60 ,3,3127268000,www.macfound.org,BUCK BETTEN,DIRECTOR,Intermediary Funders,1
141864317,TD CHARITABLE FOUNDATION,ME,"$8,961,309"," 1,080 ", 24 , 115 ,0,2073174829,HTTPS://WWW.TD.COM/US/EN/ABOUT-US/COMMUNITIES,MICHAEL CARBONE,PRESIDENT,Intermediary Funders,1
941655673,THE WILLIAM & FLORA HEWLETT FOUNDATION,CA,"$13,332,174,215"," 1,072 "," 1,160 ", 71 ,0,6502344500,WWW.HEWLETT.ORG,MARIANO-FLORENTINO CUELLAR,CHAIR,Intermediary Funders,1
