org_name,ein,mission_clarity,mission_structure,program_count,purpose_word_count,has_active_fundraiser,org_name_descriptive,one_liner
Roaring Fork Friends of the Theater Inc,841546404,2,1,5,0,1,1,Live theater productions and community engagement
Kahuli Leo Lea,843718571,1,1,3,21,1,1,Hawaiian music education and cultural preservation
City Lights Theater Co of San Jose Inc,770014788,2,1,5,0,1,1,Bold imaginative theater engaging audiences
North Country Children's Museum,900905305,1,1,6,18,1,1,Interactive hands-on learning for children ages 12 and under
Santa Cruz Museum of Natural History,942427733,1,1,8,14,1,1,Natural history museum connecting people to nature
Renaissance Performing Arts Association,341300583,1,1,3,18,1,1,Human connection through performing arts
San Luis Obispo Symphony Inc,952493144,1,1,6,18,1,1,Symphony orchestra and music education for central coast
Lake States Dairy Center Inc,352141464,1,1,3,13,1,1,Dairy industry education and agricultural transparency
History San Jose,237179176,2,1,6,20,1,1,Cultural heritage preservation and presentation
DreamWrights Youth and Family Theatre,232882835,1,1,4,16,1,1,Character building through community theater
The National Theatre Foundation,521014217,2,1,5,0,1,1,Theater education and preservation of theater history
Weston Ranch Foundation,710932352,1,1,5,31,0,0,Land and wildlife conservation in central Texas
West Virginia Public Broadcasting Foundation,550719285,1,1,6,12,1,1,Public broadcasting education and storytelling
Economic Fundamentals Initiative,833451365,1,1,2,12,1,0,Economics education for Eastern Europe
Makor Hebrew Foundation Inc,261937727,2,1,1,9,0,0,Hebrew sources research for faith traditions
Maryland Center for Construction Education,271363698,1,1,3,12,1,0,Construction career pathway development
Children First Education Fund,852428825,1,1,4,15,1,0,School choice scholarships for disabled students
