ein,org_name,website,state,ntee_code,mission_snippet,total_revenue,employee_count,new_icp_score
630907544,SMILE-A-MILE,WWW.SMILEAMILE.COM,AL,E86Z,"TO PROVIDE HOPE, HEALING OF THE SPIRIT, AND LOVE FOR THE WHOLE FAMILY DURING THEIR CHILDHOOD CANCER JOURNEY.",1993116.00,6,11
521720580,JEWISH HOME FOUNDATION OF NORTH JERSEY,WWW.JFNNJ.ORG,NJ,P75I,"DEVELOP THE LONG TERM VISION OF, AND PROVIDE AID AND SUPPORT TO THE NOT-FOR-PROFIT ORGANIZATIONS OF THE JEWISH HOME AT ROCKLEIGH, JEWISH HOME AND REHABILITATION CENTER, JEWISH HOME ASSISTED LIVING, JE",1967130.00,7,11
530196644,ALEXANDER GRAHAM BELL ASSOCIATION FOR,WWW.AGBELL.ORG,DC,P030,"THE ALEXANDER GRAHAM BELL ASSOCIATION WORKS GLOBALLY TO ENSURE THAT PEOPLE WHO ARE DEAF AND HARD OF HEARING CAN HEAR AND TALK. WE ACHIEVE OUR MISSION BY EMPOWERING PARENTS, TRAINING PROFESSIONALS AND ",1781590.00,10,11
841576338,THE MEMORIAL HEALTH SYSTEM FOUNDATION,WWW.UCHEALTHMEMORIALCARES.ORG,CO,E112,SEE SCHEDULE OTHE MISSION OF MEMORIAL HEALTH SYSTEM FOUNDATION IS TO PROVIDE PHILANTHROPIC RESOURCES TO ASSIST MEMORIAL HEALTH SYSTEM TO PROVIDE THE HIGHEST QUALITY HEALTH CARE. PHILANTHROPIC SUPPORT ,1686333.00,4,11
570541039,URBAN LEAGUE OF THE UPSTATE,WWW.URBANLEAGUEOFTHEUPSTATE.ORG,SC,P22Z,"THE URBAN LEAGUE OF THE UPSTATE HAS BEEN A DYNAMIC AND FORWARD-THINKING ORGANIZATION, STEADFASTLY COMMITTED TO BEING THE LEADING CHAMPION OF EMPOWERMENT FOR THE BLACK COMMUNITY. OUR PROGRAMMING DIRECT",1672615.00,6,11
330673009,HOMEAID AMERICA INC,WWW.HOMEAID.ORG,CA,P20Z,"HOMEAID'S MISSION IS TO HELP PEOPLE EXPERIENCING OR AT RISK OF HOMELESSNESS BUILD NEW LIVES THROUGH CONSTRUCTION, COMMUNITY ENGAGEMENT, AND EDUCATION.",1558665.00,6,11
461326364,MEDSHADOW FOUNDATION,MEDSHADOW.ORG,NY,E70,TO EDUCATE THE PUBLIC ABOUT THE RISKS AND BENEFITS OF MEDICINES.,1534924.00,9,11
822153990,REIMAGINE INC,WWW.LETSREIMAGINE.ORG,CA,P50,"REIMAGINE'S MISSION IS TO HELP ALL PEOPLE FACE ADVERSITY, LOSS, AND MORTALITY, AND CHANNEL THE HARD PARTS OF LIFE INTO MEANINGFUL ACTION AND GROWTH.",1497143.00,8,11
222585052,SCARC FOUNDATION INC,WWW.SCARCFOUNDATION.ORG,NJ,P120,"THE MISSION OF THE SCARC FOUNDATION, INC. IS TO RAISE FUNDS THAT WILL SUPPORT THE SERVICES THAT SCARC, INC. AND SCARC GUARDIANSHIP SERVICES, INC. PROVIDES TO INDIVIDUALS WITH DEVELOPMENTAL DISABILITIE",1496591.00,2,11
464102770,INMOTION,BEINMOTION.ORG,OH,E99,TO HELP PEOPLE WITH PARKINSON'S DISEASE FEEL BETTER EVERY DAY.,1491635.00,9,11
522028612,WASHINGTON AREA WOMEN'S FOUNDATION,WWW.THEWOMENSFOUNDATION.ORG,DC,P80,"WASHINGTON AREA WOMEN'S FOUNDATION IS A COMMUNITY-SUPPORTED FOUNDATION THAT INVESTS IN THE POWER OF WOMEN AND GIRLS OF COLOR IN THE WASHINGTON, DC AREA.",1489607.00,9,11
131624148,JAMES LENOX HOUSE ASSOCIATION INC,WWW.JLHAINC.ORG,NY,P73,"JAMES LENOX HOUSE ASSOCIATION (""ASSOCIATION"") PROVIDES HOUSING AND QUALITY SUPPORTIVE SERVICES TO OLDER ADULTS IN TWO RESIDENCES ON MANHATTAN'S UPPER EAST SIDE: JAMES LENOX HOUSE AND CARNEGIE EAST HOU",1468320.00,1,11
272081900,FOCUS MARINES FOUNDATION,FOCUSMARINES.ORG,MO,P80,TO EDUCATE AND EMPOWER VETERANS TO LIVE AN ENGAGED AND FULFILLING LIFE TO THE BEST OF THEIR ABILITY AFTER LEAVING THE MILITARY.,1306325.00,4,11
