ein,org_name,website,email,all_emails,source_page,confidence,error
630907544,SMILE-A-MILE,WWW.SMILEAMILE.COM,,,,none,
521720580,JEWISH HOME FOUNDATION OF NORTH JERSEY,WWW.JFNNJ.ORG,welcome@jfnnj.org,welcome@jfnnj.org,https://www.JFNNJ.ORG,high,
530196644,ALEXANDER GRAHAM BELL ASSOCIATION FOR,WWW.AGBELL.ORG,,,,none,Failed to fetch
841576338,THE MEMORIAL HEALTH SYSTEM FOUNDATION,WWW.UCHEALTHMEMORIALCARES.ORG,mhfoundation@uchealth.org,mhfoundation@uchealth.org,https://www.UCHEALTHMEMORIALCARES.ORG,high,
570541039,URBAN LEAGUE OF THE UPSTATE,WWW.URBANLEAGUEOFTHEUPSTATE.ORG,,,,none,
330673009,HOMEAID AMERICA INC,WWW.HOMEAID.ORG,user@domain.com,user@domain.com,https://www.HOMEAID.ORG,high,
461326364,MEDSHADOW FOUNDATION,MEDSHADOW.ORG,,,,none,
822153990,REIMAGINE INC,WWW.LETSREIMAGINE.ORG,,,,none,
222585052,SCARC FOUNDATION INC,WWW.SCARCFOUNDATION.ORG,,,,none,
464102770,INMOTION,BEINMOTION.ORG,,,,none,Failed to fetch
522028612,WASHINGTON AREA WOMEN'S FOUNDATION,WWW.THEWOMENSFOUNDATION.ORG,info@wawf.org,info@wawf.org,https://www.THEWOMENSFOUNDATION.ORG,high,
131624148,JAMES LENOX HOUSE ASSOCIATION INC,WWW.JLHAINC.ORG,user@domain.com,user@domain.com,https://www.JLHAINC.ORG,high,
272081900,FOCUS MARINES FOUNDATION,FOCUSMARINES.ORG,jennifer@focusmarines.org,jennifer@focusmarines.org,https://www.FOCUSMARINES.ORG,high,
311287785,CANCER SUPPORT COMMUNITY - GREATER,WWW.CANCERSUPPORTCINCINNATI.ORG,,,,none,Failed to fetch
824397332,AMERICAN WARRIOR ASSOCIATION,WWW.AMERICANWARRIORASSOCIATION.ORG,,,,none,
465399558,ACCESS OPPORTUNITY,https://www.accessopportunity.org/,info@accessopportunity.org,info@accessopportunity.org;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com,https://www.accessopportunity.org/,high,
237398695,REGIONAL EMS COUNCIL OF NYC INC,WWW.NYCREMSCO.ORG,ctung@nycremsco.org,ctung@nycremsco.org;gkeane@nycremsco.org;mklemm@nycremsco.org;dtan@nycremsco.org;mmercedes@nycremsco.org;jguzman@nycremsco.org;jraneri@nycremsco.org,https://nycremsco.org/about-us/,high,
454766711,TENDERLOVE COMMUNITY CENTER,www.tenderlovecommunitycenter.org,,,,none,
820927815,BASIN DREAM CENTER FOR ORPHANS,basindreamcenterfororphans.org,,,,none,Failed to fetch
231365188,BETHANY CHILDRENS HOME,WWW.BETHANYHOME.ORG,lbracken@bethanyhome.org,lbracken@bethanyhome.org;info@bethanyhome.org;bethanyreferral@bethanyhome.org,https://www.BETHANYHOME.ORG,high,
561762824,CHILDREN'S FLIGHT OF HOPE,WWW.CHILDRENSFLIGHTOFHOPE.ORG,user@domain.com,user@domain.com,https://www.CHILDRENSFLIGHTOFHOPE.ORG,high,
743087284,THE TANZANIAN CHILDRENS FUND INC,www.tanzanianchildrensfund.org,user@domain.com,user@domain.com,https://www.tanzanianchildrensfund.org,high,
222692940,THE COMMUNITY HOSPICE FOUNDATION INC,WWW.GIVETOCOMMUNITYHOSPICE.ORG,info@givetocommunityhospice.org,info@givetocommunityhospice.org,https://www.GIVETOCOMMUNITYHOSPICE.ORG,high,
911074716,EMERGENCY SUPPORT SHELTER,HTTPS://WWW.ESSHELTER.COM/,info@esshelter.com,info@esshelter.com;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com,https://www.ESSHELTER.COM/,high,
592543362,HOSPICE FOUNDATION OF PALM BEACH COUNTY,WWW.PBIHF.ORG,,,,none,Failed to fetch
222595584,ANDOVER HEBRON MARLBOROUGH YOUTH,AHMYOUTH.ORG,,,,none,Failed to fetch
431886096,SHELTERING WINGS INC,www.sheltering-wings.org,,,,none,
813014160,HOWARD COUNTY VETERANS FOUNDATION INC,HTTPS://WWW.HOWARDCOUNTYVETERANS.ORG,,,,none,
814282343,CHILDREN IN CONFLICT INC,CHILDRENINCONFLICT.ORG,,,,none,
208156916,FAMILIES BEHIND THE BADGE CHILDREN'S,HTTP://WWW.FBBCF.ORG,mackenzie@fbbcf.org,mackenzie@fbbcf.org;info@fbbcf.org;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com,http://www.FBBCF.ORG,high,
043610154,COLLIER COUNTY HUNGER & HOMELESS,WWW.COLLIERHOMELESSCOALITION.ORG,,,,none,Failed to fetch
205254885,VAIL VETERANS FOUNDATION INC,WWW.VAILVETERANSPROGRAM.ORG,,,,none,Failed to fetch
521826860,NATIONAL COALITION FOR HOMELESS VETERANS,www.nchv.org,,,,none,Failed to fetch
593060139,COVENANT HOSPICE FOUNDATION INC,WWW.CHOOSECOVENANT.ORG/HOSPICE,,,,none,Failed to fetch
222720958,United Methodist Homes of New Jersey,www.umcommunities.org,,,,none,Failed to fetch
593598933,FRIENDS OF FOSTER CHILDREN FOREVER INC,HTTPS://FOSTERINGSUCCESS.NET/,,,,none,Failed to fetch
582139259,Partners for Children & Families Inc,www.pfcfmc.org,,,,none,Failed to fetch
823434643,South End Childrens Cafe Inc,www.southendchildrenscafe.org,,,,none,Failed to fetch
204191319,AGAPE CHILDREN'S MINISTRY INC,WWW.AGAPECHILDREN.ORG,,,,none,Failed to fetch
562084639,SENIOR PHARMASSIST INC,www.seniorpharmassist.org,,,,none,Failed to fetch
201738995,INTERNATIONAL CHILDREN'S NETWORK,WWW.ICNCHILDREN.NET,,,,none,Failed to fetch
383674666,LIBERTY YOUTH RANCH INC,LibertyYouthRanch.org,,,,none,Failed to fetch
866057789,ASSISTANCE LEAGUE OF TUCSON INC,ALTUCSON.ORG,,,,none,Failed to fetch
271328579,Advocates for Children and Families,www.cherishcac.org,,,,none,Failed to fetch
