"feature","coefficient","abs_coefficient","direction"
"r_total_grants",4.18484581340436,4.18484581340436,"positive"
"r_total_revenue",3.35744281217357,3.35744281217357,"positive"
"r_total_funders",2.90479970098326,2.90479970098326,"positive"
"f_log_total_grants",2.08251221865871,2.08251221865871,"positive"
"r_total_funding",1.84337445811985,1.84337445811985,"positive"
"match_state_pct",1.76964735750219,1.76964735750219,"positive"
"r_size_SMALL",-1.4264170609015,1.4264170609015,"negative"
"r_size_TINY",-1.29937970783131,1.29937970783131,"negative"
"r_size_UNKNOWN",-1.16648949090497,1.16648949090497,"negative"
"r_size_MEDIUM",-1.03659632091243,1.03659632091243,"negative"
"r_assets",-1.00426799854025,1.00426799854025,"negative"
"r_ntee_X",0.962637834286994,0.962637834286994,"positive"
"r_ntee_O",0.908368276645586,0.908368276645586,"positive"
"r_ntee_S",0.828684022113009,0.828684022113009,"positive"
"r_state_OTHER",0.767104374775569,0.767104374775569,"positive"
"r_ntee_K",0.751840201732763,0.751840201732763,"positive"
"r_ntee_G",0.729053288926582,0.729053288926582,"positive"
"r_ntee_L",0.724152280431941,0.724152280431941,"positive"
"match_same_state",0.706787909283129,0.706787909283129,"positive"
"r_size_LARGE",-0.692508546363509,0.692508546363509,"negative"
"f_sector_hhi",-0.662985753120213,0.662985753120213,"negative"
"f_states_funded",0.591184478852476,0.591184478852476,"positive"
"r_employee_count",-0.542071446984558,0.542071446984558,"negative"
"r_ntee_B",0.540369109624651,0.540369109624651,"positive"
"r_ntee_R",0.513190812277839,0.513190812277839,"positive"
"r_state_PA",-0.46792304487056,0.46792304487056,"negative"
"f_openness_score",0.459084710689699,0.459084710689699,"positive"
"match_grant_size_ratio",-0.449899829575957,0.449899829575957,"negative"
"r_ntee_H",0.449553315483923,0.449553315483923,"positive"
"r_ntee_Z",0.412562015324264,0.412562015324264,"positive"
"match_sector_x_sector_hhi",0.403214793922092,0.403214793922092,"positive"
"r_ntee_J",0.381609734867984,0.381609734867984,"positive"
"r_ntee_M",0.3662578260995,0.3662578260995,"positive"
"f_in_state_pct",-0.33472418671737,0.33472418671737,"negative"
"r_ntee_T",0.300530195976303,0.300530195976303,"positive"
"r_log_assets",-0.295615533217697,0.295615533217697,"negative"
"f_grants_per_year",0.294230981164765,0.294230981164765,"positive"
"match_state_x_geo_conc",0.287664053614506,0.287664053614506,"positive"
"f_repeat_rate",0.263148890741453,0.263148890741453,"positive"
"r_ntee_N",-0.245355646925716,0.245355646925716,"negative"
"r_ntee_U",0.229294432928996,0.229294432928996,"positive"
"f_log_median_grant",0.227050581807139,0.227050581807139,"positive"
"f_sectors_funded",0.224839385345255,0.224839385345255,"positive"
"r_ntee_V",0.185697407768667,0.185697407768667,"positive"
"r_ntee_F",-0.178059140592381,0.178059140592381,"negative"
"r_log_total_revenue",-0.157529505275818,0.157529505275818,"negative"
"match_budget_in_range",0.147881456100369,0.147881456100369,"positive"
"r_state_CA",0.144409053773174,0.144409053773174,"positive"
"r_state_WA",-0.142719420503273,0.142719420503273,"negative"
"r_ntee_E",-0.137577527744137,0.137577527744137,"negative"
"f_foundation_age",0.137180479155376,0.137180479155376,"positive"
"f_grant_cv",0.110112398284003,0.110112398284003,"positive"
"r_ntee_A",0.105445417142458,0.105445417142458,"positive"
"r_ntee_Y",0.104933072146631,0.104933072146631,"positive"
"f_assets",-0.100834078545337,0.100834078545337,"negative"
"r_state_NY",-0.0868430154477062,0.0868430154477062,"negative"
"f_has_paid_staff",-0.0835258205229468,0.0835258205229468,"negative"
"r_ntee_C",0.0793207688513787,0.0793207688513787,"positive"
"r_state_MD",0.0777464446284512,0.0777464446284512,"positive"
"r_state_NJ",-0.0760725284334074,0.0760725284334074,"negative"
"r_ntee_W",-0.0739618978673632,0.0739618978673632,"negative"
"f_years_active",-0.0736099409299403,0.0736099409299403,"negative"
"r_ntee_D",-0.0581034954308065,0.0581034954308065,"negative"
"r_state_GA",0.0498523062623298,0.0498523062623298,"positive"
"f_state_PA",0.0483323039097532,0.0483323039097532,"positive"
"f_state_OTHER",0.0382765012584832,0.0382765012584832,"positive"
