"feature","mean","sd"
"f_assets",400935555.429994,3761847809.3825
"f_total_grants",10727.3661653765,52882.5765377753
"f_avg_grant",44687.4398704378,350469.021031733
"f_median_grant",18462.4015326514,203637.228644305
"f_repeat_rate",0.478918651513672,0.22920365168832
"f_openness_score",0.509286556264375,0.216783524148034
"f_in_state_pct",0.567790738148125,0.355985613394185
"f_states_funded",18.1699664722071,34.9686168063086
"f_sectors_funded",13.1479694370684,8.82342677033757
"f_years_active",4.79949562320067,1.44958921444383
"f_foundation_age",6.2214519478071,1.18437444845029
"f_payout_rate",24.7574654593778,3149.72205621906
"f_officer_count",4.86046882182218,1.46589052179037
"f_has_paid_staff",0.301008503329004,0.458696587928482
"f_grant_cv",3.00471940678861,4.18087989307401
"f_primary_sector_pct",0.368569753821515,0.238768737359155
"f_pct_capital",0.0214002501028191,0.0692480351972475
"f_pct_operating",0.233535919453211,0.362848653269367
"f_pct_program",0.744937976586438,0.362744408284044
"f_sector_hhi",0.0706008727053066,0.125370557898806
"r_total_revenue",67124638.9432622,511651527.160989
"r_assets",317399118.300686,2468747643.17946
"r_employee_count",550.95925776691,3292.78653369614
"r_total_grants",151.437419653009,766.94975777258
"r_total_funders",55.992247479993,279.110730200674
"r_total_funding",8066678.78719404,53543965.1831728
"match_same_state",0.265697121982269,0.441703887364889
"match_sector_pct",0.00135952629124548,0.00219019600864321
"match_state_pct",0.00145867520753612,0.00223302878072364
"match_capital_pct",0.0214002501028191,0.0692480351972475
"f_log_assets",14.4726620371046,4.47538978915683
"f_log_total_grants",5.40784229209548,2.36320509847405
"f_log_avg_grant",9.3168193829851,1.50734217414336
"f_log_median_grant",8.29699980597738,1.67427334712496
"f_grants_per_year",1927.29446417702,8850.46430202833
"f_log_grants_per_year",3.95835373771588,2.25359693709981
"r_log_total_revenue",14.1870568143763,3.01128330022296
"r_log_assets",11.1828444044061,7.31735697412386
"match_grant_size_ratio",-0.75462920308572,2.20157857185004
"match_state_x_geo_conc",0.00044008840973735,0.000974868529793937
"match_sector_x_sector_hhi",9.90986585251395e-05,0.000399040468734724
"match_budget_in_range",0.363201766570146,0.438074879354962
"f_state_NY",0.0836876734681619,0.276918960618451
"f_state_TX",0.0798585475850229,0.271074198814707
"f_state_CA",0.073948846548823,0.261687737143981
"f_state_PA",0.0609565139771437,0.239250632461174
"f_state_FL",0.049880412811471,0.217697948464134
"f_state_NC",0.0524732065467208,0.22297939505545
"f_state_OH",0.0470406863395308,0.211725996431976
"f_state_IL",0.045796011869456,0.209042516300472
"f_state_MA",0.0388243332190435,0.193176177362049
"f_state_WI",0.0307197672158417,0.172557491747585
"f_state_OTHER",0.436814000418785,0.495991667958747
"r_state_NY",0.0997232851731074,0.299630816945808
"r_state_PA",0.0952609770360897,0.293575195119899
"r_state_CA",0.071282640378341,0.257296484209251
"r_state_TX",0.0556749898015111,0.229293107554819
"r_state_GA",0.0483454255293412,0.214495183491931
"r_state_MA",0.0480784712194056,0.213932162156351
"r_state_CO",0.0362265340904825,0.186853422352456
"r_state_NJ",0.035303039024549,0.184544744903313
"r_state_WA",0.0340149844791096,0.181267737673287
"r_state_MD",0.033679623127253,0.180403251810007
"r_state_OTHER",0.44241003014081,0.496672529100437
"r_ntee_A",0.0944000493865473,0.29238459497695
"r_ntee_B",0.090669362905197,0.287138465407819
"r_ntee_C",0.0286149993284431,0.166721937159947
"r_ntee_D",0.0424248794743002,0.201556550294479
"r_ntee_E",0.070822144193702,0.256527626160122
"r_ntee_F",0.0193616955602996,0.137792728925587
"r_ntee_G",0.0104170577130191,0.101531035754336
"r_ntee_H",0.00352296265893167,0.0592499309843733
"r_ntee_I",0.0192874488928487,0.137533483152066
"r_ntee_J",0.00381828086429795,0.061674182351388
"r_ntee_K",0.0131525051576407,0.113927729695888
"r_ntee_L",0.0111962306051437,0.105218269616396
"r_ntee_M",0.00286725613515229,0.0534699669207753
"r_ntee_N",0.04628236925287,0.210096045589896
"r_ntee_O",0.0153048242814966,0.12276236885784
"r_ntee_P",0.119954250705135,0.324908166269935
"r_ntee_Q",0.0263675777316725,0.16022593420835
"r_ntee_R",0.00634433602206377,0.0793983040220541
"r_ntee_S",0.0117476581016045,0.107748133700242
"r_ntee_T",0.0340600330189112,0.181383501498568
"r_ntee_U",0.00119462053696191,0.034542646310551
"r_ntee_V",0.000908478885999665,0.0301273017263053
"r_ntee_W",0.0170742308170387,0.129548120247756
"r_ntee_X",0.0132793084548601,0.114468246045567
"r_ntee_Y",0.000256109291094488,0.0160013722138318
"r_ntee_Z",0.0034962672279381,0.0590258100318204
"r_ntee_UNKNOWN",0.293174228564612,0.455217830431198
"r_size_TINY",0.115033949080134,0.319063041678325
"r_size_SMALL",0.266246881014293,0.441995070492604
"r_size_MEDIUM",0.249812506308881,0.432904578794209
"r_size_LARGE",0.148397398196557,0.355493622772256
"r_size_UNKNOWN",0.153346897949207,0.360321710625905
